"Låtens URI","Låtens namn","Artistens URI","Artistens namn","Albumets URI","Albumets namn","Albumartistens URI","Albumartistens namn","Albumets releasedatum","Albumets bild-URL","Skivnummer","Låtnummer","Låtlängd (ms)","Förhandsgranskning URL","Explicit","Popularitet","ISRC","Tillagd av","Tillagd vid","Artistens genrer","Dansbarhet","Energi","Tonart","Ljudstyrka","Läge","Talighet","Akustik","Instrumentalhet","Livlighet","Valens","Tempo","Taktart","Albumets genrer","Skivbolag","Upphovsrätt"
"spotify:track:35iwgR4jXetI318WEWsa1Q","Carve","spotify:artist:45tIt06XoI0Iio4LBEVpls","Uli","spotify:album:4Pmp3enRUgpikOgQS6z2DJ","Carve","spotify:artist:45tIt06XoI0Iio4LBEVpls","Uli","1922-02-22","https://i.scdn.co/image/ab67616d0000b273c856f3487ec0458d3b9cf01d","1","1","126902","https://p.scdn.co/mp3-preview/e4a55b4955c65d460dbfb566f3136785a4762a98?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","QZCE61821790","spotify:user:isak.sjoholm.","2025-07-18T12:58:10Z","dark ambient","0.645","0.445","0","-13.338","1","0.451","0.674","0.744","0.151","0.127","104.851","3","","800467 Records DK","C 2018 800467 Records DK, P 2018 800467 Records DK"
"spotify:track:021ht4sdgPcrDgSk7JTbKY","Capítulo 2.16 - Banquero Anarquista","spotify:artist:13RMReWFUS7foJYInOfD6E","Fernando Pessoa","spotify:album:1lqYhWd4p9xTraGLo4vb38","Banquero Anarquista","spotify:artist:13RMReWFUS7foJYInOfD6E","Fernando Pessoa","1922","https://i.scdn.co/image/ab67616d0000b27336ff24c5347e20231aec5430","1","41","98200","","false","0","DEXR12014302","spotify:user:isak.sjoholm.","2025-07-18T12:58:10Z","","0.695","0.263","0","-22.136","1","0.957","0.797","0","0.148","0.655","102.009","1","","SAGA Egmont","C 1922 SAGA Egmont, P 1922 SAGA Egmont"
"spotify:track:07A5yehtSnoedViJAZkNnc","Vivo para Quererte - Remasterizado","spotify:artist:5LiOoJbxVSAMkBS2fUm3X2","Ignacio Corsini","spotify:album:7mkPlymJMYBIBpEEbTukqM","Colección Completa, Vol. 3 (Remasterizado)","spotify:artist:5LiOoJbxVSAMkBS2fUm3X2","Ignacio Corsini","1922-03-21","https://i.scdn.co/image/ab67616d0000b273ebba987798769ee23dd79905","1","5","181640","https://p.scdn.co/mp3-preview/626bd1c0794d02dd0597af7caa54c8ffba21da2d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ARA821938045","spotify:user:isak.sjoholm.","2025-07-18T12:58:10Z","tango,candombe","0.434","0.177","1","-21.18","1","0.0512","0.994","0.0218","0.212","0.457","130.418","5","","RGS Music Bajo Licencia de Victoria Corsini","C (C) 1922 Victoria Corsini"
"spotify:track:08FmqUhxtyLTn6pAh6bk45","El Prisionero - Remasterizado","spotify:artist:5LiOoJbxVSAMkBS2fUm3X2","Ignacio Corsini","spotify:album:7mkPlymJMYBIBpEEbTukqM","Colección Completa, Vol. 3 (Remasterizado)","spotify:artist:5LiOoJbxVSAMkBS2fUm3X2","Ignacio Corsini","1922-03-21","https://i.scdn.co/image/ab67616d0000b273ebba987798769ee23dd79905","1","13","176906","https://p.scdn.co/mp3-preview/70f535796cb21d1061ec2c0b1531abbaccd56448?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ARA821938053","spotify:user:isak.sjoholm.","2025-07-18T12:58:10Z","tango,candombe","0.321","0.0946","7","-27.961","1","0.0504","0.995","0.918","0.104","0.397","169.98","3","","RGS Music Bajo Licencia de Victoria Corsini","C (C) 1922 Victoria Corsini"
"spotify:track:08y9GfoqCWfOGsKdwojr5e","Lady of the Evening","spotify:artist:3BiJGZsyX9sJchTqcSA7Su","Dick Haymes","spotify:album:3jYbgerYWz3j5AaazIf5qS","Dick Haymes","spotify:artist:3BiJGZsyX9sJchTqcSA7Su","Dick Haymes","1922","https://i.scdn.co/image/ab67616d0000b2731367e2af0bb7790300a4798e","1","14","163080","https://p.scdn.co/mp3-preview/d51ae53b77b6a9e38470b19532baabafd04693d9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","DEEF22010468","spotify:user:isak.sjoholm.","2025-07-18T12:58:10Z","storbandsmusik,adult standards","0.402","0.158","3","-16.9","0","0.039","0.989","0.13","0.311","0.196","103.22","4","","Horgi Music Digital Productions","C 1922 Horgi Music Digital Productions, P 2006 Horgi Music Digital Productions"
"spotify:track:0BRXJHRNGQ3W4v9frnSfhu","Ave Maria","spotify:artist:3BiJGZsyX9sJchTqcSA7Su","Dick Haymes","spotify:album:3jYbgerYWz3j5AaazIf5qS","Dick Haymes","spotify:artist:3BiJGZsyX9sJchTqcSA7Su","Dick Haymes","1922","https://i.scdn.co/image/ab67616d0000b2731367e2af0bb7790300a4798e","1","11","178933","https://p.scdn.co/mp3-preview/0fd4e2b58646e6d11164aa7daff514d36c12966e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","DEEF22010465","spotify:user:isak.sjoholm.","2025-07-18T12:58:10Z","storbandsmusik,adult standards","0.227","0.261","5","-12.343","1","0.0382","0.994","0.247","0.0977","0.0539","118.891","4","","Horgi Music Digital Productions","C 1922 Horgi Music Digital Productions, P 2006 Horgi Music Digital Productions"
"spotify:track:0Dd9ImXtAtGwsmsAD69KZT","La Butte Rouge","spotify:artist:2nuMRGzeJ5jJEKlfS7rZ0W","Francis Marty","spotify:album:1elIZacv97Q9xzOxBb4qfq","Anthologie De La Chanson Francaise 1922","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Blandade Artister","2005-10-15","https://i.scdn.co/image/ab67616d0000b273f38ec7be456627d1a82b3ea0","1","15","134466","https://p.scdn.co/mp3-preview/e5070b7ece797c21c834f3d9c3c9592768140603?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","FR6V89300665","spotify:user:isak.sjoholm.","2025-07-18T12:58:10Z","traditionell folk","0.51","0.355","4","-12.833","1","0.124","0.965","0","0.155","0.727","85.754","5","","Epm","C pathe 1922, P epm"
"spotify:track:0IA0Hju8CAgYfV1hwhidBH","La Java","spotify:artist:4AxgXfD7ISvJSTObqm4aIE","Mistinguett","spotify:album:1elIZacv97Q9xzOxBb4qfq","Anthologie De La Chanson Francaise 1922","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Blandade Artister","2005-10-15","https://i.scdn.co/image/ab67616d0000b273f38ec7be456627d1a82b3ea0","1","20","161426","https://p.scdn.co/mp3-preview/48d161c1fb1c6a7283a66103373056491c6cd2f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","FR6V89300670","spotify:user:isak.sjoholm.","2025-07-18T12:58:10Z","fransk jazz,chanson","0.563","0.184","4","-13.757","1","0.0512","0.993","0.0000155","0.325","0.654","133.088","3","","Epm","C pathe 1922, P epm"
"spotify:track:0IgI1UCz84pYeVetnl1lGP","Old Fashioned Girl","spotify:artist:5nWlsH5RDgFuRAiDeOFVmf","Greg Fieler","spotify:album:43ZYT9NV1Xair4XAVE8gr0","Old Fashioned Girl","spotify:artist:5nWlsH5RDgFuRAiDeOFVmf","Greg Fieler","1922","https://i.scdn.co/image/ab67616d0000b27319e5e7a9a564a50b992dc676","1","1","310073","https://p.scdn.co/mp3-preview/2476fe2e2e7401b1f678e44f98514a9dad619d72?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GB-SMU-17-54353","spotify:user:isak.sjoholm.","2025-07-18T12:58:10Z","","0.488","0.475","0","-16.222","0","0.0399","0.62","0.00645","0.107","0.544","139.952","4","","Greg Fieler","C 1922 public domain - Al Jolson, P 1922 public domain"
"spotify:track:0JV4iqw2lSKJaHBQZ0e5zK","Martín Fierro - Remasterizado","spotify:artist:5LiOoJbxVSAMkBS2fUm3X2","Ignacio Corsini","spotify:album:0womhDFwNxK2TKxpXPq3rz","Colección Completa, Vol. 5 (Remasterizado)","spotify:artist:5LiOoJbxVSAMkBS2fUm3X2","Ignacio Corsini","1922-03-29","https://i.scdn.co/image/ab67616d0000b273c1a31804fd7ea243312ab043","1","19","181173","https://p.scdn.co/mp3-preview/262b2a3ff5cbb7059dfb07a92c00687e329e8f80?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ARA821938098","spotify:user:isak.sjoholm.","2025-07-18T12:58:10Z","tango,candombe","0.548","0.0391","6","-23.228","1","0.153","0.996","0.933","0.148","0.612","75.595","3","","RGS Music Bajo Licencia de Victoria Corsini","C (C) 1922 Victoria Corsini"
"spotify:track:0OYGe21oScKJfanLyM7daU","Capítulo 2.8 - Banquero Anarquista","spotify:artist:13RMReWFUS7foJYInOfD6E","Fernando Pessoa","spotify:album:1lqYhWd4p9xTraGLo4vb38","Banquero Anarquista","spotify:artist:13RMReWFUS7foJYInOfD6E","Fernando Pessoa","1922","https://i.scdn.co/image/ab67616d0000b27336ff24c5347e20231aec5430","1","33","99100","","false","0","DEXR12014294","spotify:user:isak.sjoholm.","2025-07-18T12:58:10Z","","0.676","0.235","11","-22.447","0","0.96","0.794","0","0.21","0.724","96.777","3","","SAGA Egmont","C 1922 SAGA Egmont, P 1922 SAGA Egmont"
