"Låtens URI","Låtens namn","Artistens URI","Artistens namn","Albumets URI","Albumets namn","Albumartistens URI","Albumartistens namn","Albumets releasedatum","Albumets bild-URL","Skivnummer","Låtnummer","Låtlängd (ms)","Förhandsgranskning URL","Explicit","Popularitet","ISRC","Tillagd av","Tillagd vid","Artistens genrer","Dansbarhet","Energi","Tonart","Ljudstyrka","Läge","Talighet","Akustik","Instrumentalhet","Livlighet","Valens","Tempo","Taktart","Albumets genrer","Skivbolag","Upphovsrätt"
"spotify:track:6oiUcrEobRMFvvqABo33QI","Stopp nr. 7","spotify:artist:3x0afbPtBvjqaKUR7NQQOG","200.000 naglbítar","spotify:album:1aj3Djoe2Cr3wwyi087vfO","Vögguvísur fyrir skuggaprins","spotify:artist:3x0afbPtBvjqaKUR7NQQOG","200.000 naglbítar","2000-01-01","https://i.scdn.co/image/ab67616d0000b27381404deccbf998028c74f001","1","3","224026","https://p.scdn.co/mp3-preview/803787f966b1815abf13f91661a62ffc7e20fd3b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ISA100003803","spotify:user:isak.sjoholm.","2025-07-18T13:17:11Z","","0.428","0.726","11","-7.567","0","0.0555","0.00877","0","0.0716","0.591","161.713","4","","Alda Music","C 2000 Alda Music, P 2000 Alda Music"
"spotify:track:31nAB0iVLUsPPKjA9ViIIR","Tears In The Morning - Remastered 2000","spotify:artist:3oDbviiivRWhXwIE8hxkVV","The Beach Boys","spotify:album:1P6NxbYUZazQAAag2leAUh","Best Of The Brother Years 1970-1986","spotify:artist:3oDbviiivRWhXwIE8hxkVV","The Beach Boys","2000-01-01","https://i.scdn.co/image/ab67616d0000b273fd16e1bca0c16c63f17343a8","1","4","246040","https://p.scdn.co/mp3-preview/cc5112d5453f1687eb68aea313b11102fc777b8a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","USGJP1300084","spotify:user:isak.sjoholm.","2025-07-18T13:17:11Z","barockpop","0.37","0.278","6","-14.036","0","0.0371","0.833","0.0000406","0.18","0.265","128.934","3","","EMI Catalogue","C © 2000 Capitol Records Inc., P This Compilation ℗ 2000 Brother Records Inc"
"spotify:track:40qNV8hjDt5Ko1ti3qROco","Þrek og tár","spotify:artist:4pjWFrTPhj0Rwv3g35lcBM, spotify:artist:3M5j6smD7QwXba007s8vKA","Haukur Morthens, Erla Þorsteinsdóttir","spotify:album:5wRMAbmI0UWFr3JEEv6BsO","Stúlkan með lævirkjaröddina","spotify:artist:3M5j6smD7QwXba007s8vKA","Erla Þorsteinsdóttir","2000-01-01","https://i.scdn.co/image/ab67616d0000b27345112d71fccbd3bfe563b7c5","1","23","214598","https://p.scdn.co/mp3-preview/08e4af6f10073127cfd49f85018b87a8f2742540?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ISA100000723","spotify:user:isak.sjoholm.","2025-07-18T13:17:11Z","","0.256","0.275","0","-12.607","1","0.0331","0.974","0.0181","0.153","0.422","74.299","4","","Alda Music","C 2000 Alda Music, P 2000 Alda Music"
"spotify:track:1jv4wdkQvJW0zRsdYu6IjJ","Light Years Away - Live at the Metropolis Theatre, Montreal, Canada - December 2000","spotify:artist:2yzxX2DI9LFK8VFTyW2zZ8","Joe Satriani","spotify:album:1RVaqQJKWq5ZqegVvcyO2f","Satchurated: Live In Montreal","spotify:artist:2yzxX2DI9LFK8VFTyW2zZ8","Joe Satriani","2012-04-24","https://i.scdn.co/image/ab67616d0000b273bf6144c45954c859b3a0d598","1","4","387000","https://p.scdn.co/mp3-preview/df42448271b1b54b3fa485faf38efe97386e4fa7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","USSM11107139","spotify:user:isak.sjoholm.","2025-07-18T13:17:11Z","","0.172","0.977","0","-6.192","1","0.221","0.0000998","0.905","0.988","0.172","197.672","4","","Epic","P (P) 2012 Sony Music Entertainment"
"spotify:track:4sSO565goJVs6GcwNpZSce","I Go to Extremes - Live at Madison Square Garden, New York, NY - December 31, 1999","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","spotify:album:1Cd4dgqPV6aG4cuYVpJR6L","2000 Years - The Millennium Concert","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","2000-05-02","https://i.scdn.co/image/ab67616d0000b27374b8d1f671e22f3bb166ded3","2","1","301426","https://p.scdn.co/mp3-preview/d8597e506da3cc0fd06d1de673255bf92e8ecb8f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","USSM10006947","spotify:user:isak.sjoholm.","2025-07-18T13:17:11Z","mjukrock","0.434","0.989","1","-4.014","0","0.144","0.00586","0.00268","0.99","0.355","127.851","4","","Columbia/Legacy","P (P) 2001 Columbia Records, a division of Sony Music Entertainment"
"spotify:track:484SW7IKCtExZW31jvIkSD","Year 2000","spotify:artist:2F8GvYuY0lfZNYu45dY6gJ","Die Toten Hosen","spotify:album:4Nz6dzv5MsbYzzvSvJLuR1","Love, Peace & Money (Deluxe-Edition mit Bonus-Tracks)","spotify:artist:2F8GvYuY0lfZNYu45dY6gJ","Die Toten Hosen","1994-05-09","https://i.scdn.co/image/ab67616d0000b273d3e8d85806faafc94309b76b","1","2","216226","https://p.scdn.co/mp3-preview/f95dc2a06fbc90f010cba9ca9ca26d1d5dfe5dbd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","DEP610712479","spotify:user:isak.sjoholm.","2025-07-18T13:17:11Z","tysk pop,neue deutsche welle","0.432","0.891","4","-3.073","0","0.0367","0.00113","0","0.14","0.467","97.799","4","","JKP/WM Germany","C © 2007 T.O.T. Musik GmbH, P ℗ 2007 T.O.T. Musik GmbH"
"spotify:track:317QyXQVmNPYcjUCeMJp6i","New York State of Mind - Live at Madison Square Garden, New York, NY - December 31, 1999","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","spotify:album:1Cd4dgqPV6aG4cuYVpJR6L","2000 Years - The Millennium Concert","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","2000-05-02","https://i.scdn.co/image/ab67616d0000b27374b8d1f671e22f3bb166ded3","1","7","509000","https://p.scdn.co/mp3-preview/5eca284e2baf88322da2578fe440281cf04c9871?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","USSM10006955","spotify:user:isak.sjoholm.","2025-07-18T13:17:11Z","mjukrock","0.37","0.648","0","-8.66","1","0.0884","0.266","0.000104","0.985","0.25","118.775","4","","Columbia/Legacy","P (P) 2001 Columbia Records, a division of Sony Music Entertainment"
"spotify:track:0or8152mxGwBuqdkw900eh","I've Loved These Days - Live at Madison Square Garden, New York, NY - December 31, 1999","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","spotify:album:1Cd4dgqPV6aG4cuYVpJR6L","2000 Years - The Millennium Concert","spotify:artist:6zFYqv1mOsgBRQbae3JJ9e","Billy Joel","2000-05-02","https://i.scdn.co/image/ab67616d0000b27374b8d1f671e22f3bb166ded3","1","8","270293","https://p.scdn.co/mp3-preview/5606ed5b199bc39cc3774db377b8fafc6c595d7c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","USSM10004486","spotify:user:isak.sjoholm.","2025-07-18T13:17:11Z","mjukrock","0.293","0.558","10","-9.445","1","0.0366","0.165","0.00000333","0.987","0.284","81.833","4","","Columbia/Legacy","P (P) 2001 Columbia Records, a division of Sony Music Entertainment"
"spotify:track:4ysYGq4uNJVkSZFb7nPF6P","Flames Get Higher - Radio Edit","spotify:artist:7vBGVjjUKLWS8zLNSYwVVC","Sono","spotify:album:67u71tZ06jaS2w0LcbsLbj","20 Years - The Singles 2000 - 2020","spotify:artist:7vBGVjjUKLWS8zLNSYwVVC","Sono","2020-02-15","https://i.scdn.co/image/ab67616d0000b2737904c9ead70ac5c0eca08678","1","12","209274","https://p.scdn.co/mp3-preview/36d5095a372bd997c4cb0c607341a4ca852f608e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","DEN061302498","spotify:user:isak.sjoholm.","2025-07-18T13:17:11Z","melodisk techno","0.746","0.874","4","-6.594","1","0.0537","0.00847","0.0646","0.243","0.647","112.992","4","","Sono Music","C 2020 Sono FM, P 2020 Sono FM"
"spotify:track:3AQebyZjniifI29UWEYTuN","Living a Memory","spotify:artist:7vBGVjjUKLWS8zLNSYwVVC","Sono","spotify:album:67u71tZ06jaS2w0LcbsLbj","20 Years - The Singles 2000 - 2020","spotify:artist:7vBGVjjUKLWS8zLNSYwVVC","Sono","2020-02-15","https://i.scdn.co/image/ab67616d0000b2737904c9ead70ac5c0eca08678","1","21","193912","https://p.scdn.co/mp3-preview/fccfb735226f7cdb40f4ca4bb65016ee73798de1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","DEPI81907264","spotify:user:isak.sjoholm.","2025-07-18T13:17:11Z","melodisk techno","0.667","0.681","2","-5.799","0","0.0423","0.0201","0.217","0.099","0.794","159.961","4","","Sono Music","C 2020 Sono FM, P 2020 Sono FM"
"spotify:track:0nynnVfuQuh8KQ6PkmQD5n","2000 Years Ago","spotify:artist:45QpZznbXYo3nWy0TIhvgv","Max Romeo","spotify:album:3NNxctd3c2dJBwrxRN9WBo","Randy's Roots","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Blandade Artister","2015-09-22","https://i.scdn.co/image/ab67616d0000b273a13502c991875b050d16b92d","1","4","124013","https://p.scdn.co/mp3-preview/ec39673d28a6782b98010c3b89172988b7eec004?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","USCNC1200317","spotify:user:isak.sjoholm.","2025-07-18T13:17:11Z","reggae,roots reggae,rocksteady,dub,ragga","0.815","0.504","0","-9.848","1","0.379","0.407","0.0273","0.282","0.782","148.306","4","","Randy's Music Group, Inc.","C (C) 2015 Randy's Music Group, Inc., P (P) 2015 Randy's Music Group, Inc."
"spotify:track:2IDUUOzfvY9CqLlepcyG3U","Cascade - Buddha Remastered - 2000","spotify:artist:4dZrt8Ong5t7YYpvbfp0RU","Chet Atkins","spotify:album:0ulLNifT0Lvwf8jCSHEIS0","Guitar Legend: The RCA Years","spotify:artist:4dZrt8Ong5t7YYpvbfp0RU","Chet Atkins","2000-03-04","https://i.scdn.co/image/ab67616d0000b27381a3a5851c0282fe25428003","2","24","147533","https://p.scdn.co/mp3-preview/08cb4bffc1e0c4e389a136d7b4736511ee039724?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","USRN10100044","spotify:user:isak.sjoholm.","2025-07-18T13:17:11Z","","0.556","0.659","7","-13.877","1","0.0319","0.525","0.862","0.123","0.82","141.862","4","","Buddha Records","P (P) 2000, Buddha Records"
"spotify:track:5QCkjvphfED3Mpk50ouM0F","Mercy","spotify:artist:37NqXwtb6nIEqRt4EJSoIO","Duffy","spotify:album:3eJKgNimNrwsKDrVkiMF4e","2000s New Year's Party","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Blandade Artister","2020-12-16","https://i.scdn.co/image/ab67616d0000b273840b0be40d6a8c035efd5d77","1","3","220933","https://p.scdn.co/mp3-preview/61b0c168de4decb67da467be2625ffd486923557?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","GBUM70711275","spotify:user:isak.sjoholm.","2025-07-18T13:17:11Z","","0.786","0.859","0","-3.744","1","0.0331","0.261","0.00016","0.11","0.964","129.948","4","","UME - Global Clearing House","C © 2020 UMG Recordings, Inc., P ℗ 2020 UMG Recordings, Inc. FP"
"spotify:track:2rhgnIrH1Tf9xhOvW7MIWh","Smooth Criminal","spotify:artist:6TZdvF1kFzwnQLgHQynzsO","Alien Ant Farm","spotify:album:3eJKgNimNrwsKDrVkiMF4e","2000s New Year's Party","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Blandade Artister","2020-12-16","https://i.scdn.co/image/ab67616d0000b273840b0be40d6a8c035efd5d77","1","23","209360","https://p.scdn.co/mp3-preview/af903b2403b0771f7d474228436468de806e029d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","USDW10022224","spotify:user:isak.sjoholm.","2025-07-18T13:17:11Z","nu metal,alternativ metal","0.597","0.966","9","-4.092","0","0.0823","0.0028","0.0126","0.135","0.77","126.927","4","","UME - Global Clearing House","C © 2020 UMG Recordings, Inc., P ℗ 2020 UMG Recordings, Inc. FP"
