"Låtens URI","Låtens namn","Artistens URI","Artistens namn","Albumets URI","Albumets namn","Albumartistens URI","Albumartistens namn","Albumets releasedatum","Albumets bild-URL","Skivnummer","Låtnummer","Låtlängd (ms)","Förhandsgranskning URL","Explicit","Popularitet","ISRC","Tillagd av","Tillagd vid","Artistens genrer","Dansbarhet","Energi","Tonart","Ljudstyrka","Läge","Talighet","Akustik","Instrumentalhet","Livlighet","Valens","Tempo","Taktart","Albumets genrer","Skivbolag","Upphovsrätt"
"spotify:track:7IA0U3gv9XeOKP51AWzvwX","היכן","spotify:artist:4Pysj7MoAEwEBLEsqk3fTc, spotify:artist:6e6ixgZDk4lrF2rvUprPLI, spotify:artist:4jTjsFaEBO0Znapnj7CH4W","Ran & Nama, Ran Eliran, Nachama Hendel","spotify:album:1j7vmKJObhpKTJzKWp9dAZ","רן ונמה - תקליט ראשון","spotify:artist:4Pysj7MoAEwEBLEsqk3fTc, spotify:artist:6e6ixgZDk4lrF2rvUprPLI, spotify:artist:4jTjsFaEBO0Znapnj7CH4W","Ran & Nama, Ran Eliran, Nachama Hendel","1959-01-01","https://i.scdn.co/image/ab67616d0000b2736220284c22982d322b13b3bf","1","4","166906","https://p.scdn.co/mp3-preview/3373652f6125d027d31647eb7ffc8f81450da786?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","IL1000004367","spotify:user:isak.sjoholm.","2025-07-18T13:11:24Z","","0.619","0.561","1","-4.926","1","0.0553","0.779","0.00000165","0.123","0.7","126.312","4","","Hed Arzi Ltd","C Hed Arzi Ltd, P Hed Arzi Ltd"
"spotify:track:0aScAkGsdm4rgoWelhXhYK","Hungarian Dance No. 5","spotify:artist:3HYV4ZdJ1LSOhPo5ehlEqF","Isaac Stern","spotify:album:1wz04vKlGzdKwVLArmQ4mv","Greatest Hits: Violin","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Blandade Artister","1959","https://i.scdn.co/image/ab67616d0000b273f9cc3e49cd71a02212cd77f8","1","3","157466","https://p.scdn.co/mp3-preview/ea46ceb21aedea82b02c973dfc658fd8cf895a40?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","USSM16301353","spotify:user:isak.sjoholm.","2025-07-18T13:11:24Z","kammarmusik,klassiskt","0.362","0.203","7","-15.896","0","0.0659","0.544","0.802","0.395","0.329","81.609","4","","Sony Classical","C (C) 1994 Sony Music Entertainment, P Originally released 1959, 1963, 1964 Sony Music Entertainment / (P) 1972, 1973, 1978, 1984 Sony Music Entertainment / (P) 1983, 1986 Sony Music Entertainment (Japan) Inc., (P) 1992 Sony Classical, a division of Sony Entertainment Holdings Gmbh"
"spotify:track:11G1VikY1wkfUAJ9DFEu2I","For Mama","spotify:artist:5MaJrqhwysKwbvDePyAS6l","Jerry Vale","spotify:album:277yzHgwfRG77fiBpuoa84","Super Hits","spotify:artist:5MaJrqhwysKwbvDePyAS6l","Jerry Vale","1959","https://i.scdn.co/image/ab67616d0000b27328718d535720ae78ec360178","1","7","170800","https://p.scdn.co/mp3-preview/6bf1f3d7eb7c8785bafc9945f0b5a38ba197f694?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","USSM16400489","spotify:user:isak.sjoholm.","2025-07-18T13:11:24Z","adult standards,kundiman","0.286","0.435","4","-10.722","0","0.0413","0.568","0","0.334","0.5","163.665","3","","Columbia/Legacy","P Originally Released 1959, 1960, 1962, 1964, 1966, 1967 1968, (P) 2001 Sony Music Entertainment Inc."
"spotify:track:17nbPEzLG4j9PXRwek9vq0","Violin Concerto in D Major, Op. 61: II. Larghetto","spotify:artist:2wOqMjp9TyABvtHdOSOTUS, spotify:artist:7yaBUcdjmqPP2vIv6F5bFD, spotify:artist:2RKnompMfdeZsyis6Gs4ce, spotify:artist:0K23lQ2hSQAlxSEeZ05bjI","Ludwig van Beethoven, Jascha Heifetz, Charles Münch, Boston Symphony Orchestra","spotify:album:0Qy21LUnaWVCoghx1o2ryz","Beethoven: Violin Concerto in D Major, Op. 61 - Mendelssohn: Violin Concerto in E Minor, Op. 64 (Heifetz Remastered)","spotify:artist:7yaBUcdjmqPP2vIv6F5bFD, spotify:artist:2RKnompMfdeZsyis6Gs4ce, spotify:artist:0K23lQ2hSQAlxSEeZ05bjI","Jascha Heifetz, Charles Münch, Boston Symphony Orchestra","1959","https://i.scdn.co/image/ab67616d0000b273cb59b4a7f8cdde22f6668fe9","1","2","525280","https://p.scdn.co/mp3-preview/48bf08159663d584c08519e96b1bd3f9161d5385?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","USBC10401613","spotify:user:isak.sjoholm.","2025-07-18T13:11:24Z","klassiskt,klassiskt piano,kammarmusik,klassiskt,kammarmusik,klassiskt,orkester,klassiskt,orkester","0.185","0.0446","7","-29.453","1","0.0452","0.81","0.0702","0.362","0.0476","100.963","4","","RCA Red Seal","P (P) 1959 Sony Music Entertainment"
"spotify:track:1RBic6AKJ2sBIQxsPS3BS7","I Was Doing All Right","spotify:artist:5V0MlUE1Bft0mbLlND7FJz","Ella Fitzgerald","spotify:album:2vz9bOelnO5EoDBPkzEJjt","Ella Fitzgerald Sings The George And Ira Gershwin Song Book","spotify:artist:5V0MlUE1Bft0mbLlND7FJz","Ella Fitzgerald","1959-01-01","https://i.scdn.co/image/ab67616d0000b273f5590032331e49e38a5c0c37","4","2","208693","https://p.scdn.co/mp3-preview/b1be6c13c7a854fe6124616c24e1133431845c3d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USPR35982258","spotify:user:isak.sjoholm.","2025-07-18T13:11:24Z","vocal jazz,jazz,swing,jazzblues,storbandsmusik,jul","0.499","0.292","0","-13.825","1","0.0513","0.743","0.0000101","0.118","0.356","114.339","3","","Verve","C © 1959 Verve Label Group, a Division of UMG Recordings, Inc., P This Compilation ℗ 2017 Verve Label Group, a Division of UMG Recordings, Inc."
"spotify:track:5bTlCG80RR9te4fRvCc1Pe","בראשית","spotify:artist:2k7yUjXRoo0Pj7HvfftM7e","Green Onion","spotify:album:4RBRc813PDVCxt1ODJDhqi","בצל ירוק (1959)","spotify:artist:2k7yUjXRoo0Pj7HvfftM7e","Green Onion","1959-01-01","https://i.scdn.co/image/ab67616d0000b2735ca424ed86f6c6d27e86c673","1","5","232720","https://p.scdn.co/mp3-preview/8648776dad4b2d8fd6bbb252d0a3f1092a83e343?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","IL1000001877","spotify:user:isak.sjoholm.","2025-07-18T13:11:24Z","","0.627","0.414","2","-7.559","1","0.483","0.924","0","0.254","0.525","80.029","3","","Hed Arzi Ltd.","C Hed Arzi Ltd., P Hed Arzi Ltd."
"spotify:track:7F06H8RsfGTMVpRnWLEdre","כי תנעם - Bonus","spotify:artist:4Pysj7MoAEwEBLEsqk3fTc, spotify:artist:6e6ixgZDk4lrF2rvUprPLI, spotify:artist:4jTjsFaEBO0Znapnj7CH4W","Ran & Nama, Ran Eliran, Nachama Hendel","spotify:album:1j7vmKJObhpKTJzKWp9dAZ","רן ונמה - תקליט ראשון","spotify:artist:4Pysj7MoAEwEBLEsqk3fTc, spotify:artist:6e6ixgZDk4lrF2rvUprPLI, spotify:artist:4jTjsFaEBO0Znapnj7CH4W","Ran & Nama, Ran Eliran, Nachama Hendel","1959-01-01","https://i.scdn.co/image/ab67616d0000b2736220284c22982d322b13b3bf","1","15","142080","https://p.scdn.co/mp3-preview/f29e846b438d052f301f29fd0459921ae24d06af?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","IL1000004363","spotify:user:isak.sjoholm.","2025-07-18T13:11:24Z","","0.274","0.354","9","-8.325","0","0.0289","0.987","0.000404","0.112","0.332","85.477","4","","Hed Arzi Ltd","C Hed Arzi Ltd, P Hed Arzi Ltd"
"spotify:track:2WAX3zZKz8WaHO4ZOh0UlW","Hobbak Nar","spotify:artist:6IW026WCYU8L1WF79dfwss","Abdel Halim Hafez","spotify:album:1dAYSuj4f2djYrKHSlLpSS","Aghany Film Hekayet Hob","spotify:artist:6IW026WCYU8L1WF79dfwss","Abdel Halim Hafez","1958-12-31","https://i.scdn.co/image/ab67616d0000b2731f1f618e0ccf7d9bedf08b01","1","1","522306","https://p.scdn.co/mp3-preview/7b8056d5e5d962fde1c7ceede301855153be9642?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","EGA020501098","spotify:user:isak.sjoholm.","2025-07-18T13:11:24Z","egyptisk pop,khaleeji","0.372","0.29","2","-10.929","1","0.0348","0.86","0","0.161","0.38","111.147","4","","Abdel Halim Hafez","C 1958 Abdel Halim Hafez, P 1958 Abdel Halim Hafez"
"spotify:track:4eY93r6nVzfcGitQ1zvbnV","The Gypsy","spotify:artist:217b0uqAzsOOhGcnoANZqj","Sonny Stitt","spotify:album:2Od5gIW3c3szwoTxl0Hhu7","Sonny Stitt Sits In With The Oscar Peterson Trio","spotify:artist:217b0uqAzsOOhGcnoANZqj, spotify:artist:0ldU0QJm31y0d6f57R1G2A","Sonny Stitt, Oscar Peterson Trio","1959-01-01","https://i.scdn.co/image/ab67616d0000b273fcd515253a890a604cce6a49","1","3","204880","https://p.scdn.co/mp3-preview/3dfa80445cf9d38f446138605354fc6967866783?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","USUM70701493","spotify:user:isak.sjoholm.","2025-07-18T13:11:24Z","bebop,jazz,hard bop,cool jazz,acid jazz","0.422","0.206","3","-14.88","1","0.0374","0.835","0.237","0.217","0.54","71.427","4","","Verve Reissues","C © 2007 The Verve Music Group, a Division of UMG Recordings, Inc., P ℗ 1959 The Verve Music Group, a Division of UMG Recordings, Inc."
"spotify:track:5IyRK6PSy3R5VPiBbkXRwh","A Felicidade (Vocal Version)","spotify:artist:3pO5VjZ4wOHCMBXOvbMISG, spotify:artist:174ThXFgQg2VCq9r3m8ceb","Antônio Carlos Jobim, Luiz Bonfá","spotify:album:7MzByE7POEnhPIh8Jk6NGs","Orfeu Negro","spotify:artist:174ThXFgQg2VCq9r3m8ceb, spotify:artist:3pO5VjZ4wOHCMBXOvbMISG","Luiz Bonfá, Antônio Carlos Jobim","1959-03-31","https://i.scdn.co/image/ab67616d0000b273827707f36249bf835b144130","1","16","167373","https://p.scdn.co/mp3-preview/63f3816fb0a7886b5cd7183cd5abf659dc69984a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","QM4TX1767892","spotify:user:isak.sjoholm.","2025-07-18T13:11:24Z","bossa nova,brasiliansk jazz,mpb,latinamerikansk jazz,bossa nova,brasiliansk jazz,latinamerikansk jazz","0.467","0.12","2","-14.258","0","0.0379","0.949","0","0.101","0.509","45.025","4","","Poppydisc","C (C) 2017 Poppydisc"
