"Låtens URI","Låtens namn","Artistens URI","Artistens namn","Albumets URI","Albumets namn","Albumartistens URI","Albumartistens namn","Albumets releasedatum","Albumets bild-URL","Skivnummer","Låtnummer","Låtlängd (ms)","Förhandsgranskning URL","Explicit","Popularitet","ISRC","Tillagd av","Tillagd vid","Artistens genrer","Dansbarhet","Energi","Tonart","Ljudstyrka","Läge","Talighet","Akustik","Instrumentalhet","Livlighet","Valens","Tempo","Taktart","Albumets genrer","Skivbolag","Upphovsrätt"
"spotify:track:5veWjt4vuWY0QyR3ReohF6","Mendigo Por Tua Culpa","spotify:artist:7gfkYbxpguEc9bm6m8TpAr","Chitãozinho & Xororó","spotify:album:5glwpMQLgEiMnbJz8vFGh6","A Força Jovem Da Música Sertaneja","spotify:artist:7gfkYbxpguEc9bm6m8TpAr","Chitãozinho & Xororó","1976","https://i.scdn.co/image/ab67616d0000b2735051d8c678d558ba60bbc302","1","4","129533","https://p.scdn.co/mp3-preview/d22e3c3f015867d597bddf24de205ee716e0380d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","BREMI7600007","spotify:user:isak.sjoholm.","2025-07-18T13:23:32Z","sertanejo tradicional,sertanejo,agronejo","0.691","0.555","11","-8.312","1","0.0369","0.65","0","0.081","0.77","98.729","4","","EMI Music Brasil Ltda","C © 2015 EMI Records Brasil Ltda/Universal Music International Ltda, P ℗ 1976 EMI Records Brasil Ltda/Universal Music International Ltda"
"spotify:track:7FPwyt109Z0Ks5HFyXclJo","Superstafa","spotify:artist:7dnT2FUXhjirperXaH22IJ","Rita Lee","spotify:album:6ijeidJRPXQntGfec5gkFk","Entradas E Bandeiras","spotify:artist:7dnT2FUXhjirperXaH22IJ","Rita Lee","1976","https://i.scdn.co/image/ab67616d0000b2735b62b0da40cffe6538a4eb1f","1","6","218200","https://p.scdn.co/mp3-preview/efbb56d22e1b3be140f5be2cb6eae0821bee60d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","BREMI7600656","spotify:user:isak.sjoholm.","2025-07-18T13:23:32Z","mpb,brasiliansk rock,brasiliansk pop","0.508","0.872","2","-9.262","1","0.0686","0.0815","0.00000789","0.0529","0.829","140.944","4","","EMI Brazil","C © 2005 EMI Music Brasil Ltda, P ℗ 2005 EMI Music Brasil Ltda"
"spotify:track:0PkkPvz04LfEg1CfqZKXFv","Podes Rir","spotify:artist:0lTr2hteHyTLbCmgUpLf8J","Roberto Ribeiro","spotify:album:6hpcN2QCZogZVExfUDi5ED","Arrasta Povo","spotify:artist:0lTr2hteHyTLbCmgUpLf8J","Roberto Ribeiro","1976-06-03","https://i.scdn.co/image/ab67616d0000b273606c65b5ab378d89b970bce6","1","5","148266","https://p.scdn.co/mp3-preview/ed29ad782a8ad6b11c8dbecd4c44454cacdaec73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","BREMI7600796","spotify:user:isak.sjoholm.","2025-07-18T13:23:32Z","samba","0.569","0.693","7","-9.023","1","0.19","0.227","0","0.079","0.73","115.315","4","","Universal Music Ltda.","C © 1976 EMI Records Brasil Ltda, P ℗ 1976 EMI Records Brasil Ltda"
"spotify:track:0iVYuh40UFDZ9yzbjvYEv4","Minha Tia - Versão Remasterizada","spotify:artist:7fAKtXSdNInWAIf0jVUz65","Roberto Carlos","spotify:album:45PcdXSUjcqVDbwqjRewhy","Roberto Carlos (1976 Remasterizado)","spotify:artist:7fAKtXSdNInWAIf0jVUz65","Roberto Carlos","1976-04-07","https://i.scdn.co/image/ab67616d0000b27331dfcf7345f1c2a37d670241","1","10","202960","https://p.scdn.co/mp3-preview/f46c7f9dfd3174b05fbff7b02279d7625d5251b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","BRSME7600045","spotify:user:isak.sjoholm.","2025-07-18T13:23:32Z","mpb,brega,bolero","0.641","0.445","4","-10.18","1","0.0446","0.867","0.00111","0.208","0.766","111.17","4","","Sony BMG Music Entertainment","P (P) 1976 Sony Music Entertainment Brasil Ltda"
"spotify:track:3QANqpWJKFzhUa36r9Z3T4","Pássaro","spotify:artist:7uueezfy8NlCLWlJAOQPnk","O Terco","spotify:album:5QCDjm1ZgWEMSqGqlpsQ2f","Casa Encantada","spotify:artist:7uueezfy8NlCLWlJAOQPnk","O Terco","1976-01-01","https://i.scdn.co/image/ab67616d0000b2739a90fa48abcb1d1540e3fad9","1","11","164773","https://p.scdn.co/mp3-preview/d250e9ef9029926b16c952d0c2e4d29767db3cdd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","BREMI7600167","spotify:user:isak.sjoholm.","2025-07-18T13:23:32Z","brasiliansk rock,progressiv rock","0.527","0.298","7","-14.23","1","0.0329","0.27","0","0.0623","0.198","134.54","4","","EMI Music Brasil Ltda","C © 1976 EMI Music Brasil Ltda, P ℗ 1976 EMI Music Brasil Ltda"
"spotify:track:4MmkqnajtF0g8URN9jgBuM","Lumiar","spotify:artist:4ijgnqYvE1INXb1NSVT11m","Beto Guedes","spotify:album:2ZAQTUh2sKZs7EHtd50eWk","A Página Do Relâmpago Elétrico","spotify:artist:4ijgnqYvE1INXb1NSVT11m","Beto Guedes","1977-10-03","https://i.scdn.co/image/ab67616d0000b2736ffe8d7c6b51710d4a7cac38","1","6","205752","https://p.scdn.co/mp3-preview/0e060385e96b6562f31f3b99a8a438917106650d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","BREMI7600026","spotify:user:isak.sjoholm.","2025-07-18T13:23:32Z","mpb","0.637","0.613","11","-9.18","0","0.0342","0.537","0","0.0324","0.664","130.072","3","","EMI","C © 1977 EMI Music Brasil Ltda, P ℗ 1977 EMI Music Brasil Ltda"
"spotify:track:60kHuNkAzdQbCLNs7oplTM","Pra Que Chorar","spotify:artist:0hPar6ePAELiu9rYMdvMEo","Alcione","spotify:album:1batFaqce8LYVmGPVY1zKP","Pra Que Chorar","spotify:artist:0hPar6ePAELiu9rYMdvMEo","Alcione","1977","https://i.scdn.co/image/ab67616d0000b273af50d905e67979bb571659ec","1","6","190666","https://p.scdn.co/mp3-preview/fc1fb5813669b10514159ba4dcb2d22fe084b925?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","BRMCA0500698","spotify:user:isak.sjoholm.","2025-07-18T13:23:32Z","samba,pagode,mpb","0.567","0.576","2","-9.495","1","0.0731","0.505","0","0.0748","0.926","154.285","4","","Universal Music Ltda.","C © 1977 Universal Music Ltda, P ℗ 1977 Universal Music Ltda"
"spotify:track:2paHT1IZMaFV3pw2Oeoa7l","Maria Solidária","spotify:artist:4ijgnqYvE1INXb1NSVT11m","Beto Guedes","spotify:album:2ZAQTUh2sKZs7EHtd50eWk","A Página Do Relâmpago Elétrico","spotify:artist:4ijgnqYvE1INXb1NSVT11m","Beto Guedes","1977-10-03","https://i.scdn.co/image/ab67616d0000b2736ffe8d7c6b51710d4a7cac38","1","2","181487","https://p.scdn.co/mp3-preview/cc70afdb61f61bef9d8ed114b9402b7342a293a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","BREMI7600191","spotify:user:isak.sjoholm.","2025-07-18T13:23:32Z","mpb","0.566","0.536","9","-10.612","1","0.0368","0.563","0.00142","0.36","0.889","147.06","3","","EMI","C © 1977 EMI Music Brasil Ltda, P ℗ 1977 EMI Music Brasil Ltda"
"spotify:track:26OCWJsiCtUpP7MiBVJDTM","Choveu","spotify:artist:4ijgnqYvE1INXb1NSVT11m","Beto Guedes","spotify:album:2ZAQTUh2sKZs7EHtd50eWk","A Página Do Relâmpago Elétrico","spotify:artist:4ijgnqYvE1INXb1NSVT11m","Beto Guedes","1977-10-03","https://i.scdn.co/image/ab67616d0000b2736ffe8d7c6b51710d4a7cac38","1","3","265450","","false","26","BREMI7700549","spotify:user:isak.sjoholm.","2025-07-18T13:23:32Z","mpb","0.41","0.33","7","-13.803","1","0.0328","0.228","0.0592","0.103","0.311","126.837","3","","EMI","C © 1977 EMI Music Brasil Ltda, P ℗ 1977 EMI Music Brasil Ltda"
"spotify:track:71LxUuY2VCsQFShBBXCbUR","A Página Do Relâmpago Elétrico","spotify:artist:4ijgnqYvE1INXb1NSVT11m","Beto Guedes","spotify:album:2ZAQTUh2sKZs7EHtd50eWk","A Página Do Relâmpago Elétrico","spotify:artist:4ijgnqYvE1INXb1NSVT11m","Beto Guedes","1977-10-03","https://i.scdn.co/image/ab67616d0000b2736ffe8d7c6b51710d4a7cac38","1","1","321062","https://p.scdn.co/mp3-preview/7f66b3135de09fc91db66277d52a9d27d9fd074a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","BREMI7600027","spotify:user:isak.sjoholm.","2025-07-18T13:23:32Z","mpb","0.421","0.512","1","-12.675","1","0.0298","0.199","0.00000366","0.195","0.494","108.464","3","","EMI","C © 1977 EMI Music Brasil Ltda, P ℗ 1977 EMI Music Brasil Ltda"
