"Låtens URI","Låtens namn","Artistens URI","Artistens namn","Albumets URI","Albumets namn","Albumartistens URI","Albumartistens namn","Albumets releasedatum","Albumets bild-URL","Skivnummer","Låtnummer","Låtlängd (ms)","Förhandsgranskning URL","Explicit","Popularitet","ISRC","Tillagd av","Tillagd vid","Artistens genrer","Dansbarhet","Energi","Tonart","Ljudstyrka","Läge","Talighet","Akustik","Instrumentalhet","Livlighet","Valens","Tempo","Taktart","Albumets genrer","Skivbolag","Upphovsrätt"
"spotify:track:6WzRpISELf3YglGAh7TXcG","Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series)","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:699OTQXzgjhIYAHMy9RyPD, spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","The Weeknd, Playboi Carti, Madonna","spotify:album:5O0zUvdnJr0RbWzLFneN2i","Popular (Music from the HBO Original Series)","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","The Weeknd, Madonna","2023-06-02","https://i.scdn.co/image/ab67616d0000b2734c8f092adc59b4bf4212389d","1","1","215466","https://p.scdn.co/mp3-preview/3bb12d1f2bdfd7eaf80d8502fe28806a422d8e5c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","85","USUG12303876","spotify:user:isak.sjoholm.","2024-05-04T15:32:08Z","rage rap","0.854","0.674","1","-6.23","1","0.184","0.0517","0.0000853","0.509","0.848","99.022","4","","XO / Republic Records","C © 2023 The Weeknd XO, Inc., marketed by Republic Records, a division of UMG Recordings, Inc., P ℗ 2023 The Weeknd XO, Inc., marketed by Republic Records, a division of UMG Recordings, Inc."
"spotify:track:28luqgS4NCuFKP6YSOtia5","Foreplay","spotify:artist:41DGOfz7IFMVvf9wKAzeZS","Jalen Santoy","spotify:album:0uRgp488f4SX8NcJ5p1GqI","Foreplay","spotify:artist:41DGOfz7IFMVvf9wKAzeZS","Jalen Santoy","2016-07-07","https://i.scdn.co/image/ab67616d0000b273e45db56c3d64cff1da2effaa","1","1","173784","https://p.scdn.co/mp3-preview/7fb622325d82571fd882b5a859408227c8e0b7c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USUYG1106731","spotify:user:isak.sjoholm.","2024-05-04T15:32:11Z","","0.73","0.422","5","-6.211","0","0.0678","0.123","0.00292","0.105","0.505","118.427","4","","Ventwood Entertainment / EMPIRE","C 2016 Ventwood Entertainment / EMPIRE, P 2016 Ventwood Entertainment / EMPIRE"
"spotify:track:2Xr1dTzJee307rmrkt8c0g","love nwantiti (ah ah ah)","spotify:artist:048LktY5zMnakWq7PTtFrz","CKay","spotify:album:6lheAtw3IcJvflIhLbykih","CKay The First","spotify:artist:048LktY5zMnakWq7PTtFrz","CKay","2019-08-30","https://i.scdn.co/image/ab67616d0000b273405fdad252857e01dbced96a","1","2","145800","https://p.scdn.co/mp3-preview/66fcd4a3341836530e964de7f24d9198610f537b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","QMEU31910213","spotify:user:isak.sjoholm.","2024-05-04T15:32:24Z","afrobeats,afrobeat,afro r&b,afropop","0.727","0.739","8","-3.805","1","0.0411","0.365","0.00137","0.161","0.533","93.005","4","","Chocolate City Music","C © 2019 Chocolate City Music, P ℗ 2019 Chocolate City Music"
"spotify:track:37nd3wVSymBnw7F75b5zYM","Hur Som Helst","spotify:artist:6rYEqmajzlhGVaayOJ2bpJ","Yasin","spotify:album:7s7eQKeG8tRxmJFfseNrYR","Hur Som Helst","spotify:artist:6rYEqmajzlhGVaayOJ2bpJ","Yasin","2024-03-01","https://i.scdn.co/image/ab67616d0000b2737ccc0b985ce890957dadecfc","1","1","182535","https://p.scdn.co/mp3-preview/ca750ba4c3a711e93cd032673d5fc7b9df05f261?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","SE5BU2468155","spotify:user:isak.sjoholm.","2024-05-04T15:32:35Z","","0.832","0.487","1","-8.234","0","0.135","0.357","0.0524","0.109","0.738","89.993","4","","GG","C 2024 GG, P 2024 GG"
"spotify:track:3USxtqRwSYz57Ewm6wWRMp","Heat Waves","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","spotify:album:5bfpRtBW7RNRdsm3tRyl3R","Dreamland","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","2020-08-07","https://i.scdn.co/image/ab67616d0000b273712701c5e263efc8726b1464","1","14","238805","https://p.scdn.co/mp3-preview/3ad42c65bc41d0845369a662a21d0c1e25df67fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","91","GBUM72000433","spotify:user:isak.sjoholm.","2024-05-04T15:32:54Z","","0.761","0.525","11","-6.9","1","0.0944","0.44","0.0000067","0.0921","0.531","80.87","4","","Polydor Records","C © 2020 Wolf Tone Records, a division of Universal Music Operations Limited, P ℗ 2020 Wolf Tone Records, a division of Universal Music Operations Limited"
"spotify:track:5KrwSUQUBNVPI8McE77OgB","Apelsinskal","spotify:artist:0XDfNJsQy7B3q0GfsMHSkp, spotify:artist:5wXRHaEx8AvtUv0gyZHGf6","Tjuvjakt, Newkid","spotify:album:5vDwrDp5Hc3Hn5BqtkVB46","Blåa jeans, tomma fickor","spotify:artist:0XDfNJsQy7B3q0GfsMHSkp","Tjuvjakt","2020-11-06","https://i.scdn.co/image/ab67616d0000b273d65617a77eab55fc38753651","1","3","158280","https://p.scdn.co/mp3-preview/e1acdc7700647038d1bef38d30dab929ca8c5a0d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","SEUM72000270","spotify:user:isak.sjoholm.","2024-05-04T15:33:52Z","svensk pop,svensk pop","0.713","0.676","2","-5.852","1","0.323","0.114","0","0.0642","0.484","75.301","4","","Universal Music AB","C © 2020 Mångata Records, Under exclusive license to Universal Music AB, P ℗ 2020 Mångata Records, Under exclusive license to Universal Music AB"
"spotify:track:7MzmBmyI9KkyQJaPNLdtUi","17 år","spotify:artist:2OIWxN9xUhgUHkeUCWCaNs","Veronica Maggio","spotify:album:7K3z58HrZ2RJR2j82xWbsc","Och vinnaren är...","spotify:artist:2OIWxN9xUhgUHkeUCWCaNs","Veronica Maggio","2008-01-01","https://i.scdn.co/image/ab67616d0000b273b8f600439b138e7fdceb5c93","1","10","220520","https://p.scdn.co/mp3-preview/1f304cd3bbac7feb2bd9e00ce0c8fca35fc25ac3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","SEUM70800042","spotify:user:isak.sjoholm.","2024-05-04T15:34:42Z","svensk pop","0.76","0.675","1","-6.299","1","0.0254","0.244","0.00000842","0.105","0.783","106.942","4","","Universal Music AB","C © 2008 Veronica Maggio AB, Under exclusive license to Universal Music AB, P ℗ 2008 Veronica Maggio AB, Under exclusive license to Universal Music AB"
"spotify:track:4GK4mydvnsodLEHWb4zJV4","Sunnanvind","spotify:artist:4TdxMK2fOY7eOBvgtDwbVC","Mares","spotify:album:11zMh9VPccELGpM5FgJIx9","Sunnanvind","spotify:artist:4TdxMK2fOY7eOBvgtDwbVC","Mares","2019-03-15","https://i.scdn.co/image/ab67616d0000b273deea6f33cc7e6b4d2a4151c6","1","2","202409","https://p.scdn.co/mp3-preview/74397d29aa0db915c906da332e4c52ee2322c7ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","SE5BU1968487","spotify:user:isak.sjoholm.","2024-05-04T15:34:54Z","svensk pop","0.718","0.702","1","-6.845","0","0.0324","0.0184","0.0000127","0.388","0.357","103.934","4","","Tjooff","C 2019 Tjooff, P 2019 Tjooff"
"spotify:track:5YbPxJwPfrj7uswNwoF1pJ","Last Last","spotify:artist:3wcj11K77LjEY1PkEazffa","Burna Boy","spotify:album:6kgDkAupBVRSqbJPUaTJwQ","Love, Damini","spotify:artist:3wcj11K77LjEY1PkEazffa","Burna Boy","2022-07-07","https://i.scdn.co/image/ab67616d0000b2731298bf27f92f0db9a2baaca3","1","7","172342","https://p.scdn.co/mp3-preview/2424ab80f615e8dab8667ce4a30bbba09701d647?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USAT22204901","spotify:user:isak.sjoholm.","2024-05-04T15:37:06Z","afrobeats,afrobeat,afropop,afroswing,dancehall,afropiano","0.795","0.565","3","-4.457","0","0.0948","0.131","0","0.0802","0.55","87.925","4","","Spaceship/ Bad Habit/Atlantic Records","C Spaceship/Bad Habit/Atlantic Records, © 2022 Atlantic Recording Corporation, P Spaceship/Bad Habit/Atlantic Records, ℗ 2022 Atlantic Recording Corporation"
"spotify:track:6t0YIui8b5Jt8oUVOrmujk","Young & Heartless","spotify:artist:6rYEqmajzlhGVaayOJ2bpJ","Yasin","spotify:album:4lba6QTr2T6VDgZoVVM2mt","98.01.11","spotify:artist:6rYEqmajzlhGVaayOJ2bpJ","Yasin","2020-05-22","https://i.scdn.co/image/ab67616d0000b273660a360926b1be8069fcf93c","1","7","145882","https://p.scdn.co/mp3-preview/82d4d4f9b6426623658906bc85786db79e05e470?cid=9950ac751e34487dbbe027c4fd7f8e99","true","16","SE6I32036242","spotify:user:isak.sjoholm.","2024-05-04T15:37:27Z","","0.829","0.55","8","-9.071","1","0.3","0.39","0.0000347","0.116","0.867","101.871","4","","MadeNiggaMusic","C 2020 MadeNiggaMusic, P 2020 MadeNiggaMusic"
