Låtens URI,Låtens namn,Artistens URI,Artistens namn,Albumets URI,Albumets namn,Albumartistens URI,Albumartistens namn,Albumets releasedatum,Albumets bild-URL,Skivnummer,Låtnummer,Låtlängd (ms),Förhandsgranskning URL,Explicit,Popularitet,ISRC,Tillagd av,Tillagd vid,Artistens genrer,Dansbarhet,Energi,Tonart,Ljudstyrka,Läge,Talighet,Akustik,Instrumentalhet,Livlighet,Valens,Tempo,Taktart,Albumets genrer,Skivbolag,Upphovsrätt
spotify:track:4zilaLUHhqf7oAjilo9ws6,Lille Pik,spotify:artist:6gBmiKOt38JSrowmeMqawZ,Pattesutter,spotify:album:5j46mjERNOLmm0F3m9QQT6,Lille Pik,spotify:artist:6gBmiKOt38JSrowmeMqawZ,Pattesutter,2018-12-21,https://i.scdn.co/image/ab67616d0000b27386da150e58e6bdb47234fb59,1,1,148586,https://p.scdn.co/mp3-preview/ff248ccb761eebdceebd5f9e8f0be2ef2b3f878c?cid=9950ac751e34487dbbe027c4fd7f8e99,True,37,DKCC21803201,spotify:user:isak.sjoholm.,2025-07-18T13:16:44Z,,0.843,0.96,7.0,-4.61,1.0,0.0474,0.0128,0.00155,0.0373,0.978,146.998,3.0,,Heksekunst,"C (C) 2021 Heksekunst, P (P) 2021 Heksekunst"
spotify:track:4zilaLUHhqf7oAjilo9ws6,Lille Pik,spotify:artist:6gBmiKOt38JSrowmeMqawZ,Pattesutter,spotify:album:5j46mjERNOLmm0F3m9QQT6,Lille Pik,spotify:artist:6gBmiKOt38JSrowmeMqawZ,Pattesutter,2018-12-21,https://i.scdn.co/image/ab67616d0000b27386da150e58e6bdb47234fb59,1,1,148586,https://p.scdn.co/mp3-preview/ff248ccb761eebdceebd5f9e8f0be2ef2b3f878c?cid=9950ac751e34487dbbe027c4fd7f8e99,True,37,DKCC21803201,spotify:user:isak.sjoholm.,2025-07-18T13:16:44Z,,0.843,0.96,7.0,-4.61,1.0,0.0474,0.0128,0.00155,0.0373,0.978,146.998,3.0,,Heksekunst,"C (C) 2021 Heksekunst, P (P) 2021 Heksekunst"
spotify:track:0Byi0pNpSr0FKDQ8HtMwKY,Yo Quiero Quebrarte,spotify:artist:6RVdNANISrVp76M0Wjy4hX,Los Felinos,spotify:album:7rVVL3koiagqhD3yMYpAQy,Soy El Aventurero,spotify:artist:6RVdNANISrVp76M0Wjy4hX,Los Felinos,1994-04-19,https://i.scdn.co/image/ab67616d0000b273b83677eab8580db68467fc58,1,2,186247,https://p.scdn.co/mp3-preview/cf15d840e544821f2d7a1ec649c9d138e5635f82?cid=9950ac751e34487dbbe027c4fd7f8e99,False,62,MXF369432943,spotify:user:isak.sjoholm.,2025-07-18T13:12:13Z,"grupera,cumbia,cumbia sonidera,cumbia norteña",0.875,0.882,0.0,-8.113,1.0,0.0567,0.0373,0.346,0.0228,0.918,140.354,4.0,,Musart-Balboa,"C © 1994 Musart-Balboa, a division of Concord Music Group, Inc., P ℗ 1994 Musart-Balboa, a division of Concord Music Group, Inc."
spotify:track:0Byi0pNpSr0FKDQ8HtMwKY,Yo Quiero Quebrarte,spotify:artist:6RVdNANISrVp76M0Wjy4hX,Los Felinos,spotify:album:7rVVL3koiagqhD3yMYpAQy,Soy El Aventurero,spotify:artist:6RVdNANISrVp76M0Wjy4hX,Los Felinos,1994-04-19,https://i.scdn.co/image/ab67616d0000b273b83677eab8580db68467fc58,1,2,186247,https://p.scdn.co/mp3-preview/cf15d840e544821f2d7a1ec649c9d138e5635f82?cid=9950ac751e34487dbbe027c4fd7f8e99,False,62,MXF369432943,spotify:user:isak.sjoholm.,2025-07-18T13:12:13Z,"grupera,cumbia,cumbia sonidera,cumbia norteña",0.875,0.882,0.0,-8.113,1.0,0.0567,0.0373,0.346,0.0228,0.918,140.354,4.0,,Musart-Balboa,"C © 1994 Musart-Balboa, a division of Concord Music Group, Inc., P ℗ 1994 Musart-Balboa, a division of Concord Music Group, Inc."
spotify:track:2n45sK6aEas1Wwnt4Obj7z,Ah W Noss,spotify:artist:0LnHdW6HMPoOlNdhG3DHjE,Nancy Ajram,spotify:album:2Cq6dxYeJSGMq9ivFt1AK6,Ah W Noss,spotify:artist:0LnHdW6HMPoOlNdhG3DHjE,Nancy Ajram,2004-01-01,https://i.scdn.co/image/ab67616d0000b273838b460e30d6a77512ffd00c,1,1,281053,https://p.scdn.co/mp3-preview/efc98e22c1b76b75deffa9bb902792df5b66caf6?cid=9950ac751e34487dbbe027c4fd7f8e99,False,64,AEAB20400162,spotify:user:isak.sjoholm.,2025-07-18T13:05:59Z,"sholawat,khaleeji,egyptisk pop",0.774,0.933,7.0,-6.248,0.0,0.0691,0.125,6.21e-05,0.0428,0.967,141.967,4.0,,EMI MUSIC ARABIA,"C © 2004 Relax IN Music International SAL, Distributed by EMI Music Arabia, P ℗ 2004 Relax IN Music International SAL, Distributed by EMI Music Arabia"
spotify:track:2n45sK6aEas1Wwnt4Obj7z,Ah W Noss,spotify:artist:0LnHdW6HMPoOlNdhG3DHjE,Nancy Ajram,spotify:album:2Cq6dxYeJSGMq9ivFt1AK6,Ah W Noss,spotify:artist:0LnHdW6HMPoOlNdhG3DHjE,Nancy Ajram,2004-01-01,https://i.scdn.co/image/ab67616d0000b273838b460e30d6a77512ffd00c,1,1,281053,https://p.scdn.co/mp3-preview/efc98e22c1b76b75deffa9bb902792df5b66caf6?cid=9950ac751e34487dbbe027c4fd7f8e99,False,64,AEAB20400162,spotify:user:isak.sjoholm.,2025-07-18T13:05:59Z,"sholawat,khaleeji,egyptisk pop",0.774,0.933,7.0,-6.248,0.0,0.0691,0.125,6.21e-05,0.0428,0.967,141.967,4.0,,EMI MUSIC ARABIA,"C © 2004 Relax IN Music International SAL, Distributed by EMI Music Arabia, P ℗ 2004 Relax IN Music International SAL, Distributed by EMI Music Arabia"
spotify:track:0BpSpSsxlV4lUDZrtfScer,Mare Petrecere,"spotify:artist:36Pv4nrbKXaEZHJinKrGDx, spotify:artist:79E5wmHfOMwxy4WCh4mDIL","Vali Vijelie, Liviu Pustiu",spotify:album:5xst7Kmlz1GexRj2xVWbNl,2019,spotify:artist:36Pv4nrbKXaEZHJinKrGDx,Vali Vijelie,2019-09-06,https://i.scdn.co/image/ab67616d0000b273776451520e620e8e7a294842,1,1,238524,https://p.scdn.co/mp3-preview/ce1b2624c1e18f0ef7f13eb0f42cbae59e2644c7?cid=9950ac751e34487dbbe027c4fd7f8e99,False,46,TCAEK1962130,spotify:user:isak.sjoholm.,2025-07-18T13:22:57Z,"manele,manele",0.823,0.956,11.0,-3.696,0.0,0.0556,0.15,0.0,0.0306,0.971,140.002,4.0,,Vali Vijelie,"C 2019 Vali Vijelie, P 2019 Vali Vijelie"
spotify:track:0BpSpSsxlV4lUDZrtfScer,Mare Petrecere,"spotify:artist:36Pv4nrbKXaEZHJinKrGDx, spotify:artist:79E5wmHfOMwxy4WCh4mDIL","Vali Vijelie, Liviu Pustiu",spotify:album:5xst7Kmlz1GexRj2xVWbNl,2019,spotify:artist:36Pv4nrbKXaEZHJinKrGDx,Vali Vijelie,2019-09-06,https://i.scdn.co/image/ab67616d0000b273776451520e620e8e7a294842,1,1,238524,https://p.scdn.co/mp3-preview/ce1b2624c1e18f0ef7f13eb0f42cbae59e2644c7?cid=9950ac751e34487dbbe027c4fd7f8e99,False,46,TCAEK1962130,spotify:user:isak.sjoholm.,2025-07-18T13:22:57Z,"manele,manele",0.823,0.956,11.0,-3.696,0.0,0.0556,0.15,0.0,0.0306,0.971,140.002,4.0,,Vali Vijelie,"C 2019 Vali Vijelie, P 2019 Vali Vijelie"
spotify:track:5XudLNfqJWywAra0dSNi7f,Pimba Pimba,spotify:artist:1xuWbulfiPxqP5rucKLiQN,Emanuel,spotify:album:4KjhTVmSuMWUPF3z09RppT,O Melhor De,spotify:artist:1xuWbulfiPxqP5rucKLiQN,Emanuel,2003-05-15,https://i.scdn.co/image/ab67616d0000b273f7f1e6850c114df9946d8eef,1,2,174706,https://p.scdn.co/mp3-preview/0a37b214d453c055ec0098dbbf3635fa41ff15ac?cid=9950ac751e34487dbbe027c4fd7f8e99,False,49,USA371633034,spotify:user:isak.sjoholm.,2025-07-18T13:15:01Z,kuduro,0.784,0.949,6.0,-5.545,1.0,0.0619,0.0261,0.0,0.0895,0.975,147.998,4.0,,Vidisco,C 2003 Vidisco
spotify:track:5XudLNfqJWywAra0dSNi7f,Pimba Pimba,spotify:artist:1xuWbulfiPxqP5rucKLiQN,Emanuel,spotify:album:4KjhTVmSuMWUPF3z09RppT,O Melhor De,spotify:artist:1xuWbulfiPxqP5rucKLiQN,Emanuel,2003-05-15,https://i.scdn.co/image/ab67616d0000b273f7f1e6850c114df9946d8eef,1,2,174706,https://p.scdn.co/mp3-preview/0a37b214d453c055ec0098dbbf3635fa41ff15ac?cid=9950ac751e34487dbbe027c4fd7f8e99,False,49,USA371633034,spotify:user:isak.sjoholm.,2025-07-18T13:15:01Z,kuduro,0.784,0.949,6.0,-5.545,1.0,0.0619,0.0261,0.0,0.0895,0.975,147.998,4.0,,Vidisco,C 2003 Vidisco
