"Låtens URI","Låtens namn","Artistens URI","Artistens namn","Albumets URI","Albumets namn","Albumartistens URI","Albumartistens namn","Albumets releasedatum","Albumets bild-URL","Skivnummer","Låtnummer","Låtlängd (ms)","Förhandsgranskning URL","Explicit","Popularitet","ISRC","Tillagd av","Tillagd vid","Artistens genrer","Dansbarhet","Energi","Tonart","Ljudstyrka","Läge","Talighet","Akustik","Instrumentalhet","Livlighet","Valens","Tempo","Taktart","Albumets genrer","Skivbolag","Upphovsrätt"
"spotify:track:3bB97PIqXf7WtkKeuYuXFS","Take My Mind","spotify:artist:3ebS2RuCq8QeLyndUDmgB5, spotify:artist:2OFij1ppCwYFCOTq7vzafi","WizTheMc, bees & honey","spotify:album:5Jrwoi3hNDkcSVJisOQFAP","Take My Mind","spotify:artist:3ebS2RuCq8QeLyndUDmgB5, spotify:artist:2OFij1ppCwYFCOTq7vzafi","WizTheMc, bees & honey","2025-07-04","https://i.scdn.co/image/ab67616d0000b273766137f66f62dc48813b980d","1","1","171199","https://p.scdn.co/mp3-preview/a111f56d2153180496040d1d6a513bd2dbabfc7e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","DE1FB2500191","","2025-07-12T14:18:58Z","","0.613","0.727","1","-7.553","1","0.0479","0.0663","0.0000209","0.424","0.195","114.13","4","","Bamboo Artists","C 2025 Bamboo Artists, P 2025 Bamboo Artists"
"spotify:track:4DnrAI8WyUY6gkOwl8GlPN","capaz (merengueton)","spotify:artist:3DeOmVSmpv7WknXoo1OS8p, spotify:artist:4eq1q0o9XPyNq9RG3fNDD1","Alleh, Yorghaki","spotify:album:0sWJ3v0FROzcNzyjNYUs6t","LA CIUDAD","spotify:artist:3DeOmVSmpv7WknXoo1OS8p, spotify:artist:4eq1q0o9XPyNq9RG3fNDD1","Alleh, Yorghaki","2024-12-24","https://i.scdn.co/image/ab67616d0000b2736abd0fcf50a20ac09a028c92","1","9","173858","https://p.scdn.co/mp3-preview/c11143b543daa042c8b027e7226df9c96c71245d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","90","USLD91766968","","2025-07-02T09:07:19Z","","0.872","0.614","3","-5.618","0","0.181","0.0815","0.000207","0.135","0.785","126.957","4","","CONMUER LLC","C 2024 CONMUER LLC, P 2024 CONMUER LLC"
"spotify:track:5PQQrMn2UOeO7I4Twy5HoZ","Nothing Compares 2 U","spotify:artist:4sD9znwiVFx9cgRPZ42aQ1","Sinéad O'Connor","spotify:album:30lHdqLeMVZZxV3qPAZTrm","Nothing Compares 2 U","spotify:artist:4sD9znwiVFx9cgRPZ42aQ1","Sinéad O'Connor","1990-01-01","https://i.scdn.co/image/ab67616d0000b273c57e70a0bf9fba37d3415baf","1","1","280040","https://p.scdn.co/mp3-preview/fa35b1b15254a5fc47426e720d7a1b9e8c0bf6d7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBAYK9000017","","2025-06-27T18:01:44Z","","0.511","0.574","5","-7.016","1","0.0273","0.0425","0.0000233","0.105","0.161","119.917","4","","Chrysalis Records","C 1990 Chrysalis Records Limited, P 1990 Chrysalis Records Limited"
"spotify:track:4t9PBD27dndlf6YMBK2ROc","Track 10","spotify:artist:25uiPmTg16RbhZWAqwLBy5","Charli xcx","spotify:album:2HIwUmdxEl7SeWa1ndH5wC","Pop 2","spotify:artist:25uiPmTg16RbhZWAqwLBy5","Charli xcx","2017-12-15","https://i.scdn.co/image/ab67616d0000b273da30209ea35caf1d46931818","1","10","326906","https://p.scdn.co/mp3-preview/842eda7efcdfe775c18244b201bbd66640765f3f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","GBAHS1701208","","2025-06-22T20:56:54Z","hyperpop,konstpop","0.64","0.652","5","-5.07","1","0.0383","0.212","0","0.0814","0.273","100.065","4","","Atlantic Records UK","C © 2017 Asylum Records UK, a division of Atlantic Records UK. A Warner Music Group Company., P ℗ 2017 Asylum Records UK, a division of Atlantic Records UK. A Warner Music Group Company."
"spotify:track:7srqyRb5plksW5k65itXDB","Girl, so confusing featuring lorde","spotify:artist:25uiPmTg16RbhZWAqwLBy5, spotify:artist:163tK9Wjr9P9DmM0AVK7lm","Charli xcx, Lorde","spotify:album:36P07bti6xD99o7S1acmin","Brat and it’s completely different but also still brat","spotify:artist:25uiPmTg16RbhZWAqwLBy5","Charli xcx","2024-10-11","https://i.scdn.co/image/ab67616d0000b27355a1e72ba425c60a02a9bb47","1","10","205938","https://p.scdn.co/mp3-preview/ffd0ced326c69928a67d9f053616fdd4cd884e9f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USAT22405487","","2025-06-22T20:56:46Z","hyperpop,konstpop","0.707","0.8","11","-5.567","0","0.0544","0.128","0.0000259","0.3","0.354","124.991","4","","Atlantic Records","C © 2024 Atlantic Recording Corporation, P ℗ 2024 Atlantic Recording Corporation"
"spotify:track:2RdEC8Ff83WkX7kDVCHseE","party 4 u","spotify:artist:25uiPmTg16RbhZWAqwLBy5","Charli xcx","spotify:album:3a9qH2VEsSiOZvMrjaS0Nu","how i'm feeling now","spotify:artist:25uiPmTg16RbhZWAqwLBy5","Charli xcx","2020-05-15","https://i.scdn.co/image/ab67616d0000b27349bdbd5880802dcbe4e0b2dd","1","9","296653","https://p.scdn.co/mp3-preview/7b61e74ffc3335d1a168ab70b5d4acfd2476545c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","93","GBAHS2000219","","2025-06-22T20:56:26Z","hyperpop,konstpop","0.579","0.522","1","-8.393","1","0.0993","0.761","0.0000141","0.655","0.245","79.453","4","","Atlantic Records UK","C An Asylum Records UK release, © 2020 Warner Music UK Limited, P An Asylum Records UK release, ℗ 2020 Warner Music UK Limited"
"spotify:track:3GtY2KD9NsTsMHUTevuHD2","Svartskallar","spotify:artist:4XLISC9SzRTcR34fosyMtw","STOR","spotify:album:09eC6ttFh3wh6YiJujEqYp","Under broarna","spotify:artist:4XLISC9SzRTcR34fosyMtw","STOR","2017-06-09","https://i.scdn.co/image/ab67616d0000b2734d20fee92d485ee2965384db","1","4","180186","https://p.scdn.co/mp3-preview/1e0e11ce56c1a7dfaf762c52c837d48bfedcd4ad?cid=9950ac751e34487dbbe027c4fd7f8e99","true","27","SEBGA1601154","","2025-06-19T06:21:29Z","","0.767","0.635","11","-7.214","0","0.232","0.0261","0.0000186","0.34","0.29","92.965","4","","Columbia","P (P) 2017 Stor / Sony Music Entertainment Sweden AB"
"spotify:track:4w47YE9rjhmZUdtZjSCb82","J'me tire","spotify:artist:0GOx72r5AAEKRGQFn3xqXK","GIMS","spotify:album:5EU9LqPsBwrhq4Iqx0xMVd","Subliminal (La face cachée)","spotify:artist:0GOx72r5AAEKRGQFn3xqXK","GIMS","2013-12-02","https://i.scdn.co/image/ab67616d0000b273596368082712ceff7ae95649","1","3","249866","https://p.scdn.co/mp3-preview/249ef6db07fd2bded257d4c58d4793ac57739f3e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","FR7U61200105","","2025-06-14T09:51:23Z","fransk rap,fransk r&b,fransk pop,pop urbaine","0.752","0.676","1","-5.233","0","0.0418","0.00892","0.00000194","0.186","0.425","95.017","4","","Jive Epic","P (P) 2013 Wati-B"
"spotify:track:2GavRZ5DKrWS4bqIit4hLC","Coast","spotify:artist:1esNGCDFDiy6sKEqPhlLb4","Augustine","spotify:album:030P1hbKI1OLAPVpThG5gl","Weeks Above The Earth","spotify:artist:1esNGCDFDiy6sKEqPhlLb4","Augustine","2021-10-29","https://i.scdn.co/image/ab67616d0000b273b24b18b8a6de903fd6abfdae","1","1","172717","https://p.scdn.co/mp3-preview/b6b9eac19000ad868cc75e4594672d2d7cef1bda?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","QZES92046136","","2025-06-07T18:27:06Z","","0.819","0.655","9","-7.171","1","0.0487","0.00934","0.00016","0.292","0.681","120.01","4","","Genesis Records","C 2021 Genesis Records, P 2021 Genesis Records"
"spotify:track:5rlpT8YSXZAIWdWN58MsCP","Sagorna","spotify:artist:0fyeRmbc7XdKio5Fm13LPB, spotify:artist:0XDfNJsQy7B3q0GfsMHSkp","Reyn, Tjuvjakt","spotify:album:4vPA7qQlB4OvUKCPCAaHWW","Sagorna","spotify:artist:0fyeRmbc7XdKio5Fm13LPB, spotify:artist:0XDfNJsQy7B3q0GfsMHSkp","Reyn, Tjuvjakt","2022-07-01","https://i.scdn.co/image/ab67616d0000b273d030dd1620bd9cc05af2f4da","1","1","201000","https://p.scdn.co/mp3-preview/1c7c062f8503d72ba7ec08151ccdd92a2907705c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","SEUM72200924","","2025-05-29T09:15:04Z","svensk pop,svensk pop","0.733","0.813","5","-5.007","0","0.221","0.0255","0","0.136","0.751","91.989","4","","Universal Music AB","C © 2022 Universal Music AB, P ℗ 2022 Universal Music AB"
