"Låtens URI","Låtens namn","Artistens URI","Artistens namn","Albumets URI","Albumets namn","Albumartistens URI","Albumartistens namn","Albumets releasedatum","Albumets bild-URL","Skivnummer","Låtnummer","Låtlängd (ms)","Förhandsgranskning URL","Explicit","Popularitet","ISRC","Tillagd av","Tillagd vid","Artistens genrer","Dansbarhet","Energi","Tonart","Ljudstyrka","Läge","Talighet","Akustik","Instrumentalhet","Livlighet","Valens","Tempo","Taktart","Albumets genrer","Skivbolag","Upphovsrätt"
"spotify:track:2z4U9d5OAA4YLNXoCgioxo","What the Hell","spotify:artist:0p4nmQO2msCgU4IF37Wi3j","Avril Lavigne","spotify:album:1COPJyU2PpM2Itcob3vhFF","Goodbye Lullaby (Expanded Edition)","spotify:artist:0p4nmQO2msCgU4IF37Wi3j","Avril Lavigne","2011-03-08","https://i.scdn.co/image/ab67616d0000b27372c9f7a7c75eba39726106a6","1","2","220706","https://p.scdn.co/mp3-preview/8c0591b363bc2a165eb4f12829a1995e0b84d5fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USRC11000915","spotify:user:isak.sjoholm.","2025-04-10T18:20:41Z","","0.578","0.926","6","-3.689","0","0.0548","0.00472","0.0127","0.14","0.877","149.976","4","","Epic","P (P) 2011 Sony Music Entertainment"
"spotify:track:1tlsHQkQjKFFXq2Q2J36w2","Dangerous - R3HAB Remix","spotify:artist:0kgOnYSaZeTf3ZnErgwkGT, spotify:artist:6cEuCEZu7PAE9ZSzLLc2oQ","Senhit, R3HAB","spotify:album:4FTojXQTEPD0L7iQjU5jdR","Dangerous (R3HAB Remix)","spotify:artist:0kgOnYSaZeTf3ZnErgwkGT, spotify:artist:6cEuCEZu7PAE9ZSzLLc2oQ","Senhit, R3HAB","2025-01-17","https://i.scdn.co/image/ab67616d0000b273e2cf5654d68686c43b802d43","1","1","147000","https://p.scdn.co/mp3-preview/67d256234b03c025b5e7d85fdf510a240f1b3a75?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","ITM712500001","spotify:user:isak.sjoholm.","2025-04-10T18:20:41Z","slap house,edm","0.568","0.969","5","-4.548","0","0.0386","0.00116","0.0136","0.0661","0.535","149.98","4","","Panini S.p.a.","C 2024 Panini S.p.a., P 2024 Panini S.p.a."
"spotify:track:5PUawWFG1oIS2NwEcyHaCr","Uma Thurman","spotify:artist:4UXqAaa6dQYAk18Lv7PEgX","Fall Out Boy","spotify:album:022DrG7Wp2PSCwzuD0bSzT","American Beauty/American Psycho","spotify:artist:4UXqAaa6dQYAk18Lv7PEgX","Fall Out Boy","2015-01-16","https://i.scdn.co/image/ab67616d0000b2733cf1c1dbcfa3f1ab7282719b","1","5","211573","https://p.scdn.co/mp3-preview/30f1f9e13ed0a8bf13668aab2c2523f509604b59?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USUM71417734","spotify:user:isak.sjoholm.","2025-04-10T18:20:41Z","emo,pop-punk","0.623","0.961","4","-2.616","0","0.0869","0.102","0.000171","0.264","0.668","149.963","4","","Island Records","C © 2015 Island Records, a division of UMG Recordings, Inc., P ℗ 2015 Island Records, a division of UMG Recordings, Inc."
"spotify:track:22skzmqfdWrjJylampe0kt","Can't Hold Us (feat. Ray Dalton)","spotify:artist:3JhNCzhSMTxs9WLGJJxWOY, spotify:artist:5mZJerulcERBZV7xnhrVp1, spotify:artist:5BcAKTbp20cv7tC5VqPFoC, spotify:artist:4e0nWw2r4BoQSKPQ2zpU13","Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton","spotify:album:5QWHes9ODwn42DHTifGkXd","The Heist","spotify:artist:3JhNCzhSMTxs9WLGJJxWOY, spotify:artist:5mZJerulcERBZV7xnhrVp1, spotify:artist:5BcAKTbp20cv7tC5VqPFoC","Macklemore, Ryan Lewis, Macklemore & Ryan Lewis","2012-10-09","https://i.scdn.co/image/ab67616d0000b2732a6b364528b128a4a17d100d","1","2","258431","https://p.scdn.co/mp3-preview/8c9523a2742ba6dc93ce1d719e9daa8aaedaa3d8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","88","GMM881200002","spotify:user:isak.sjoholm.","2025-04-10T18:20:41Z","","0.633","0.927","2","-4.468","1","0.0839","0.0267","0","0.0986","0.88","146.097","4","","Macklemore","C © 2012 Macklemore, LLC., P ℗ 2012 Macklemore, LLC."
"spotify:track:5YJtMNWKe55yr49cyJgxva","Everytime We Touch","spotify:artist:0N0d3kjwdY2h7UVuTdJGfp","Cascada","spotify:album:2unbJ7dUr9mITQiMwWFqQD","Everytime We Touch (Premium Edition)","spotify:artist:0N0d3kjwdY2h7UVuTdJGfp","Cascada","2010-02-12","https://i.scdn.co/image/ab67616d0000b273e0c8b75abb6704283aa645aa","1","1","197124","https://p.scdn.co/mp3-preview/5c620922d3b2422a7143f75d5d143a48ab2910b7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","DEZ620500053","spotify:user:isak.sjoholm.","2025-04-10T18:20:41Z","europop,eurodance","0.633","0.976","8","-5.362","1","0.0519","0.00281","0.0000129","0.382","0.493","142.027","4","","Zoo Digital","C 2010 Zooland Records, P 2010 Zooland Records"
"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","INDUSTRY BABY (feat. Jack Harlow)","spotify:artist:7jVv8c5Fj3E9VhNjxT4snq, spotify:artist:2LIk90788K0zvyj2JJVwkJ","Lil Nas X, Jack Harlow","spotify:album:6pOiDiuDQqrmo5DbG0ZubR","MONTERO","spotify:artist:7jVv8c5Fj3E9VhNjxT4snq","Lil Nas X","2021-09-17","https://i.scdn.co/image/ab67616d0000b273be82673b5f79d9658ec0a9fd","1","3","212352","https://p.scdn.co/mp3-preview/2bfa1aca3b507df2cc3aac0b37bbc05b74c096cd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USSM12104539","spotify:user:isak.sjoholm.","2025-04-10T18:20:41Z","","0.741","0.691","10","-7.395","0","0.0672","0.0221","0","0.0476","0.892","150.087","4","","Columbia","P (P) 2021 Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:3Ofmpyhv5UAQ70mENzB277","Astronaut In The Ocean","spotify:artist:1uU7g3DNSbsu0QjSEqZtEd","Masked Wolf","spotify:album:7vus4Q8r5DS2Dl1JClxEsA","Astronaut In The Ocean","spotify:artist:1uU7g3DNSbsu0QjSEqZtEd","Masked Wolf","2021-01-06","https://i.scdn.co/image/ab67616d0000b27397fdd7cf1b14d78c6a7fb17f","1","1","132780","https://p.scdn.co/mp3-preview/e89e477c2467c477031561ff801c055c5777de4f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","USAT22100017","spotify:user:isak.sjoholm.","2025-04-10T18:20:41Z","","0.778","0.695","4","-6.865","0","0.0913","0.175","0","0.15","0.472","149.996","4","","Elektra (NEK)","C © 2021 Elektra Records LLC, P ℗ 2021 Elektra Records LLC"
"spotify:track:42VsgItocQwOQC3XWZ8JNA","FE!N (feat. Playboi Carti)","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY, spotify:artist:699OTQXzgjhIYAHMy9RyPD","Travis Scott, Playboi Carti","spotify:album:18NOKLkZETa4sWwLMIm0UZ","UTOPIA","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","2023-07-28","https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44","1","8","191700","https://p.scdn.co/mp3-preview/4b0178cf6991f59db18e12e2219ff11e27474b0a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","88","USSM12305010","spotify:user:isak.sjoholm.","2025-04-10T18:20:41Z","rap,rage rap","0.569","0.882","3","-2.777","0","0.06","0.0316","0","0.142","0.201","148.038","4","","Cactus Jack/Epic","P (P) 2023 Cactus Jack Records under exclusive license to Epic Records, a division of Sony Music Entertainment"
"spotify:track:5t3oszlshIPTzpAwcCMqgw","When You're Looking Like That - Single Remix","spotify:artist:5Z1CCuBsyhEHngq3U5IraY","Westlife","spotify:album:6P1sBa0T1fRooA0UTAQfOu","Coast To Coast (Expanded Edition)","spotify:artist:5Z1CCuBsyhEHngq3U5IraY","Westlife","2000","https://i.scdn.co/image/ab67616d0000b27315f19e3b1fbfc5a2f164fb6a","1","5","232826","https://p.scdn.co/mp3-preview/aa18d47a224bd9cea7c122a22ca3a51cea405fdb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","GBARL0100059","spotify:user:isak.sjoholm.","2025-04-10T18:20:41Z","","0.597","0.945","6","-3.845","1","0.0497","0.018","0","0.0654","0.939","147.908","4","","RCA Records Label","P (P) 2001 BMG Entertainment International UK & Ireland Ltd."
"spotify:track:6nzXkCBOhb2mxctNihOqbb","Bad Girls","spotify:artist:0QJIPDAEDILuo8AIq3pMuU","M.I.A.","spotify:album:3dAxXNscIj0p53lBMEziYR","Matangi","spotify:artist:0QJIPDAEDILuo8AIq3pMuU","M.I.A.","2013-01-01","https://i.scdn.co/image/ab67616d0000b2733d6fa293f49903ed38fbe0de","1","8","227520","https://p.scdn.co/mp3-preview/44015851f9cd2734369585d747a929db0232cc44?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USUG11200143","spotify:user:isak.sjoholm.","2025-04-10T18:20:41Z","","0.639","0.912","1","-2.621","1","0.0615","0.00107","0","0.097","0.343","143.448","4","","Interscope","C © 2013 Maya Arulpragasam, under exclusive license to Interscope Records, P ℗ 2013 Maya Arulpragasam, under exclusive license to Interscope Records"
