"Låtens URI","Låtens namn","Artistens URI","Artistens namn","Albumets URI","Albumets namn","Albumartistens URI","Albumartistens namn","Albumets releasedatum","Albumets bild-URL","Skivnummer","Låtnummer","Låtlängd (ms)","Förhandsgranskning URL","Explicit","Popularitet","ISRC","Tillagd av","Tillagd vid","Artistens genrer","Dansbarhet","Energi","Tonart","Ljudstyrka","Läge","Talighet","Akustik","Instrumentalhet","Livlighet","Valens","Tempo","Taktart","Albumets genrer","Skivbolag","Upphovsrätt"
"spotify:track:77XlfkvXtMwppbEU5sku97","Because the Night","spotify:artist:0vYkHhJ48Bs3jWcvZXvOrP","Patti Smith","spotify:album:6dx7saKYTu93wHcCuDSvUH","Easter","spotify:artist:0vYkHhJ48Bs3jWcvZXvOrP","Patti Smith","1978-03-03","https://i.scdn.co/image/ab67616d0000b2731fe752e8205871bd1a5405d2","1","3","205386","https://p.scdn.co/mp3-preview/868ac6bdd34c1a7ee78043d59f41e7184f5679e1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USAR17800008","spotify:user:isak.sjoholm.","2025-01-11T20:12:48Z","proto‑punk","0.443","0.797","11","-5.329","0","0.0351","0.0526","0","0.0997","0.521","123.428","4","","Arista/Legacy","P (P) 1996 Arista Records LLC"
"spotify:track:0DiWol3AO6WpXZgp0goxAV","One More Time","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","spotify:album:2noRn2Aes5aoNVsU6iWThc","Discovery","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","2001-03-12","https://i.scdn.co/image/ab67616d0000b2732c25dad9f8fd54652f7ba5df","1","1","320357","https://p.scdn.co/mp3-preview/06e44e119531d1117c007e2e1cb0c268f613f8b4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","GBDUW0000053","spotify:user:isak.sjoholm.","2025-01-11T20:14:50Z","fransk house,electronic,electro","0.613","0.697","2","-8.618","1","0.133","0.0194","0","0.332","0.476","122.746","4","","Daft Life Ltd./ADA France","C 2001 Distributed exclusively by Warner Music France / ADA France, 2001 Daft Life Ltd., P 2001 Distributed exclusively by Warner Music France / ADA France, 2001 Daft Life Ltd."
"spotify:track:0ijhkvBpA7OBlY4clWSUZw","One More Time - Radio Edit [Short Radio Edit]","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","spotify:album:4a0p1M12f7VaZWdoNSdEK4","Musique, Vol. 1","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","2006-03-29","https://i.scdn.co/image/ab67616d0000b27354a277d652eba4cd35a2e78a","1","7","235466","https://p.scdn.co/mp3-preview/3435380fc01e1aebbd34a7cacc0f0ca9947ccede?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBDUW0000054","spotify:user:isak.sjoholm.","2025-01-11T20:46:55Z","fransk house,electronic,electro","0.649","0.671","2","-8.49","1","0.103","0.0348","0","0.376","0.533","122.881","4","","Daft Life Ltd./ADA France","C Distributed exclusively by Warner Music France / ADA France, © 2006 Daft Life Ltd., P Distributed exclusively by Warner Music France / ADA France, ℗ 2006 Daft Life Ltd."
"spotify:track:40ogYHQCVmrUJ2jCiM2odT","I Follow Rivers - The Magician Remix","spotify:artist:6oBm8HB0yfrIc9IHbxs6in, spotify:artist:4WUGQykLBGFfsl0Qjl6TDM","Lykke Li, The Magician","spotify:album:7dyC777wMpBJHaX1VXArd0","I Follow Rivers (Remixes)","spotify:artist:6oBm8HB0yfrIc9IHbxs6in","Lykke Li","2011-02-18","https://i.scdn.co/image/ab67616d0000b273bf5532356823ebf3c4afc011","1","3","281106","https://p.scdn.co/mp3-preview/b4a730797ba8925b23b8e0eac766ba52d020200c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","SEVUM1100103","spotify:user:isak.sjoholm.","2025-01-11T20:49:01Z","","0.786","0.709","9","-5.737","0","0.0395","0.0192","0.00118","0.0845","0.285","122.019","4","","Parlophone Sweden","C © 2011 LL Recordings under exclusive license to Parlophone Music Sweden AB This Labelcopy information is the subject of Copyright Protection. All rights reserved. (C) 2011 Parlophone Music Sweden AB, P ℗ 2011 The copyright in this sound recording is owned by LL Recordings under exclusive license to Parlophone Music Sweden AB"
"spotify:track:2goLsvvODILDzeeiT4dAoR","Believe","spotify:artist:72OaDtakiy6yFqkt4TsiFt","Cher","spotify:album:0jZfbz0dNfDjPSg0hYJNth","Believe","spotify:artist:72OaDtakiy6yFqkt4TsiFt","Cher","1998","https://i.scdn.co/image/ab67616d0000b27306ce0d1f846c525e847d60e7","1","1","239026","https://p.scdn.co/mp3-preview/4d1118af5a493275e5c7522aaa26faa34b72d828?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","GBAHT9803002","spotify:user:isak.sjoholm.","2025-01-11T21:02:40Z","","0.652","0.917","6","-6.72","1","0.0548","0.0082","0","0.0509","0.459","132.975","4","","Warner Records","C © 1998 Warner Music UK Ltd., P ℗ 1998 All tracks 1998 Warner Music UK Ltd except track 10 1987 The David Geffen Company."
"spotify:track:1xNcBAoUw8Hz6LqK2jt4Ff","Call on Me - Radio Mix","spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R","Eric Prydz","spotify:album:7thKR3tw162CqNqIRdwZ3z","Call on Me (Radio Mix)","spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R","Eric Prydz","2004-09-10","https://i.scdn.co/image/ab67616d0000b2731cd65e046a28cef435feff21","1","1","171360","https://p.scdn.co/mp3-preview/31bc0a16df83fa78aa422068e79d2aa960ac3249?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","GBCEN0400130","spotify:user:isak.sjoholm.","2025-01-11T21:39:15Z","","0.597","0.837","10","-6.518","1","0.375","0.00427","0.00115","0.839","0.447","126.342","4","","Pryda Presents","P (P) 2004 Data Records / Ministry of Sound Recordings Limited / Wincraft Music Limited"
"spotify:track:7ppPZa3TRUSGKaks9wH7VT","Don't Look Back In Anger","spotify:artist:2DaxqgrOhkeH0fpeiQq2f4","Oasis","spotify:album:2u30gztZTylY4RG7IvfXs8","(What's The Story) Morning Glory?","spotify:artist:2DaxqgrOhkeH0fpeiQq2f4","Oasis","1995-10-02","https://i.scdn.co/image/ab67616d0000b2732f2eeee9b405f4d00428d84c","1","4","287826","https://p.scdn.co/mp3-preview/c7887da817d599675f729db43925ded285e6ca0c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","GBAAW9500190","spotify:user:isak.sjoholm.","2025-04-19T10:03:44Z","britpop,madchester","0.349","0.917","0","-3.645","1","0.071","0.026","0.00000725","0.0968","0.206","164.036","4","","Big Brother Recordings Ltd","C (C) 1995 Big Brother Recordings Ltd, P (P) 1995 Big Brother Recordings Ltd"
"spotify:track:1M2nd8jNUkkwrc1dgBPTJz","Angels","spotify:artist:2HcwFjNelS49kFbfvMxQYw","Robbie Williams","spotify:album:31Sx9uz9KqlvmX07Pvp0wN","Life Thru A Lens","spotify:artist:2HcwFjNelS49kFbfvMxQYw","Robbie Williams","1997-01-01","https://i.scdn.co/image/ab67616d0000b273c36cf94d717475042f6bb0f3","1","4","265000","https://p.scdn.co/mp3-preview/c89e3caa6786ae5625f622d6b0b90ca2d7a9c4c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","GBAYE9700233","spotify:user:isak.sjoholm.","2025-04-19T10:03:53Z","","0.429","0.594","4","-6.251","1","0.0277","0.156","0.00000495","0.1","0.236","150.22","4","","Universal-Island Records Ltd.","C © 2013 Universal Island Records, a division of Universal Music Operations Limited, P ℗ 2013 Universal Island Records, a division of Universal Music Operations Limited"
"spotify:track:62AuGbAkt8Ox2IrFFb8GKV","Sweet Caroline","spotify:artist:7mEIug7XUlQHikrFxjTWes","Neil Diamond","spotify:album:6RfgcwsOUlWkGNAd6zjjYd","Sweet Caroline","spotify:artist:7mEIug7XUlQHikrFxjTWes","Neil Diamond","1969-06-06","https://i.scdn.co/image/ab67616d0000b2734d1a7a3e5043173883653ffc","1","13","203573","https://p.scdn.co/mp3-preview/02b08ccf7ade7793f7165c3b00f8a3bb6469666c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USMC16991138","spotify:user:isak.sjoholm.","2025-04-19T10:04:07Z","","0.529","0.127","11","-16.066","1","0.0274","0.614","0.000133","0.237","0.579","63.05","4","","Geffen","C © 1969 UMG Recordings, Inc., P ℗ 1969 UMG Recordings, Inc."
"spotify:track:5RKQ5NdjSh2QzD4MaunT91","Don't Stop Believin' (2022 Remaster)","spotify:artist:0rvjqX7ttXeg3mTy8Xscbt","Journey","spotify:album:4guAwaniEAEQSW0NCpo4gm","Escape (2022 Remaster)","spotify:artist:0rvjqX7ttXeg3mTy8Xscbt","Journey","1981-07-17","https://i.scdn.co/image/ab67616d0000b27363fa4751355b66f236943275","1","1","249600","https://p.scdn.co/mp3-preview/50923c629a4d9ab470b0ca6a10495ecb945c1500?cid=9950ac751e34487dbbe027c4fd7f8e99","false","89","USSM18100116","spotify:user:isak.sjoholm.","2025-04-19T10:13:07Z","aor,klassisk rock","0.505","0.754","4","-7.435","1","0.0366","0.132","0","0.204","0.51","119.204","4","","Columbia/Legacy","P (P) 1981 Columbia Records, a division of Sony Music Entertainment"
