"Låtens URI","Låtens namn","Artistens URI","Artistens namn","Albumets URI","Albumets namn","Albumartistens URI","Albumartistens namn","Albumets releasedatum","Albumets bild-URL","Skivnummer","Låtnummer","Låtlängd (ms)","Förhandsgranskning URL","Explicit","Popularitet","ISRC","Tillagd av","Tillagd vid","Artistens genrer","Dansbarhet","Energi","Tonart","Ljudstyrka","Läge","Talighet","Akustik","Instrumentalhet","Livlighet","Valens","Tempo","Taktart","Albumets genrer","Skivbolag","Upphovsrätt"
"spotify:track:0dFdGPVLs3k0z9ezYWZzUa","Intimidated (feat. H.E.R.)","spotify:artist:6qgnBH6iDM91ipVXv28OMu, spotify:artist:3Y7RZ31TRPVadSFVy1o8os","KAYTRANADA, H.E.R.","spotify:album:4BwfoXhDqTfiGS6pZueR9g","Intimidated","spotify:artist:6qgnBH6iDM91ipVXv28OMu","KAYTRANADA","2021-11-19","https://i.scdn.co/image/ab67616d0000b273f310d5609e266549b3094564","1","1","207840","https://p.scdn.co/mp3-preview/f8a126e1c8c8b741ecfa53e0bb9f6ea7b2fb7e0b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USRC12102824","spotify:user:isak.sjoholm.","2023-12-09T11:40:35Z","r&b","0.738","0.75","11","-3.654","0","0.219","0.0167","0.00976","0.174","0.342","112.009","4","","KAYTRANADA/RCA Records","P (P) 2021 KAYTRANADA, under exclusive license to RCA Records"
"spotify:track:1RmfKLI9NVTjTSVxV09mV6","Sure Thing (8D sped up)","spotify:artist:6NYAOYclXxCr9rkMK8T8de, spotify:artist:2uSVRVjYZ0PlJPdFHnBETu, spotify:artist:2MDj296KJIfgWDNBtHzeFi","8D sped up viral audios, creamy, 11:11 Music Group","spotify:album:7o2eRI22KAEzVsHgY6SQjz","Sure Thing (8D sped up)","spotify:artist:6NYAOYclXxCr9rkMK8T8de, spotify:artist:2uSVRVjYZ0PlJPdFHnBETu, spotify:artist:2MDj296KJIfgWDNBtHzeFi","8D sped up viral audios, creamy, 11:11 Music Group","2022-06-22","https://i.scdn.co/image/ab67616d0000b2730204abd56383de601074fa81","1","1","113053","https://p.scdn.co/mp3-preview/96986b4aa4f462ff24abd6491c17f979ed083d46?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GX5MX2299062","spotify:user:isak.sjoholm.","2023-12-09T11:40:48Z","lo-fi","0.635","0.461","9","-11.388","0","0.195","0.105","0.0703","0.118","0.636","192.846","4","","11:11 Music Group","C 2022 Miguel, P 2022 11:11 Music Group"
"spotify:track:6potEImiklXkwD9qFzpu15","Forever","spotify:artist:2feDdbD5araYcm6JhFHHw7","Labrinth","spotify:album:788r22Bhr3IHLTNPy8pZea","Euphoria (Original Score from the HBO Series)","spotify:artist:2feDdbD5araYcm6JhFHHw7, spotify:artist:7JyEGDVwCe8p74z0AOgszM, spotify:artist:1BdioUnD5QVvVQ8EXm9tGD","Labrinth, Steven McKenzie, Rob Kleiner","2019-10-04","https://i.scdn.co/image/ab67616d0000b27389c39ba1acdf33ed7acd3867","1","4","202536","https://p.scdn.co/mp3-preview/aa89c7312d468fd39b2a1c5db2043f6b72286df4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USQX91902499","spotify:user:isak.sjoholm.","2023-12-09T11:40:55Z","","0.563","0.459","4","-7.781","0","0.0292","0.92","0.724","0.11","0.197","79.983","4","","Masterworks","P (P) 2019 HBO under exclusive license to Sony Music Entertainment"
"spotify:track:28luqgS4NCuFKP6YSOtia5","Foreplay","spotify:artist:41DGOfz7IFMVvf9wKAzeZS","Jalen Santoy","spotify:album:0uRgp488f4SX8NcJ5p1GqI","Foreplay","spotify:artist:41DGOfz7IFMVvf9wKAzeZS","Jalen Santoy","2016-07-07","https://i.scdn.co/image/ab67616d0000b273e45db56c3d64cff1da2effaa","1","1","173784","https://p.scdn.co/mp3-preview/7fb622325d82571fd882b5a859408227c8e0b7c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USUYG1106731","spotify:user:isak.sjoholm.","2023-12-09T11:41:00Z","","0.73","0.422","5","-6.211","0","0.0678","0.123","0.00292","0.105","0.505","118.427","4","","Ventwood Entertainment / EMPIRE","C 2016 Ventwood Entertainment / EMPIRE, P 2016 Ventwood Entertainment / EMPIRE"
"spotify:track:3ZJiGpzCm9ZlDqp8jNqXFz","Fantasi","spotify:artist:6RJXSfbIkEMoCJ8GAg2dVO","Victor Leksell","spotify:album:3dXd7zPtfgASvaxo0jIAtu","Fånga mig när jag faller","spotify:artist:6RJXSfbIkEMoCJ8GAg2dVO","Victor Leksell","2020-06-17","https://i.scdn.co/image/ab67616d0000b273fe883a93bfd94a14d0440ffe","1","10","194500","https://p.scdn.co/mp3-preview/71b1a8e5a261ebb96b3c87edb9e5d201d0b6b96b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","SEBGA2000119","spotify:user:isak.sjoholm.","2023-12-09T11:44:09Z","svensk pop","0.651","0.598","6","-8.531","1","0.0454","0.36","0.00000126","0.0935","0.367","104.991","4","","Columbia","P (P) 2020 21:47 under exclusive license to Sony Music Entertainment Sweden AB"
"spotify:track:5bx4stZRInFwFz40fHDa7h","Hiphop N RnB","spotify:artist:6rYEqmajzlhGVaayOJ2bpJ","Yasin","spotify:album:4lba6QTr2T6VDgZoVVM2mt","98.01.11","spotify:artist:6rYEqmajzlhGVaayOJ2bpJ","Yasin","2020-05-22","https://i.scdn.co/image/ab67616d0000b273660a360926b1be8069fcf93c","1","9","165283","https://p.scdn.co/mp3-preview/1ee4856d8fdab38dfb23dce397073b202afc3553?cid=9950ac751e34487dbbe027c4fd7f8e99","true","19","SE6I32036244","spotify:user:isak.sjoholm.","2023-12-09T11:48:25Z","","0.852","0.705","7","-6.213","1","0.118","0.501","0.0000236","0.109","0.809","105.97","4","","MadeNiggaMusic","C 2020 MadeNiggaMusic, P 2020 MadeNiggaMusic"
"spotify:track:1eOgzHDcvUFppcxXdUML8E","Vi","spotify:artist:3Jy86CVPHDVN858HitaK1N","Junie","spotify:album:2m3MHT8tcuyYfqpqvKNbQ4","Vi","spotify:artist:3Jy86CVPHDVN858HitaK1N","Junie","2021-01-22","https://i.scdn.co/image/ab67616d0000b2731ef2fa90d379bad4de5f6ce8","1","1","169105","https://p.scdn.co/mp3-preview/346017369464c94ba4d7e52d7ebec3e3354076a9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","43","SEUM72100128","spotify:user:isak.sjoholm.","2023-12-09T11:55:40Z","svensk pop","0.667","0.472","6","-6.565","1","0.0386","0.551","0","0.113","0.585","133.997","4","","Universal Music AB","C © 2021 Universal Music AB, P ℗ 2021 Universal Music AB"
"spotify:track:3LHWa0MK1AlEI9hukUSxn1","Hon sa","spotify:artist:01FFlOpQoTLXIBTp0p9MEc","Eah Jé","spotify:album:6Efrrr4boSN6DWpSFbDTSN","En liten låtidé","spotify:artist:01FFlOpQoTLXIBTp0p9MEc","Eah Jé","2023-03-24","https://i.scdn.co/image/ab67616d0000b27357bd7dec75ad0913e5138e6b","1","1","184000","https://p.scdn.co/mp3-preview/f981d6fff0e97dd91b267005721d27f3749f186b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","SEBGA2300240","spotify:user:isak.sjoholm.","2023-12-09T12:53:10Z","svensk pop","0.659","0.636","4","-9.483","0","0.062","0.604","0.00059","0.0949","0.247","131.96","4","","Columbia","P (P) 2023 Sony Music Entertainment Sweden AB"
"spotify:track:4k6Uh1HXdhtusDW5y8Gbvy","Bad Habit","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","spotify:album:3Ks0eeH0GWpY4AU20D5HPD","Gemini Rights","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","2022-07-15","https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee","1","5","232066","https://p.scdn.co/mp3-preview/efe7c2fdd8fa727a108a1270b114ebedabfd766c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","86","USRC12201440","spotify:user:isak.sjoholm.","2023-12-09T16:43:48Z","","0.686","0.494","1","-7.093","1","0.0355","0.613","0.000058","0.402","0.7","168.946","4","","L-M Records/RCA Records","P (P) 2022 L-M Records, under license to RCA Records, a division of Sony Music Entertainment"
"spotify:track:003vvx7Niy0yvhvHt4a68B","Mr. Brightside","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","spotify:album:4piJq7R3gjUOxnYs6lDCTg","Hot Fuss","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","2004","https://i.scdn.co/image/ab67616d0000b273ccdddd46119a4ff53eaf1f5d","1","2","222973","https://p.scdn.co/mp3-preview/848b1bd5544e82f62f9cfcec65362d0f5369781f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","91","USIR20400274","spotify:user:isak.sjoholm.","2023-12-09T17:15:26Z","alternativ rock","0.352","0.911","1","-5.23","1","0.0747","0.00121","0","0.0995","0.236","148.033","4","","Island Records","C © 2004 UMG Recordings, Inc., P ℗ 2007 UMG Recordings, Inc."
