"Låtens URI","Låtens namn","Artistens URI","Artistens namn","Albumets URI","Albumets namn","Albumartistens URI","Albumartistens namn","Albumets releasedatum","Albumets bild-URL","Skivnummer","Låtnummer","Låtlängd (ms)","Förhandsgranskning URL","Explicit","Popularitet","ISRC","Tillagd av","Tillagd vid","Artistens genrer","Dansbarhet","Energi","Tonart","Ljudstyrka","Läge","Talighet","Akustik","Instrumentalhet","Livlighet","Valens","Tempo","Taktart","Albumets genrer","Skivbolag","Upphovsrätt"
"spotify:track:4uBbgoKiRzcjgjVH6FqgTS","Sarah","spotify:artist:0qC4DawW3xCirhuq5cvaKV","Mauro Scocco","spotify:album:6xYuSKLxGuka8Txwh3GWs2","Mauro Scocco","spotify:artist:0qC4DawW3xCirhuq5cvaKV","Mauro Scocco","1988-11-01","https://i.scdn.co/image/ab67616d0000b27301f4280903f4b879da8d7396","1","2","270026","https://p.scdn.co/mp3-preview/74fefc6f7cbc76b1182536d4b0e85a501b1ec4c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","SEPAS8809020","spotify:user:isak.sjoholm.","2025-04-28T11:43:37Z","svensk pop","0.516","0.783","2","-11.577","1","0.0336","0.27","0.000638","0.0958","0.566","104.087","4","","Record Station","P (P) 1988 The Record Station"
"spotify:track:6a41rCqZhb2W6rpMolDR08","Vara vänner","spotify:artist:74terC9ol9zMo8rfzhSOiG","Jakob Hellman","spotify:album:6kGjc8k2YvmmZGqspJuRlK","...och stora havet","spotify:artist:74terC9ol9zMo8rfzhSOiG","Jakob Hellman","1989-02-13","https://i.scdn.co/image/ab67616d0000b27380d8f3d5241e4a5b1fd6b4db","1","3","219600","https://p.scdn.co/mp3-preview/3bf5e0874078115a66bfebd945484770c55fe42c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","SEAMA8819030","spotify:user:isak.sjoholm.","2025-04-28T11:44:27Z","svensk pop","0.781","0.511","5","-8.379","1","0.0386","0.467","0","0.114","0.714","113.214","4","","WM Sweden","C © 1989 Parlophone Music Sweden AB, a division of Warner Music Sweden AB, P ℗ 1989 Parlophone Music Sweden AB, a division of Warner Music Sweden AB"
"spotify:track:63YIL7ZnHCEaUfNGlDAew7","Kärlekens tunga","spotify:artist:6TLywjDgcz3M1rTrX7ht5k","Eldkvarn","spotify:album:4Z8lxvF88AG80cr3wxkoqG","Kungarna från Broadway","spotify:artist:6TLywjDgcz3M1rTrX7ht5k","Eldkvarn","1988","https://i.scdn.co/image/ab67616d0000b27378cd03c9ff0330633caa7e32","1","6","234866","https://p.scdn.co/mp3-preview/ce444c691813ca501dd61283a4a4f5aac713d9f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","SEAMA0500359","spotify:user:isak.sjoholm.","2025-04-28T11:44:43Z","svensk pop,bisrock","0.575","0.947","7","-4.272","1","0.12","0.23","0.00000283","0.385","0.497","113.127","4","","Parlophone Sweden","C © 1988 Parlophone Music Sweden AB, a Warner Music Group Company, P ℗ 1988 Parlophone Music Sweden AB, a Warner Music Group Company"
"spotify:track:2pIpooJWX5q8DIctvrdQP2","Kung av sand","spotify:artist:0FINyNBXqnTlRC4dvpSeSb","Gyllene Tider","spotify:album:2oyO3AERUiatly73ZCrWHW","Konstpaus","spotify:artist:0FINyNBXqnTlRC4dvpSeSb","Gyllene Tider","2000-01-01","https://i.scdn.co/image/ab67616d0000b27391790de559a322c1c37283dd","1","4","279333","https://p.scdn.co/mp3-preview/60d659850b5f39d28b110f04d286855eea6db93c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","SEAME9500234","spotify:user:isak.sjoholm.","2025-04-28T11:47:43Z","svensk pop,dansband","0.374","0.659","7","-5.882","1","0.0264","0.0181","0","0.0714","0.498","78.185","4","","WM Sweden","C © 2000 Cosmos - a division of Cosmos Music, distributed by Parlophone Music Sweden a division of Warner Music Sweden AB, P ℗ 2000 Cosmos - a division of Cosmos Music, distributed by Parlophone Music Sweden a division of Warner Music Sweden AB"
"spotify:track:7GNjJN3LPkainjgktvQmWp","Vandraren","spotify:artist:71c9ORC5hHt0J1TGCa5nxN","Nordman","spotify:album:6X5Fn8BTMDmCGC9VuubQiJ","Nordman","spotify:artist:71c9ORC5hHt0J1TGCa5nxN","Nordman","1994-01-01","https://i.scdn.co/image/ab67616d0000b273a28333f32dcb8dbb3aebf494","1","1","194200","https://p.scdn.co/mp3-preview/109845b3331f82172b22df59e6825d43c44afe13?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","SEBFO9401060","spotify:user:isak.sjoholm.","2025-04-28T11:48:35Z","svensk pop,epadunk","0.648","0.95","9","-7.144","0","0.0387","0.194","0.0000182","0.26","0.693","121.92","4","","Universal Music AB","C © 1994 Universal Music AB, P ℗ 1994 Universal Music AB"
"spotify:track:6sjGsKuInpaK3uoaWGe22W","Från och med Du","spotify:artist:3E8Mx37sikkaFoX5DRecLi","Oskar Linnros","spotify:album:2jCYbQBRefZrTeMXIMIsNp","Vilja Bli","spotify:artist:3E8Mx37sikkaFoX5DRecLi","Oskar Linnros","2010-01-01","https://i.scdn.co/image/ab67616d0000b273a11d74ed7e8d845053c1096d","1","3","193360","https://p.scdn.co/mp3-preview/dd727b6529f74c88d657830183b9d11bc617180b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","SEUM71000245","spotify:user:isak.sjoholm.","2025-04-28T11:50:50Z","svensk pop","0.599","0.803","10","-6.695","1","0.0507","0.0224","0.0342","0.0909","0.392","143.013","4","","Universal Music AB","C © 2010 Oskar Linnros Musik, under exclusive license to Universal Music AB, P ℗ 2010 Oskar Linnros Musik, under exclusive license to Universal Music AB"
"spotify:track:2Lv9FudgITbthtKK1B5wxY","Slå mig hårt i ansiktet","spotify:artist:2DWNa2o3BbsIHeBq7Iu6E7","Thomas Stenström","spotify:album:5S7JB8Sx5tVQGIewXZlr9X","Fulkultur","spotify:artist:2DWNa2o3BbsIHeBq7Iu6E7","Thomas Stenström","2014-10-08","https://i.scdn.co/image/ab67616d0000b27389762ceb811bfff50f2e80dd","1","3","211360","https://p.scdn.co/mp3-preview/17bf89014b25b310f011b7c0771f9912900e073c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","SEYQH1400102","spotify:user:isak.sjoholm.","2025-04-28T11:51:37Z","svensk pop","0.528","0.88","1","-6.155","1","0.0367","0.0548","0.000263","0.342","0.704","157.893","4","","Roxy Recordings","C 2014 Roxy Recordings, a division of Playground Music Scandinavia AB, P 2014 Roxy Recordings, a division of Playground Music Scandinavia AB"
"spotify:track:18AJRdgUoO9EYn11N7xzaT","Habits (Stay High)","spotify:artist:4NHQUGzhtTLFvgF5SZesLK","Tove Lo","spotify:album:5Z5O36p7BivXzkucc0PAfw","Queen Of The Clouds","spotify:artist:4NHQUGzhtTLFvgF5SZesLK","Tove Lo","2014-09-24","https://i.scdn.co/image/ab67616d0000b27370cd79659edf4d5fec0840b8","1","13","209160","https://p.scdn.co/mp3-preview/c84f413ef8f0d75341730da1916758d653e43050?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","SE3NM1300101","spotify:user:isak.sjoholm.","2025-04-28T11:53:19Z","","0.733","0.65","5","-3.539","1","0.0315","0.0703","0.0000659","0.0829","0.348","110.003","4","","Universal Music AB","C © 2014 Universal Music AB, P ℗ 2014 Universal Music AB"
"spotify:track:3q8WojYJVZsGClFGFBYdTc","Satan i gatan","spotify:artist:2OIWxN9xUhgUHkeUCWCaNs","Veronica Maggio","spotify:album:2fOs6I0CgvaZj9agU8EAlH","Satan i gatan (Bonus Version)","spotify:artist:2OIWxN9xUhgUHkeUCWCaNs","Veronica Maggio","2011-01-01","https://i.scdn.co/image/ab67616d0000b273de25b67688e3520e24612209","1","1","195146","https://p.scdn.co/mp3-preview/7f1498828a641ca6f07152fc1fb391083dd9a7c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","SEUM71100167","spotify:user:isak.sjoholm.","2025-04-28T11:55:41Z","svensk pop","0.58","0.552","9","-8.673","1","0.0276","0.362","0.0000139","0.225","0.506","122.034","4","","Universal Music AB","C © 2011 Veronica Maggio AB, Under exclusive license to Universal Music AB, P ℗ 2011 Veronica Maggio AB, Under exclusive license to Universal Music AB"
"spotify:track:5YCKObb1A7YIeOKzXhREwz","Pärlor","spotify:artist:4KXp3xtaz1wWXnu5u34eVX","kent","spotify:album:2DGzTm2R2v3G0IjnxXtP3Y","Vapen & ammunition","spotify:artist:4KXp3xtaz1wWXnu5u34eVX","kent","2002-04-15","https://i.scdn.co/image/ab67616d0000b27338195e65555be2b7f9324e1c","1","2","235960","https://p.scdn.co/mp3-preview/854a09e29f62234a5c707f3a9d1527ea2065c9a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","SEBMC0219020","spotify:user:isak.sjoholm.","2025-04-28T11:58:07Z","svensk pop","0.552","0.811","3","-5.961","0","0.0312","0.0000464","0.042","0.0764","0.497","131.033","4","","RCA Records Label","P (P) 2002 BMG Sweden AB"
