"Låtens URI","Låtens namn","Artistens URI","Artistens namn","Albumets URI","Albumets namn","Albumartistens URI","Albumartistens namn","Albumets releasedatum","Albumets bild-URL","Skivnummer","Låtnummer","Låtlängd (ms)","Förhandsgranskning URL","Explicit","Popularitet","ISRC","Tillagd av","Tillagd vid","Artistens genrer","Dansbarhet","Energi","Tonart","Ljudstyrka","Läge","Talighet","Akustik","Instrumentalhet","Livlighet","Valens","Tempo","Taktart","Albumets genrer","Skivbolag","Upphovsrätt"
"spotify:track:7g9ZXfxVN8gsO3IdgkyoMD","Slæpper Bitches Med (Jets)","spotify:artist:7y4tvVGuB9WTDQwTj3ueu7, spotify:artist:7wRXf1DelGyBsmOj5hnOum, spotify:artist:5hzjvlfkoele1tnPfTctj6, spotify:artist:0wnFWD4sCcZqQchaG5SVRK","Kulturaften, DJ VLADI, The Snæss Project, Gran D","spotify:album:3Cg7WHGJvCRBPrvJNw31bR","Return Of The Russeartist","spotify:artist:7y4tvVGuB9WTDQwTj3ueu7","Kulturaften","2023-11-10","https://i.scdn.co/image/ab67616d0000b2736be544f10f17725f7e76d19c","1","2","198404","https://p.scdn.co/mp3-preview/2d34608e2f7c733b5414029da3fb7cc82ed128f0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","NO2DY2300672","spotify:user:isak.sjoholm.","2025-03-28T22:23:38Z","russelåter,epadunk,russelåter,epadunk,epadunk,russelåter,epadunk,russelåter","0.561","0.797","11","-5.824","0","0.242","0.147","0","0.604","0.47","74.959","4","","Universal Music AS Distributed Labels","C © 2023 Liso Records, P ℗ 2023 Liso Records"
"spotify:track:0ByMNEPAPpOR5H69DVrTNy","Don't Stop The Music","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","spotify:album:3JSWZWeTHF4HDGt5Eozdy7","Good Girl Gone Bad: Reloaded","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","2008-06-02","https://i.scdn.co/image/ab67616d0000b273f9f27162ab1ed45b8d7a7e98","1","3","267080","https://p.scdn.co/mp3-preview/2ac14b43fe2451a70c07357ac675ade8da1f776c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","USUM70734700","spotify:user:isak.sjoholm.","2025-03-28T22:23:51Z","","0.834","0.669","6","-5.582","0","0.0637","0.0341","0.0000718","0.0535","0.547","122.669","4","","Def Jam Recordings","C © 2008 The Island Def Jam Music Group, P ℗ 2008 The Island Def Jam Music Group"
"spotify:track:3850dYVgOFIXJh5U4BFEWH","Hung Up","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","spotify:album:1hg0pQJLE9dzfT1kgZtDPr","Confessions on a Dance Floor","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","2005-11-11","https://i.scdn.co/image/ab67616d0000b273aaa9d84415623c1e790cd07b","1","1","337733","https://p.scdn.co/mp3-preview/dffaf6d378f42c2ec6311d17fadc5fc26eb84bf8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USWB10504319","spotify:user:isak.sjoholm.","2025-03-28T22:23:57Z","","0.649","0.647","9","-7.695","0","0.0452","0.0039","0.161","0.0686","0.405","125.02","4","","Warner Records","C © 2005 Warner Records Inc., P ℗ 2005 Warner Records Inc."
"spotify:track:5zlfhA23eeNWSmlMRgtJhK","På Meg (Shook Ones)","spotify:artist:5sO8Yr7zER5JhiWVpjjgd8","Fjellrev","spotify:album:5sZsCGBCWgGrzgWcY8g7vX","På Meg (Shook Ones)","spotify:artist:5sO8Yr7zER5JhiWVpjjgd8","Fjellrev","2023-09-01","https://i.scdn.co/image/ab67616d0000b2737fdd5cdf5297b5d76c22f9c1","1","1","132620","https://p.scdn.co/mp3-preview/31dabd135a26a100ea7a7b0b8c7704b0ede957ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","QZRP52314143","spotify:user:isak.sjoholm.","2025-03-28T22:24:04Z","epadunk,russelåter","0.677","0.78","11","-6.427","0","0.0674","0.0377","0.000217","0.113","0.711","125.033","4","","Under Jakka Records","C 2023 Under Jakka Records, P 2023 Under Jakka Records"
"spotify:track:2QtxlzvSBONjs1bDC34ixs","Yeah 3x","spotify:artist:7bXgB6jMjp9ATFy66eO08Z","Chris Brown","spotify:album:6df0qvkMXoyHGt9J8cujZb","F.A.M.E. (Expanded Edition)","spotify:artist:7bXgB6jMjp9ATFy66eO08Z","Chris Brown","2011-03-22","https://i.scdn.co/image/ab67616d0000b2730a1d20ec09cab4bb17a36aab","1","7","241666","https://p.scdn.co/mp3-preview/2b88c6a69a684ce6ef63df15912813582e3a42f7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","USJI11000230","spotify:user:isak.sjoholm.","2025-03-28T22:24:10Z","r&b","0.705","0.882","11","-3.201","0","0.0445","0.000369","0.00000116","0.0934","0.7","130","4","","Jive","P (P) 2011 RCA Records, a division of Sony Music Entertainment"
"spotify:track:16Of7eeW44kt0a1M0nitHM","You Make Me Feel... (feat. Sabi)","spotify:artist:2aYJ5LAta2ScCdfLhKgZOY, spotify:artist:3tB8VKd0rtEnc9x8l78ymo","Cobra Starship, Sabi","spotify:album:5gXDrzBIzmAhiE0dNKwy0i","Night Shades","spotify:artist:2aYJ5LAta2ScCdfLhKgZOY","Cobra Starship","2011-08-29","https://i.scdn.co/image/ab67616d0000b273a4c01842096428fb14859bdc","1","2","215693","https://p.scdn.co/mp3-preview/33df42e0397bd8d33cf360bb948218746844b9a1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USAT21100959","spotify:user:isak.sjoholm.","2025-03-28T22:24:19Z","","0.668","0.857","7","-2.944","0","0.0535","0.0191","0.00000671","0.0385","0.748","131.959","4","","Decaydance/Fueled By Ramen","C © 2011 Fueled By Ramen, LLC for the United States and WEA International Inc. for the world outside of the United States. All Rights Reserved., P ℗ 2011 Fueled By Ramen, LLC for the United States and WEA International Inc. for the world outside of the United States. All Rights Reserved."
"spotify:track:2goLsvvODILDzeeiT4dAoR","Believe","spotify:artist:72OaDtakiy6yFqkt4TsiFt","Cher","spotify:album:0jZfbz0dNfDjPSg0hYJNth","Believe","spotify:artist:72OaDtakiy6yFqkt4TsiFt","Cher","1998","https://i.scdn.co/image/ab67616d0000b27306ce0d1f846c525e847d60e7","1","1","239026","https://p.scdn.co/mp3-preview/4d1118af5a493275e5c7522aaa26faa34b72d828?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","GBAHT9803002","spotify:user:isak.sjoholm.","2025-03-28T22:24:26Z","","0.652","0.917","6","-6.72","1","0.0548","0.0082","0","0.0509","0.459","132.975","4","","Warner Records","C © 1998 Warner Music UK Ltd., P ℗ 1998 All tracks 1998 Warner Music UK Ltd except track 10 1987 The David Geffen Company."
"spotify:track:6Pgkp4qUoTmJIPn7ReaGxL","Without You (feat. Sandro Cavazza)","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6, spotify:artist:5JYo7gm2dkyLLlWHjxS7Dy","Avicii, Sandro Cavazza","spotify:album:1m3mf7xkXIwssVriaaTjOS","AVĪCI (01)","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","2017-08-10","https://i.scdn.co/image/ab67616d0000b273a26cc58b4d64c2ece3376389","1","4","181672","https://p.scdn.co/mp3-preview/45c1b11194cb8964c23c129e04591ccb9c71cbf4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","SE5R71700101","spotify:user:isak.sjoholm.","2025-03-28T22:24:31Z","edm","0.662","0.858","2","-4.844","1","0.0428","0.00163","0","0.0456","0.295","133.993","4","","Universal Music AB","C © 2017 Avicii Music AB, under exclusive license to Universal Music AB, P ℗ 2017 Avicii Music AB, under exclusive license to Universal Music AB"
"spotify:track:6bOLRTULQUiXeVnxOIPZVA","Gyal You a Party Animal","spotify:artist:5sK8BsvyDl4TFA6KaBf8or","Charly Black","spotify:album:0AuidICCpJQTwjMajndF4h","Gyal You a Party Animal","spotify:artist:5sK8BsvyDl4TFA6KaBf8or","Charly Black","2015","https://i.scdn.co/image/ab67616d0000b2736cf574eb4ac5c2b8cb3b59e9","1","1","214455","https://p.scdn.co/mp3-preview/1300b5b5de49dcfb6e31982379ac45741acda88f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","FR2T91500013","spotify:user:isak.sjoholm.","2025-03-28T22:24:37Z","dancehall,soca","0.591","0.843","0","-5.196","1","0.148","0.0305","0","0.297","0.836","134.325","5","","Allezgo Productions","C 2015 Allezgo productions, P 2015 Allezgo productions"
"spotify:track:07GvNcU1WdyZJq3XxP0kZa","Go Your Own Way - 2004 Remaster","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","spotify:album:1bt6q2SruMsBtcerNVtpZB","Rumours","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","1977-02-04","https://i.scdn.co/image/ab67616d0000b27357df7ce0eac715cf70e519a7","1","5","223613","https://p.scdn.co/mp3-preview/26ba8ef966c08f5116fd5ab94efc7a8671e640f5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","USWB10400050","spotify:user:isak.sjoholm.","2025-03-28T22:24:49Z","klassisk rock,yacht rock,mjukrock","0.583","0.947","5","-5.12","1","0.0378","0.0185","0.00109","0.0679","0.803","135.448","4","","Rhino/Warner Records","C © 2004 Warner Records Inc., P ℗ 2004 Warner Records Inc."
