"Låtens URI","Låtens namn","Artistens URI","Artistens namn","Albumets URI","Albumets namn","Albumartistens URI","Albumartistens namn","Albumets releasedatum","Albumets bild-URL","Skivnummer","Låtnummer","Låtlängd (ms)","Förhandsgranskning URL","Explicit","Popularitet","ISRC","Tillagd av","Tillagd vid","Artistens genrer","Dansbarhet","Energi","Tonart","Ljudstyrka","Läge","Talighet","Akustik","Instrumentalhet","Livlighet","Valens","Tempo","Taktart","Albumets genrer","Skivbolag","Upphovsrätt"
"spotify:track:3K7UdFfEr3EWURDOOYvuwq","Ortens favoriter - Remix","spotify:artist:5s77Nldm0GrOQkMIElogdo, spotify:artist:6jGTQUbpPzVMd963Rbuns9, spotify:artist:4XLISC9SzRTcR34fosyMtw, spotify:artist:0zKX6nlK1A4ZmztnFPOKGs, spotify:artist:5Pcez7u1H2Po6e2LmMdF3f, spotify:artist:4PQbRmsdmnspdWxIKLstPe, spotify:artist:5ILMkt5lW4KAyTXMNYWaGF, spotify:artist:5YQ9W6yxfpI5gin2EDWdD6, spotify:artist:6GFNszjoVtonHtwNFGUABT","Labyrint, Black Ghost, STOR, Aleks, Allyawan, Påse, Dani M, Alladin, Jaqe","spotify:album:7gXCarQvyrwpJE15VGxLp2","Ortens favoriter","spotify:artist:5s77Nldm0GrOQkMIElogdo","Labyrint","2012-01-01","https://i.scdn.co/image/ab67616d0000b273eafa6e5e617f20387d27de1b","1","1","346093","https://p.scdn.co/mp3-preview/cbcd6702215c85aa949a225543b90920f3124658?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","SEUM71200346","spotify:user:isak.sjoholm.","2025-05-07T15:10:18Z","svensk pop","0.627","0.811","8","-4.47","1","0.19","0.199","0","0.339","0.781","82.114","4","","Universal Music AB","C © 2012 Universal Music AB, P ℗ 2012 Universal Music AB"
"spotify:track:5KMaxztlP8LUwAKN9bUKIN","Välkommen hem","spotify:artist:5s77Nldm0GrOQkMIElogdo, spotify:artist:5ILMkt5lW4KAyTXMNYWaGF","Labyrint, Dani M","spotify:album:3z6fqHPkHimDtnsjGq1snB","Labababa","spotify:artist:5s77Nldm0GrOQkMIElogdo","Labyrint","2011-01-01","https://i.scdn.co/image/ab67616d0000b2738fd5c8d8cfa248e74a28e933","1","17","246773","https://p.scdn.co/mp3-preview/f55871323fe529a4b7d155f44000e8266714e382?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","SEUM71101058","spotify:user:isak.sjoholm.","2025-05-07T15:12:07Z","","0.509","0.829","9","-8.022","1","0.229","0.188","0","0.224","0.537","88.228","4","","Universal Music AB","C © 2011 Universal Music AB, P ℗ 2011 Universal Music AB"
"spotify:track:0BtmAvlv8mc6lR9ZzxrOFD","Vossi Bop (Remix) [feat. Aden x Asme]","spotify:artist:2SrSdSvpminqmStGELCSNd, spotify:artist:1eX2QZGKv4RFxpDKUGxgm0","Stormzy, Aden x Asme","spotify:album:6uOlhYbHTFoxqEdIqmgUjr","Vossi Bop (Remix) [feat. Aden x Asme]","spotify:artist:2SrSdSvpminqmStGELCSNd, spotify:artist:1eX2QZGKv4RFxpDKUGxgm0","Stormzy, Aden x Asme","2019-07-19","https://i.scdn.co/image/ab67616d0000b273caefea07409dac4d49e30bc5","1","1","155280","https://p.scdn.co/mp3-preview/2644e12178e52c1ac89215abef136e04ac9309b7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","GBAHS1900922","spotify:user:isak.sjoholm.","2025-05-07T15:13:22Z","grime,brittisk grime,brittisk drill","0.7","0.635","0","-8.68","0","0.239","0.0832","0.000141","0.142","0.366","187.968","4","","Atlantic Records UK","C © 2019 An Atlantic Records UK release. (p) © 2019 Hashtag Merky Music Limited under exclusive licence to Warner Music UK Limited., P ℗ 2019 An Atlantic Records UK release. (p) © 2019 Hashtag Merky Music Limited under exclusive licence to Warner Music UK Limited."
"spotify:track:1svVszZtjwyAurNFPgcIzN","Kasse","spotify:artist:4DC3zLbfVrTZo2WmvjMMls, spotify:artist:3M1eBsR4rSTcDAzYopumeG","Aden, Asme","spotify:album:3aVNrjlznLP8phsNehR9HO","Kasse","spotify:artist:4DC3zLbfVrTZo2WmvjMMls, spotify:artist:3M1eBsR4rSTcDAzYopumeG","Aden, Asme","2017-05-17","https://i.scdn.co/image/ab67616d0000b273abb210da8eb7760d6967dc2e","1","1","186407","https://p.scdn.co/mp3-preview/9f36fda8f613b458641d4558feaaa36de5fb801a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","usdy41744793","spotify:user:isak.sjoholm.","2025-05-07T15:14:56Z","","0.749","0.586","10","-10.44","0","0.0979","0.368","0","0.0676","0.559","102.969","4","","H.S Records","C 2017 Aden, P 2017 Aden"
"spotify:track:580E2pfILPQ2TFlPiG2U5C","Min Diamant","spotify:artist:1gm1katIowFM22Ldqcw6DK, spotify:artist:4LyMWxYfZfeNcAl6vbEmQ3","Ricky Rich, ARAM Mafia","spotify:album:4Lvkc3GNklOEM8iMAvT2Uh","Min Diamant","spotify:artist:1gm1katIowFM22Ldqcw6DK, spotify:artist:4LyMWxYfZfeNcAl6vbEmQ3","Ricky Rich, ARAM Mafia","2018-04-30","https://i.scdn.co/image/ab67616d0000b2735a74bd374415c227daa865d9","1","1","183663","https://p.scdn.co/mp3-preview/769fdd6cd9fdd20c13bb3da171310c6d06aa9747?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","NLS6R1839604","spotify:user:isak.sjoholm.","2025-05-07T15:15:07Z","","0.654","0.68","7","-7.778","1","0.198","0.164","0","0.076","0.678","114.918","4","","Ricky Rich & ARAM Mafia","C 2018 Ricky Rich & ARAM Mafia, P 2018 Ricky Rich & ARAM Mafia"
"spotify:track:1TFlvQ12TtF9nHmvXCaLpx","Mina områden","spotify:artist:3kklzjWziqW7RX5jQjsRnb, spotify:artist:2PQ0dKMMDle5scqjI1XOPK, spotify:artist:5ILMkt5lW4KAyTXMNYWaGF","Kartellen, Sebbe Staxx, Dani M","spotify:album:59M3yKZsC35p9mDV97mgEg","Ånger & Kamp","spotify:artist:3kklzjWziqW7RX5jQjsRnb","Kartellen","2012-01-01","https://i.scdn.co/image/ab67616d0000b273ec672b5869165398df80423d","1","3","276333","https://p.scdn.co/mp3-preview/2dee5df9f6cad59374b41d20dea44cfb9418251b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","SEVLE1200202","spotify:user:isak.sjoholm.","2025-05-07T15:17:34Z","","0.496","0.669","6","-7.184","1","0.201","0.0519","0","0.057","0.595","85.011","4","","Soblue Music Group AB","C © 2012 Universal Music AB, P ℗ 2012 Universal Music AB"
"spotify:track:5ETuKKgjM15Ew6QUJXbrb1","Allting jag har","spotify:artist:5ILMkt5lW4KAyTXMNYWaGF","Dani M","spotify:album:31DSJHFuG1iJQGOuKRdGSt","Allting jag har","spotify:artist:5ILMkt5lW4KAyTXMNYWaGF","Dani M","2014-10-31","https://i.scdn.co/image/ab67616d0000b2731e6ac46a8c4a086c7aa897cb","1","1","196200","https://p.scdn.co/mp3-preview/0982098f7ef3d61bf7dbb4d510f5f44a90b3e0e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","SEUM71402017","spotify:user:isak.sjoholm.","2025-05-07T15:17:52Z","","0.733","0.805","10","-4.357","0","0.059","0.132","0.0000441","0.0899","0.741","96.963","4","","Universal Music AB","C © 2014 Universal Music AB, P ℗ 2014 Universal Music AB"
"spotify:track:5qFctlq6LI01bQYQmqWaje","Naiv","spotify:artist:5ILMkt5lW4KAyTXMNYWaGF, spotify:artist:1U8lN2i4lHmZqDerkVNKWk","Dani M, Jacco","spotify:album:4nMAjfGIkpekF8vKQbxjzB","Naiv","spotify:artist:5ILMkt5lW4KAyTXMNYWaGF","Dani M","2013-01-01","https://i.scdn.co/image/ab67616d0000b273e016bbdff744a9a220fcc805","1","1","176186","https://p.scdn.co/mp3-preview/a563b394ffab207c0e43d081c3459687a6370b34?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","SEUM71300809","spotify:user:isak.sjoholm.","2025-05-07T15:18:23Z","","0.654","0.85","1","-5.02","1","0.0734","0.227","0","0.0997","0.854","89.943","4","","Universal Music AB","C © 2013 Universal Music AB, P ℗ 2013 Universal Music AB"
"spotify:track:0FDF7UebxnxtLZwJIsbnbB","Nån Annan (feat. Jacco)","spotify:artist:5ILMkt5lW4KAyTXMNYWaGF, spotify:artist:1U8lN2i4lHmZqDerkVNKWk","Dani M, Jacco","spotify:album:3ObxkdT65iK1fa2t5X7a8N","Hela Livet","spotify:artist:5ILMkt5lW4KAyTXMNYWaGF","Dani M","2017-11-03","https://i.scdn.co/image/ab67616d0000b2736e3cbf16f43c3c8af3f0605f","1","5","224551","https://p.scdn.co/mp3-preview/08af80a602c90bd2082da358c514d5681f3a6484?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","SEVQF1600901","spotify:user:isak.sjoholm.","2025-05-07T15:18:28Z","","0.777","0.77","7","-6.864","0","0.0798","0.28","0.0000194","0.106","0.77","100.089","4","","Redline Independent","P (P) 2017 Redline Independent. Distributed by Sony Music Entertainment AB"
"spotify:track:6I1kZgg3bGrPKxhZOltbRW","Alla vill till himmelen men ingen vill dö","spotify:artist:4bOG1sx3QHFbOUVLNmMpPe","Timbuktu","spotify:album:3tXuKxDCfmokZIoqzTYAjN","Alla vill till himmelen men ingen vill dö","spotify:artist:4bOG1sx3QHFbOUVLNmMpPe","Timbuktu","2005-06-03","https://i.scdn.co/image/ab67616d0000b273a4f00fca4d50faa2267cd33e","1","2","246386","https://p.scdn.co/mp3-preview/609da5ba612a3eb3f7b3732f8a431255336afb44?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","SEVLE0400401","spotify:user:isak.sjoholm.","2025-05-07T15:18:45Z","svensk pop","0.775","0.87","4","-5.384","0","0.121","0.0277","0.00027","0.293","0.64","112","4","","WM Sweden","C © 2005 Mansa Musa - distributed by ADA a division of Warner Music Sweden AB, P ℗ 2005 Mansa Musa - distributed by ADA a division of Warner Music Sweden AB"
