"Låtens URI","Låtens namn","Artistens URI","Artistens namn","Albumets URI","Albumets namn","Albumartistens URI","Albumartistens namn","Albumets releasedatum","Albumets bild-URL","Skivnummer","Låtnummer","Låtlängd (ms)","Förhandsgranskning URL","Explicit","Popularitet","ISRC","Tillagd av","Tillagd vid","Artistens genrer","Dansbarhet","Energi","Tonart","Ljudstyrka","Läge","Talighet","Akustik","Instrumentalhet","Livlighet","Valens","Tempo","Taktart","Albumets genrer","Skivbolag","Upphovsrätt"
"spotify:track:2IfE8FhnPPEBSS4rL1qhBb","Heartbreak Hotel","spotify:artist:43ZHCT0cAZBISjO8DG9PnE","Elvis Presley","spotify:album:0QVoYzGd1p8Z3ohEaM0lsc","Elvis 30 #1 Hits","spotify:artist:43ZHCT0cAZBISjO8DG9PnE","Elvis Presley","2002-09-24","https://i.scdn.co/image/ab67616d0000b273a0b8a1ce10fddbba6879262e","1","1","127960","https://p.scdn.co/mp3-preview/e8984efc601fdab2cc5f81adb46f021624bc9bea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USRC10200074","spotify:user:isak.sjoholm.","2025-05-13T20:21:33Z","rockabilly,rock and roll","0.695","0.295","9","-8.672","1","0.0609","0.843","0.00000158","0.0856","0.732","93.574","4","","RCA Records Label","P This Compilation (P) 2002 Sony Music Entertainment"
"spotify:track:64Ny7djQ6rNJspquof2KoX","Hound Dog","spotify:artist:43ZHCT0cAZBISjO8DG9PnE","Elvis Presley","spotify:album:0C3t1htEDTFKcg7F2rNbek","Elvis' Golden Records","spotify:artist:43ZHCT0cAZBISjO8DG9PnE","Elvis Presley","1958-03-21","https://i.scdn.co/image/ab67616d0000b27320ee3e86e17f17239bef1f76","1","1","136026","https://p.scdn.co/mp3-preview/5565c6d80f853affdfccb9f71f2ec170c95861ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USRC15602857","spotify:user:isak.sjoholm.","2025-05-13T20:21:38Z","rockabilly,rock and roll","0.494","0.756","0","-8.492","1","0.0499","0.733","0.00505","0.76","0.949","86.895","4","","RCA Records Label","P (P) 1958 Sony Music Entertainment"
"spotify:track:4gphxUgq0JSFv2BCLhNDiE","Jailhouse Rock","spotify:artist:43ZHCT0cAZBISjO8DG9PnE","Elvis Presley","spotify:album:0C3t1htEDTFKcg7F2rNbek","Elvis' Golden Records","spotify:artist:43ZHCT0cAZBISjO8DG9PnE","Elvis Presley","1958-03-21","https://i.scdn.co/image/ab67616d0000b27320ee3e86e17f17239bef1f76","1","5","146480","https://p.scdn.co/mp3-preview/dfdeb40e04e26bff50cf5a89cb68cdc4228fcea4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USRC15705223","spotify:user:isak.sjoholm.","2025-05-13T20:21:43Z","rockabilly,rock and roll","0.647","0.582","10","-9.538","0","0.0755","0.41","0.00000193","0.0715","0.915","167.396","4","","RCA Records Label","P (P) 1958 Sony Music Entertainment"
"spotify:track:1H5IfYyIIAlgDX8zguUzns","Suspicious Minds","spotify:artist:43ZHCT0cAZBISjO8DG9PnE","Elvis Presley","spotify:album:3ekkFrfotMsEAKc5g71GHk","From Elvis in Memphis","spotify:artist:43ZHCT0cAZBISjO8DG9PnE","Elvis Presley","1969-06-17","https://i.scdn.co/image/ab67616d0000b273fdc0aa7765f3197ac9179ec7","1","13","261279","https://p.scdn.co/mp3-preview/e7072dbcb87f4c8c62f2dab5daa22be4a6eccb9b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USRC16901355","spotify:user:isak.sjoholm.","2025-05-13T20:21:47Z","rockabilly,rock and roll","0.487","0.382","7","-10.889","1","0.0309","0.0422","0.00000474","0.411","0.714","116.557","4","","RCA/Legacy","P (P) 1969 Sony Music Entertainment"
"spotify:track:3MrRksHupTVEQ7YbA0FsZK","The Final Countdown","spotify:artist:7Js6Lde8thlIHXggv2SCBz","Europe","spotify:album:5Jkd47JEaCU1g4DcGBnHm3","The Final Countdown (Expanded Edition)","spotify:artist:7Js6Lde8thlIHXggv2SCBz","Europe","1986","https://i.scdn.co/image/ab67616d0000b273f5e30500f0eec7d92b159eae","1","1","310333","https://p.scdn.co/mp3-preview/eaa4589de811f47326f5a15013ed58bd62a9e96a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USSM18600196","spotify:user:isak.sjoholm.","2025-05-13T20:23:00Z","glam metal","0.529","0.843","6","-6.908","0","0.0616","0.0628","0.000827","0.0608","0.188","117.662","4","","Portrait/Epic/Legacy","P (P) 1986, 1987 Sony Music Entertainment Inc."
"spotify:track:2DmZ7aPhT5jkqLIYxTpQlJ","Walk Of Life","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","spotify:album:5RUE91DSu0BdsiEn4vOrNY","The Best Of Dire Straits & Mark Knopfler - Private Investigations","spotify:artist:0FI0kxP0BWurTz8cB8BBug, spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Mark Knopfler, Dire Straits","2005-01-01","https://i.scdn.co/image/ab67616d0000b273178419da701ab7c7f693c9ac","1","10","248906","https://p.scdn.co/mp3-preview/a99024ea68de1cee57cf0e574123af4fb0b574dc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","GBF088500675","spotify:user:isak.sjoholm.","2025-05-13T20:23:06Z","klassisk rock","0.438","0.96","4","-4.461","1","0.154","0.356","0.000144","0.163","0.772","172.37","4","","EMI","C © 2005 Mercury Records Limited, P ℗ 2005 Mercury Records Limited"
"spotify:track:5R8dQOPq8haW94K7mgERlO","Poker Face","spotify:artist:1HY2Jd0NmPuamShAr6KMms","Lady Gaga","spotify:album:1jpUMnKpRlng1OJN7LJauV","The Fame","spotify:artist:1HY2Jd0NmPuamShAr6KMms","Lady Gaga","2008-01-01","https://i.scdn.co/image/ab67616d0000b273613aaa3ae566d9f36008aed0","1","4","237200","https://p.scdn.co/mp3-preview/f34749678f9ada857c59266e8afbc0b39eeeb9aa?cid=9950ac751e34487dbbe027c4fd7f8e99","true","83","USUM70824409","spotify:user:isak.sjoholm.","2025-05-13T20:23:09Z","konstpop,pop","0.851","0.806","4","-4.618","1","0.0787","0.119","0.00000172","0.121","0.774","119.001","4","","Interscope","C © 2008 Interscope Records, P ℗ 2008 Interscope Records"
"spotify:track:1Je1IMUlBXcx1Fz0WE7oPT","Wannabe","spotify:artist:0uq5PttqEjj3IH1bzwcrXF","Spice Girls","spotify:album:3x2jF7blR6bFHtk4MccsyJ","Spice","spotify:artist:0uq5PttqEjj3IH1bzwcrXF","Spice Girls","1996-01-01","https://i.scdn.co/image/ab67616d0000b27363facc42e4a35eb3aa182b59","1","1","173026","https://p.scdn.co/mp3-preview/4f557870cbdb569a7c99a62df97f71358d3b8da3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","GBAAA9600008","spotify:user:isak.sjoholm.","2025-05-13T20:25:06Z","","0.768","0.864","11","-6.149","1","0.0324","0.101","0","0.162","0.891","110.009","4","","Virgin Records","C © 1996 Virgin Records Limited, P ℗ 1996 Virgin Records Limited"
"spotify:track:4Ln6CP07DElm8ay1RxyYa9","The Look","spotify:artist:2SHhfs4BiDxGQ3oxqf0UHY","Roxette","spotify:album:70EpMMqKGTqr61NHxBlLvt","Look Sharp! 30th Anniversary Edition","spotify:artist:2SHhfs4BiDxGQ3oxqf0UHY","Roxette","1988-10-22","https://i.scdn.co/image/ab67616d0000b273d3249f443c3ef2daa70818d0","1","1","237320","https://p.scdn.co/mp3-preview/60f5a01123d6c7a28a3d0ca3b8f04f16c704b03d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","SEAME8878010","spotify:user:isak.sjoholm.","2025-05-13T20:38:42Z","svensk pop","0.634","0.838","2","-5.363","1","0.0413","0.0527","0.00000834","0.0522","0.541","95.01","4","","WM Sweden","C © 2022 Roxette Recordings and Parlophone Music Sweden a division of Warner Music Sweden AB, P ℗ 2022 Roxette Recordings and Parlophone Music Sweden a division of Warner Music Sweden AB"
"spotify:track:2MaBAGBIttgv86bYytdx1f","Listen To Your Heart","spotify:artist:2SHhfs4BiDxGQ3oxqf0UHY","Roxette","spotify:album:3ZbAooTInchkC9RH7SPKVb","Look Sharp!","spotify:artist:2SHhfs4BiDxGQ3oxqf0UHY","Roxette","1988-10-21","https://i.scdn.co/image/ab67616d0000b27322c3c99e7aa0ba6cd08a6be6","1","13","328093","https://p.scdn.co/mp3-preview/c54159e0760a42465321462c7cbfdea0bfec14b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","SEAME8878130","spotify:user:isak.sjoholm.","2025-05-13T20:38:50Z","svensk pop","0.539","0.583","1","-4.935","0","0.0275","0.108","0","0.111","0.337","86.065","4","","WM Sweden","C © 1988 Parlophone Music Sweden, a divison of Warner Music Sweden AB, P ℗ 1988 Parlophone Music Sweden, a divison of Warner Music Sweden AB"
