"Låtens URI","Låtens namn","Artistens URI","Artistens namn","Albumets URI","Albumets namn","Albumartistens URI","Albumartistens namn","Albumets releasedatum","Albumets bild-URL","Skivnummer","Låtnummer","Låtlängd (ms)","Förhandsgranskning URL","Explicit","Popularitet","ISRC","Tillagd av","Tillagd vid","Artistens genrer","Dansbarhet","Energi","Tonart","Ljudstyrka","Läge","Talighet","Akustik","Instrumentalhet","Livlighet","Valens","Tempo","Taktart","Albumets genrer","Skivbolag","Upphovsrätt"
"spotify:track:4nrPB8O7Y7wsOCJdgXkthe","Shakira: Bzrp Music Sessions, Vol. 53","spotify:artist:716NhGYqD1jl2wI1Qkgq36, spotify:artist:0EmeFodog0BfCgMzAIvKQp","Bizarrap, Shakira","spotify:album:1gi2iwr1l8IUyHYHxi01pg","Shakira: Bzrp Music Sessions, Vol. 53","spotify:artist:716NhGYqD1jl2wI1Qkgq36, spotify:artist:0EmeFodog0BfCgMzAIvKQp","Bizarrap, Shakira","2023-01-11","https://i.scdn.co/image/ab67616d0000b2732b6d78c5a3f6247aa997b812","1","1","214945","https://p.scdn.co/mp3-preview/64e90f49942deb7dd92610fb8ef64b30524e6009?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","UYB282301031","spotify:user:isak.sjoholm.","2023-04-17T17:02:08Z","argentinsk trap,latinamerikansk trap,urbano latino,latinamerikansk pop","0.842","0.745","2","-4.231","0","0.0399","0.281","0.0000261","0.118","0.53","122.06","4","","DALE PLAY Records","C (C) 2023 DALE PLAY Records, P (P) 2023 DALE PLAY Records"
"spotify:track:2tTmW7RDtMQtBk7m2rYeSw","Quevedo: Bzrp Music Sessions, Vol. 52","spotify:artist:716NhGYqD1jl2wI1Qkgq36, spotify:artist:52iwsT98xCoGgiGntTiR7K","Bizarrap, Quevedo","spotify:album:4PNqWiJAfjj32hVvlchV5u","Quevedo: Bzrp Music Sessions, Vol. 52","spotify:artist:716NhGYqD1jl2wI1Qkgq36, spotify:artist:52iwsT98xCoGgiGntTiR7K","Bizarrap, Quevedo","2022-07-06","https://i.scdn.co/image/ab67616d0000b2731630dd349221a35ce03a0ccf","1","1","198937","https://p.scdn.co/mp3-preview/e9c0ed735e611f6af45bc946bd4c31590df09ed6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","UYB282201028","spotify:user:isak.sjoholm.","2023-04-17T17:02:12Z","argentinsk trap,latinamerikansk trap,urbano latino","0.621","0.782","2","-5.548","1","0.044","0.0125","0.033","0.23","0.55","128.033","4","","DALE PLAY Records","C (C) 2022 DALE PLAY Records, P (P) 2022 DALE PLAY Records"
"spotify:track:1IHWl5LamUGEuP4ozKQSXZ","Tití Me Preguntó","spotify:artist:4q3ewBCX7sLwd24euuV69X","Bad Bunny","spotify:album:3RQQmkQEvNCY4prGKE6oc5","Un Verano Sin Ti","spotify:artist:4q3ewBCX7sLwd24euuV69X","Bad Bunny","2022-05-06","https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72","1","4","243716","https://p.scdn.co/mp3-preview/53a6217761f8fdfcff92189cafbbd1cc21fdb813?cid=9950ac751e34487dbbe027c4fd7f8e99","true","86","QM6MZ2214878","spotify:user:isak.sjoholm.","2023-04-17T17:05:16Z","reggaeton,latinamerikansk trap,urbano latino,latino","0.65","0.715","5","-5.198","0","0.253","0.0993","0.000291","0.126","0.187","106.672","4","","Rimas Entertainment LLC","C (C) 2022 Rimas Entertainment, P (P) 2022 Rimas Entertainment"
"spotify:track:5ildQOEKmJuWGl2vRkFdYc","DESPECHÁ","spotify:artist:7ltDVBr6mKbRvohxheJ9h1","ROSALÍA","spotify:album:5omNd3Mkij9C3ZeW19rRmv","DESPECHÁ","spotify:artist:7ltDVBr6mKbRvohxheJ9h1","ROSALÍA","2022-07-28","https://i.scdn.co/image/ab67616d0000b2738f072024e0358fc5c62eba41","1","1","157017","https://p.scdn.co/mp3-preview/ced2995a18e3fd7407931dc90f7097ad8e9cb38d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","76","USSM12207207","spotify:user:isak.sjoholm.","2023-04-17T17:08:54Z","latino","0.919","0.623","7","-6.521","1","0.0992","0.184","0.0000163","0.0609","0.775","130.037","4","","Columbia","P (P) 2022 Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:3FkeNbs9Zeiqkr3WkbOiGp","Envolver","spotify:artist:7FNnA9vBm6EKceENgCGRMb","Anitta","spotify:album:2TPl41Riu1SDbHoxhCIo2D","Versions of Me","spotify:artist:7FNnA9vBm6EKceENgCGRMb","Anitta","2022-04-12","https://i.scdn.co/image/ab67616d0000b27396e2642422ad16661e673fa2","1","1","193805","https://p.scdn.co/mp3-preview/1e4312cd2a09aa2d40818347cc7f157576fe8f1d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USWL12100576","spotify:user:isak.sjoholm.","2023-04-17T17:09:02Z","brasiliansk pop,funkpop,funk carioca,funk,pagode baiano","0.812","0.736","4","-5.421","0","0.0833","0.152","0.00254","0.0914","0.396","91.993","4","","Warner Records","C © 2022 Warner Records Inc., P ℗ 2022 Warner Records Inc."
"spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx","Me Porto Bonito","spotify:artist:4q3ewBCX7sLwd24euuV69X, spotify:artist:37230BxxYs9ksS7OkZw3IU","Bad Bunny, Chencho Corleone","spotify:album:3RQQmkQEvNCY4prGKE6oc5","Un Verano Sin Ti","spotify:artist:4q3ewBCX7sLwd24euuV69X","Bad Bunny","2022-05-06","https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72","1","3","178567","https://p.scdn.co/mp3-preview/5c80aedfe75d2bc15aa0e803993c43395d8054fe?cid=9950ac751e34487dbbe027c4fd7f8e99","true","85","QM6MZ2214877","spotify:user:isak.sjoholm.","2023-04-17T17:10:10Z","reggaeton,latinamerikansk trap,urbano latino,latino,reggaeton","0.911","0.712","1","-5.105","0","0.0817","0.0901","0.0000268","0.0933","0.425","92.005","4","","Rimas Entertainment LLC","C (C) 2022 Rimas Entertainment, P (P) 2022 Rimas Entertainment"
"spotify:track:1q0PYXTbDsirp2l74ng6pn","In Da Getto","spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5, spotify:artist:5he5w2lnU9x7JFhnwcekXX","J Balvin, Skrillex","spotify:album:11GmvpYnbgK0rSryPaV5BP","JOSE","spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5","J Balvin","2021-09-10","https://i.scdn.co/image/ab67616d0000b273922a7339d969b5f0262580f5","1","4","130666","https://p.scdn.co/mp3-preview/c27b271fbb3fc0e5d104eb1cec7b7ecdc10611af?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","QZM5U2100095","spotify:user:isak.sjoholm.","2023-04-17T17:18:41Z","reggaeton,latino,dubstep,edm,electro,electronic","0.924","0.723","8","-3.142","1","0.0466","0.0177","0.0000261","0.113","0.643","126.998","4","","Sueños Globales, LLC","C © 2021 Sueños Globales, LLC, Exclusively Licensed To UMG Recordings Inc., P ℗ 2021 Sueños Globales, LLC, Exclusively Licensed To UMG Recordings Inc."
"spotify:track:5gflgO9EPbIBf16n5TKnQS","Yo Voy (feat. Daddy Yankee)","spotify:artist:21451j1KhjAiaYKflxBjr1","Zion & Lennox","spotify:album:2aItcV9jj0LvaluaDFTLqF","Motivando a la Yal","spotify:artist:21451j1KhjAiaYKflxBjr1","Zion & Lennox","2004-05-04","https://i.scdn.co/image/ab67616d0000b27387d3146807ad53b05a7daaac","1","4","232019","https://p.scdn.co/mp3-preview/0d6bcbc99daa02a570665e3201ebd0c7c9b7efeb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USUYG1044452","spotify:user:isak.sjoholm.","2023-04-17T17:19:13Z","reggaeton,latino","0.808","0.697","10","-5.899","1","0.241","0.041","0","0.0546","0.554","95.06","4","","Baby Records Inc","C 2014 Baby Records Inc, P 2014 Baby Records Inc"
"spotify:track:78kygHp1dvW1kncYjBgbe1","Mujeriego","spotify:artist:7j6DKwmjbxvpQO8h914uEz","Ryan Castro","spotify:album:43sxUsU622oLloqafw61vN","Mujeriego","spotify:artist:7j6DKwmjbxvpQO8h914uEz","Ryan Castro","2021-12-17","https://i.scdn.co/image/ab67616d0000b2730193b30d2ad5ecd9ac3f26aa","1","1","142500","https://p.scdn.co/mp3-preview/a3ad0f17b956bd294e106ab065ca01ec7ae5584e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","COSO12100328","spotify:user:isak.sjoholm.","2023-04-17T17:28:32Z","reggaeton","0.758","0.621","9","-8.033","1","0.125","0.0628","0","0.0809","0.92","79.949","4","","Sony Music Entertainment","P (P)2021 Ryan Castro. Bajo Distribución a Sony Music Entertainment Colombia S.A"
"spotify:track:5MxFWjuqQIsbNWbMdMdbli","La Jumpa","spotify:artist:4SsVbpTthjScTS7U2hmr1X, spotify:artist:4q3ewBCX7sLwd24euuV69X","Arcángel, Bad Bunny","spotify:album:6LOhj1aK7vkGHJXtKU16PN","La Jumpa","spotify:artist:4SsVbpTthjScTS7U2hmr1X, spotify:artist:4q3ewBCX7sLwd24euuV69X","Arcángel, Bad Bunny","2022-11-30","https://i.scdn.co/image/ab67616d0000b2731e0950bcdb5495e2038e0d14","1","1","255693","https://p.scdn.co/mp3-preview/8bcdff4719a7a4211128ec93da03892e46c4bc6a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","QMDA72252608","spotify:user:isak.sjoholm.","2024-05-10T19:30:49Z","reggaeton,latinamerikansk trap,urbano latino,reggaeton,latinamerikansk trap,urbano latino,latino","0.713","0.703","8","-5.769","1","0.194","0.298","0","0.321","0.576","123.06","4","","Rimas Entertainment LLC.","C (C) 2022 Rimas Entertainment LLC., P (P) 2022 Rimas Entertainment LLC."
