Låtens URI,Låtens namn,Artistens URI,Artistens namn,Albumets URI,Albumets namn,Albumartistens URI,Albumartistens namn,Albumets releasedatum,Albumets bild-URL,Skivnummer,Låtnummer,Låtlängd (ms),Förhandsgranskning URL,Explicit,Popularitet,ISRC,Tillagd av,Tillagd vid,Artistens genrer,Dansbarhet,Energi,Tonart,Ljudstyrka,Läge,Talighet,Akustik,Instrumentalhet,Livlighet,Valens,Tempo,Taktart,Albumets genrer,Skivbolag,Upphovsrätt
spotify:track:3lfPuyvkKQsWFFAIhE73ww,Jump,spotify:artist:60TYV12IFUaDfnUA0S67zb,Rupee,spotify:album:3Uq7mIN3ccKNODOAfTjRiy,1 On 1,spotify:artist:60TYV12IFUaDfnUA0S67zb,Rupee,2004-10-26,https://i.scdn.co/image/ab67616d0000b273d9b658fe9f28611388fb415e,1,14,214720,https://p.scdn.co/mp3-preview/edcddd0b344e6eff53ad13d6c8c14773817d8698?cid=9950ac751e34487dbbe027c4fd7f8e99,False,52,USAT20401837,spotify:user:isak.sjoholm.,2025-07-18T13:07:29Z,"soca,dancehall,calypso",0.678,0.942,7.0,-2.597,1.0,0.0546,0.000845,3.43e-06,0.0422,0.726,155.017,4.0,,Atlantic Records,"C © 2005 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States, P ℗ 2005 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States"
spotify:track:3lfPuyvkKQsWFFAIhE73ww,Jump,spotify:artist:60TYV12IFUaDfnUA0S67zb,Rupee,spotify:album:3Uq7mIN3ccKNODOAfTjRiy,1 On 1,spotify:artist:60TYV12IFUaDfnUA0S67zb,Rupee,2004-10-26,https://i.scdn.co/image/ab67616d0000b273d9b658fe9f28611388fb415e,1,14,214720,https://p.scdn.co/mp3-preview/edcddd0b344e6eff53ad13d6c8c14773817d8698?cid=9950ac751e34487dbbe027c4fd7f8e99,False,52,USAT20401837,spotify:user:isak.sjoholm.,2025-07-18T13:07:29Z,"soca,dancehall,calypso",0.678,0.942,7.0,-2.597,1.0,0.0546,0.000845,3.43e-06,0.0422,0.726,155.017,4.0,,Atlantic Records,"C © 2005 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States, P ℗ 2005 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States"
spotify:track:02jzzQFDJRxrrx9WFApODY,โรคจิต,spotify:artist:7G4qd0NlBQf4AxC0klpuDY,Slur,spotify:album:0KodVmT6WR9IIv4p82Z3Z0,Boo!,spotify:artist:7G4qd0NlBQf4AxC0klpuDY,Slur,2012-10-04,https://i.scdn.co/image/ab67616d0000b273c8abef6efe60a011867b8aa2,1,2,175626,https://p.scdn.co/mp3-preview/e774f25824417b449ab561573bb4d1be2df39086?cid=9950ac751e34487dbbe027c4fd7f8e99,False,33,THSM10500156,spotify:user:isak.sjoholm.,2025-07-18T13:18:00Z,"thailändsk rock,thailändsk pop,thailändsk indiepop,thailändsk indierock",0.507,0.963,7.0,-1.849,1.0,0.0625,0.00828,0.0838,0.0326,0.843,155.019,4.0,,Smallroom,"C Smallroom Bangkok Pop Music Label, P Smallroom Bangkok Pop Music Label"
spotify:track:02jzzQFDJRxrrx9WFApODY,โรคจิต,spotify:artist:7G4qd0NlBQf4AxC0klpuDY,Slur,spotify:album:0KodVmT6WR9IIv4p82Z3Z0,Boo!,spotify:artist:7G4qd0NlBQf4AxC0klpuDY,Slur,2012-10-04,https://i.scdn.co/image/ab67616d0000b273c8abef6efe60a011867b8aa2,1,2,175626,https://p.scdn.co/mp3-preview/e774f25824417b449ab561573bb4d1be2df39086?cid=9950ac751e34487dbbe027c4fd7f8e99,False,33,THSM10500156,spotify:user:isak.sjoholm.,2025-07-18T13:18:00Z,"thailändsk rock,thailändsk pop,thailändsk indiepop,thailändsk indierock",0.507,0.963,7.0,-1.849,1.0,0.0625,0.00828,0.0838,0.0326,0.843,155.019,4.0,,Smallroom,"C Smallroom Bangkok Pop Music Label, P Smallroom Bangkok Pop Music Label"
spotify:track:2z8s2nQA67uwwt7ItYUkKy,Mis Alas Son Tus Hojas,spotify:artist:1EXjXQpDx2pROygh8zvHs4,Melendi,spotify:album:00UlhRF25elWQ4ImKuj8SI,Curiosa La Cara De Tu Padre,spotify:artist:1EXjXQpDx2pROygh8zvHs4,Melendi,2008-09-16,https://i.scdn.co/image/ab67616d0000b2733f39425dd684788ae6edb372,1,6,218533,https://p.scdn.co/mp3-preview/6d59c0303eb6def5dc4f92570ffe1c6893534288?cid=9950ac751e34487dbbe027c4fd7f8e99,False,42,ESD010800120,spotify:user:isak.sjoholm.,2025-07-18T13:18:56Z,"flamenco,flamenco pop",0.566,0.937,9.0,-4.119,0.0,0.0419,0.0143,0.0325,0.132,0.749,155.015,4.0,,Parlophone Spain,"C © 2008 Ockam Records. Bajo licencia exclusiva a Warner Music Spain, S.L., P ℗ 2008 Ockam Records. Bajo licencia exclusiva a Warner Music Spain, S.L."
spotify:track:2z8s2nQA67uwwt7ItYUkKy,Mis Alas Son Tus Hojas,spotify:artist:1EXjXQpDx2pROygh8zvHs4,Melendi,spotify:album:00UlhRF25elWQ4ImKuj8SI,Curiosa La Cara De Tu Padre,spotify:artist:1EXjXQpDx2pROygh8zvHs4,Melendi,2008-09-16,https://i.scdn.co/image/ab67616d0000b2733f39425dd684788ae6edb372,1,6,218533,https://p.scdn.co/mp3-preview/6d59c0303eb6def5dc4f92570ffe1c6893534288?cid=9950ac751e34487dbbe027c4fd7f8e99,False,42,ESD010800120,spotify:user:isak.sjoholm.,2025-07-18T13:18:56Z,"flamenco,flamenco pop",0.566,0.937,9.0,-4.119,0.0,0.0419,0.0143,0.0325,0.132,0.749,155.015,4.0,,Parlophone Spain,"C © 2008 Ockam Records. Bajo licencia exclusiva a Warner Music Spain, S.L., P ℗ 2008 Ockam Records. Bajo licencia exclusiva a Warner Music Spain, S.L."
spotify:track:4fYAcwdEtW2VCZe5Xoe7iC,A Contracorriente,spotify:artist:5RK6c1tyaKpwcDpbgCGNgj,El Canto Del Loco,spotify:album:4GAsbhINFlN5K9PZ6vEaCW,A Contracorriente,spotify:artist:5RK6c1tyaKpwcDpbgCGNgj,El Canto Del Loco,2002-03-01,https://i.scdn.co/image/ab67616d0000b2737958aaea7d2aaa5174c41fc1,1,5,181533,https://p.scdn.co/mp3-preview/522ea20c777dbbc55190556ae85f7ccfbdb945c5?cid=9950ac751e34487dbbe027c4fd7f8e99,False,51,ES5020200048,spotify:user:isak.sjoholm.,2025-07-18T13:18:52Z,,0.496,0.931,8.0,-1.945,1.0,0.039,0.0158,7.48e-06,0.135,0.763,155.009,4.0,,Ariola,"P (P) 2002 BMG Music Spain, S.A."
spotify:track:4fYAcwdEtW2VCZe5Xoe7iC,A Contracorriente,spotify:artist:5RK6c1tyaKpwcDpbgCGNgj,El Canto Del Loco,spotify:album:4GAsbhINFlN5K9PZ6vEaCW,A Contracorriente,spotify:artist:5RK6c1tyaKpwcDpbgCGNgj,El Canto Del Loco,2002-03-01,https://i.scdn.co/image/ab67616d0000b2737958aaea7d2aaa5174c41fc1,1,5,181533,https://p.scdn.co/mp3-preview/522ea20c777dbbc55190556ae85f7ccfbdb945c5?cid=9950ac751e34487dbbe027c4fd7f8e99,False,51,ES5020200048,spotify:user:isak.sjoholm.,2025-07-18T13:18:52Z,,0.496,0.931,8.0,-1.945,1.0,0.039,0.0158,7.48e-06,0.135,0.763,155.009,4.0,,Ariola,"P (P) 2002 BMG Music Spain, S.A."
spotify:track:3hldQZusW4tjJXeYlLvQas,Freestyler - Radio Edit,spotify:artist:0NeC6ploeJUq8oDwYQjNPS,Bomfunk MC's,spotify:album:4o03pHHL4dYfHB4olfCdyE,Party Hits,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,Blandade Artister,2012-11-19,https://i.scdn.co/image/ab67616d0000b273907c5efb002dfcf3638e08cc,1,6,172733,https://p.scdn.co/mp3-preview/292de56c28d89ee89de9d19f1fe99bd730eed731?cid=9950ac751e34487dbbe027c4fd7f8e99,True,51,FISME9900064,spotify:user:isak.sjoholm.,2025-07-18T13:16:41Z,eurodance,0.847,0.961,4.0,-5.183,0.0,0.105,0.0237,0.0259,0.0629,0.922,163.821,4.0,,Legacy Recordings,P (P) 2012 Sony Music Entertainment
spotify:track:3hldQZusW4tjJXeYlLvQas,Freestyler - Radio Edit,spotify:artist:0NeC6ploeJUq8oDwYQjNPS,Bomfunk MC's,spotify:album:4o03pHHL4dYfHB4olfCdyE,Party Hits,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,Blandade Artister,2012-11-19,https://i.scdn.co/image/ab67616d0000b273907c5efb002dfcf3638e08cc,1,6,172733,https://p.scdn.co/mp3-preview/292de56c28d89ee89de9d19f1fe99bd730eed731?cid=9950ac751e34487dbbe027c4fd7f8e99,True,51,FISME9900064,spotify:user:isak.sjoholm.,2025-07-18T13:16:41Z,eurodance,0.847,0.961,4.0,-5.183,0.0,0.105,0.0237,0.0259,0.0629,0.922,163.821,4.0,,Legacy Recordings,P (P) 2012 Sony Music Entertainment
