"Låtens URI","Låtens namn","Artistens URI","Artistens namn","Albumets URI","Albumets namn","Albumartistens URI","Albumartistens namn","Albumets releasedatum","Albumets bild-URL","Skivnummer","Låtnummer","Låtlängd (ms)","Förhandsgranskning URL","Explicit","Popularitet","ISRC","Tillagd av","Tillagd vid","Artistens genrer","Dansbarhet","Energi","Tonart","Ljudstyrka","Läge","Talighet","Akustik","Instrumentalhet","Livlighet","Valens","Tempo","Taktart","Albumets genrer","Skivbolag","Upphovsrätt"
"spotify:track:2yNfaW5s5EXJDcKZWOjuzq","Vårt år","spotify:artist:2Osj5g9VkHReOlZgfoEQao, spotify:artist:0XDfNJsQy7B3q0GfsMHSkp","estraden, Tjuvjakt","spotify:album:5GPqANKCcIMytM7y3GkEIG","Vårt år","spotify:artist:2Osj5g9VkHReOlZgfoEQao, spotify:artist:0XDfNJsQy7B3q0GfsMHSkp","estraden, Tjuvjakt","2019-02-15","https://i.scdn.co/image/ab67616d0000b273b761a93d67d7c4b1af549c0f","1","1","209867","https://p.scdn.co/mp3-preview/84f0154e64eec6fa492cbfed008adbe164311d61?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","SEBGA1900676","spotify:user:isak.sjoholm.","2023-05-07T07:04:03Z","svensk pop,svensk pop","0.551","0.713","6","-5.527","1","0.0616","0.0128","0","0.377","0.616","93.002","4","","Midsommarnatt (AB)","P (P) 2019 Sommarnatt under exclusive license to Sony Music Entertainment Sweden AB"
"spotify:track:6sjGsKuInpaK3uoaWGe22W","Från och med Du","spotify:artist:3E8Mx37sikkaFoX5DRecLi","Oskar Linnros","spotify:album:2jCYbQBRefZrTeMXIMIsNp","Vilja Bli","spotify:artist:3E8Mx37sikkaFoX5DRecLi","Oskar Linnros","2010-01-01","https://i.scdn.co/image/ab67616d0000b273a11d74ed7e8d845053c1096d","1","3","193360","https://p.scdn.co/mp3-preview/dd727b6529f74c88d657830183b9d11bc617180b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","SEUM71000245","spotify:user:isak.sjoholm.","2023-05-07T07:07:22Z","svensk pop","0.599","0.803","10","-6.695","1","0.0507","0.0224","0.0342","0.0909","0.392","143.013","4","","Universal Music AB","C © 2010 Oskar Linnros Musik, under exclusive license to Universal Music AB, P ℗ 2010 Oskar Linnros Musik, under exclusive license to Universal Music AB"
"spotify:track:5KrwSUQUBNVPI8McE77OgB","Apelsinskal","spotify:artist:0XDfNJsQy7B3q0GfsMHSkp, spotify:artist:5wXRHaEx8AvtUv0gyZHGf6","Tjuvjakt, Newkid","spotify:album:5vDwrDp5Hc3Hn5BqtkVB46","Blåa jeans, tomma fickor","spotify:artist:0XDfNJsQy7B3q0GfsMHSkp","Tjuvjakt","2020-11-06","https://i.scdn.co/image/ab67616d0000b273d65617a77eab55fc38753651","1","3","158280","https://p.scdn.co/mp3-preview/e1acdc7700647038d1bef38d30dab929ca8c5a0d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","SEUM72000270","spotify:user:isak.sjoholm.","2023-05-07T07:09:42Z","svensk pop,svensk pop","0.713","0.676","2","-5.852","1","0.323","0.114","0","0.0642","0.484","75.301","4","","Universal Music AB","C © 2020 Mångata Records, Under exclusive license to Universal Music AB, P ℗ 2020 Mångata Records, Under exclusive license to Universal Music AB"
"spotify:track:48ubkDBO9GAFRkn3hXFHVt","Sergels torg","spotify:artist:2OIWxN9xUhgUHkeUCWCaNs","Veronica Maggio","spotify:album:6FDDd5kzWGXVm1qbKRGqEg","Handen i fickan fast jag bryr mig","spotify:artist:2OIWxN9xUhgUHkeUCWCaNs","Veronica Maggio","2013-01-01","https://i.scdn.co/image/ab67616d0000b27346ea47fd9f97917f2ef708f0","1","1","226520","https://p.scdn.co/mp3-preview/f539b248689e044a60c1a93cff4b15b0c6eb817e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","SEUM71301582","spotify:user:isak.sjoholm.","2023-05-07T07:09:46Z","svensk pop","0.483","0.809","0","-5.866","1","0.0362","0.00889","0.0374","0.101","0.378","138.986","4","","Universal Music AB","C © 2013 Veronica Maggio AB, Under exclusive license to Universal Music AB, P ℗ 2013 Veronica Maggio AB, Under exclusive license to Universal Music AB"
"spotify:track:1aEU7mcRDTYBB4ASpqbjYE","Hon dansar vidare i livet","spotify:artist:68dW5BU6sdVNf099EylxEt","Hov1","spotify:album:6VRCXuC1b2MGjiat5QZ0Ql","Gudarna på Västerbron","spotify:artist:68dW5BU6sdVNf099EylxEt","Hov1","2018-09-11","https://i.scdn.co/image/ab67616d0000b273ac5580ea8b540516cbaeef6c","1","10","248893","https://p.scdn.co/mp3-preview/acca0b39c3f587f6d2b5ecd86ac3deb1eae8cec7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","SEUM71800176","spotify:user:isak.sjoholm.","2023-05-07T07:09:55Z","svensk pop","0.655","0.651","8","-7.063","1","0.122","0.0267","0","0.133","0.782","90.054","4","","Universal Music AB","C © 2018 Levenum AB, Under exclusive license to Universal Music AB, P ℗ 2018 Levenum AB, Under exclusive license to Universal Music AB"
"spotify:track:7MzmBmyI9KkyQJaPNLdtUi","17 år","spotify:artist:2OIWxN9xUhgUHkeUCWCaNs","Veronica Maggio","spotify:album:7K3z58HrZ2RJR2j82xWbsc","Och vinnaren är...","spotify:artist:2OIWxN9xUhgUHkeUCWCaNs","Veronica Maggio","2008-01-01","https://i.scdn.co/image/ab67616d0000b273b8f600439b138e7fdceb5c93","1","10","220520","https://p.scdn.co/mp3-preview/1f304cd3bbac7feb2bd9e00ce0c8fca35fc25ac3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","SEUM70800042","spotify:user:isak.sjoholm.","2023-05-07T07:10:56Z","svensk pop","0.76","0.675","1","-6.299","1","0.0254","0.244","0.00000842","0.105","0.783","106.942","4","","Universal Music AB","C © 2008 Veronica Maggio AB, Under exclusive license to Universal Music AB, P ℗ 2008 Veronica Maggio AB, Under exclusive license to Universal Music AB"
"spotify:track:71CFZjdSm2WSh5S6TPd69A","Hela huset","spotify:artist:2OIWxN9xUhgUHkeUCWCaNs, spotify:artist:3H7Ez7cwaYw4L3ELy4v3Lc","Veronica Maggio, Håkan Hellström","spotify:album:6FDDd5kzWGXVm1qbKRGqEg","Handen i fickan fast jag bryr mig","spotify:artist:2OIWxN9xUhgUHkeUCWCaNs","Veronica Maggio","2013-01-01","https://i.scdn.co/image/ab67616d0000b27346ea47fd9f97917f2ef708f0","1","3","213480","https://p.scdn.co/mp3-preview/dc774a2c5fad7468eedca24d659770674195579e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","SEUM71301689","spotify:user:isak.sjoholm.","2023-05-07T07:12:31Z","svensk pop,svensk pop","0.607","0.704","11","-3.502","1","0.0326","0.342","0","0.195","0.564","114.049","4","","Universal Music AB","C © 2013 Veronica Maggio AB, Under exclusive license to Universal Music AB, P ℗ 2013 Veronica Maggio AB, Under exclusive license to Universal Music AB"
"spotify:track:1oFoY6INRnHIpHY6ssPxBm","Trädgården en fredag","spotify:artist:2OIWxN9xUhgUHkeUCWCaNs","Veronica Maggio","spotify:album:6FDDd5kzWGXVm1qbKRGqEg","Handen i fickan fast jag bryr mig","spotify:artist:2OIWxN9xUhgUHkeUCWCaNs","Veronica Maggio","2013-01-01","https://i.scdn.co/image/ab67616d0000b27346ea47fd9f97917f2ef708f0","1","7","189680","https://p.scdn.co/mp3-preview/baff99fe4a840e528b9ff537bdb76b19f07759f5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","SEUM71301694","spotify:user:isak.sjoholm.","2023-05-07T07:13:19Z","svensk pop","0.607","0.847","4","-5.078","1","0.055","0.135","0","0.0848","0.731","157.004","4","","Universal Music AB","C © 2013 Veronica Maggio AB, Under exclusive license to Universal Music AB, P ℗ 2013 Veronica Maggio AB, Under exclusive license to Universal Music AB"
"spotify:track:4GK4mydvnsodLEHWb4zJV4","Sunnanvind","spotify:artist:4TdxMK2fOY7eOBvgtDwbVC","Mares","spotify:album:11zMh9VPccELGpM5FgJIx9","Sunnanvind","spotify:artist:4TdxMK2fOY7eOBvgtDwbVC","Mares","2019-03-15","https://i.scdn.co/image/ab67616d0000b273deea6f33cc7e6b4d2a4151c6","1","2","202409","https://p.scdn.co/mp3-preview/74397d29aa0db915c906da332e4c52ee2322c7ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","SE5BU1968487","spotify:user:isak.sjoholm.","2023-05-07T07:13:28Z","svensk pop","0.718","0.702","1","-6.845","0","0.0324","0.0184","0.0000127","0.388","0.357","103.934","4","","Tjooff","C 2019 Tjooff, P 2019 Tjooff"
"spotify:track:07l5IJqrY6ERJw7HNdnM0G","Hela världen är min","spotify:artist:6RJXSfbIkEMoCJ8GAg2dVO","Victor Leksell","spotify:album:2FD0zqU3iO8cwQkR2SEgMN","Hela världen är min","spotify:artist:6RJXSfbIkEMoCJ8GAg2dVO","Victor Leksell","2022-03-18","https://i.scdn.co/image/ab67616d0000b27326d13c56ce828046ec589e6f","1","1","186750","https://p.scdn.co/mp3-preview/5b31b6aecd825d531070d7fe612639bcc93a650b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","SE6TS2200101","spotify:user:isak.sjoholm.","2023-05-07T07:13:51Z","svensk pop","0.547","0.808","0","-5.354","1","0.0622","0.0114","0.00000106","0.145","0.489","159.974","4","","Sony Music Local","P (P) 2022 21:47 under exclusive license to Sony Music Entertainment Sweden AB"
