"Låtens URI","Låtens namn","Artistens URI","Artistens namn","Albumets URI","Albumets namn","Albumartistens URI","Albumartistens namn","Albumets releasedatum","Albumets bild-URL","Skivnummer","Låtnummer","Låtlängd (ms)","Förhandsgranskning URL","Explicit","Popularitet","ISRC","Tillagd av","Tillagd vid","Artistens genrer","Dansbarhet","Energi","Tonart","Ljudstyrka","Läge","Talighet","Akustik","Instrumentalhet","Livlighet","Valens","Tempo","Taktart","Albumets genrer","Skivbolag","Upphovsrätt"
"spotify:track:3USxtqRwSYz57Ewm6wWRMp","Heat Waves","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","spotify:album:5bfpRtBW7RNRdsm3tRyl3R","Dreamland","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","2020-08-07","https://i.scdn.co/image/ab67616d0000b273712701c5e263efc8726b1464","1","14","238805","https://p.scdn.co/mp3-preview/3ad42c65bc41d0845369a662a21d0c1e25df67fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","91","GBUM72000433","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:46Z","","0.761","0.525","11","-6.9","1","0.0944","0.44","0.0000067","0.0921","0.531","80.87","4","","Polydor Records","C © 2020 Wolf Tone Records, a division of Universal Music Operations Limited, P ℗ 2020 Wolf Tone Records, a division of Universal Music Operations Limited"
"spotify:track:5ri4zqtWhG07hIuNNDWP76","Fly Away","spotify:artist:2NjfBq1NflQcKSeiDooVjY","Tones And I","spotify:album:7jRjPcWQMYGtD6gPBDZiAq","Fly Away","spotify:artist:2NjfBq1NflQcKSeiDooVjY","Tones And I","2020-11-13","https://i.scdn.co/image/ab67616d0000b2738fb79948870fc9314eccac4b","1","1","178156","https://p.scdn.co/mp3-preview/5430925b8989dbb58c495ee5b15ca46dec7a7820?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USAT22006865","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:46Z","","0.806","0.513","4","-6.208","1","0.0685","0.217","0","0.217","0.503","124.988","4","","Elektra (NEK)","C under exclusive license to Elektra Records LLC for the World excluding Australia and New Zealand., © 2020 Bad Batch Records., P under exclusive license to Elektra Records LLC for the World excluding Australia and New Zealand., ℗ 2020 Bad Batch Records."
"spotify:track:0939D7aT18uBDS2MTjWzct","Higher Power","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:6wiPmk3powmcz3G7zr6krg","Higher Power","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2021-05-07","https://i.scdn.co/image/ab67616d0000b273b1092c02972b0bfd91703f75","1","1","211294","https://p.scdn.co/mp3-preview/09a956fc07f3872131639b8a118951381c680fa5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","GBAYE2100379","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:46Z","","0.507","0.828","10","-6.023","1","0.0449","0.00711","0.0000244","0.261","0.489","178.032","4","","Parlophone UK","C Under exclusive licence to Parlophone Records Limited., © 2021 Coldplay, P Under exclusive licence to Parlophone Records Limited, ℗ 2021 Coldplay"
"spotify:track:7bIq1v8svANsAys7I694Up","Heaven On My Mind (with Sigala)","spotify:artist:4EPJlUEBy49EX1wuFOvtjK, spotify:artist:1IueXOQyABrMOprrzwQJWN","Becky Hill, Sigala","spotify:album:7LOS5IWTamBcpqLTdLXFLm","Heaven On My Mind (with Sigala)","spotify:artist:4EPJlUEBy49EX1wuFOvtjK, spotify:artist:1IueXOQyABrMOprrzwQJWN","Becky Hill, Sigala","2020-06-25","https://i.scdn.co/image/ab67616d0000b2739a415eaf05857711147aa2f4","1","1","192573","https://p.scdn.co/mp3-preview/2c611711fc2fe94e92eef9c5977f18d060c8846f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","GBUM71906426","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:46Z","","0.71","0.891","0","-3.116","0","0.0749","0.0313","0","0.365","0.705","125.024","4","","Polydor Records","C © 2020 Universal Music Operations Limited, P ℗ 2020 Universal Music Operations Limited"
"spotify:track:3Be7CLdHZpyzsVijme39cW","What's Love Got to Do with It","spotify:artist:23fqKkggKUBHNkbKtXEls4, spotify:artist:1zuJe6b1roixEKMOtyrEak","Kygo, Tina Turner","spotify:album:1JFKchcdu3ewuhA5PIHWno","What's Love Got to Do with It","spotify:artist:23fqKkggKUBHNkbKtXEls4, spotify:artist:1zuJe6b1roixEKMOtyrEak","Kygo, Tina Turner","2020-07-17","https://i.scdn.co/image/ab67616d0000b273f0b43fee481f279a186dff20","1","1","208156","https://p.scdn.co/mp3-preview/d2d1873cc84aebfe16edca3116d45db5bf8207ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","SEBGA2000676","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:46Z","tropical house","0.75","0.664","8","-5.908","0","0.154","0.275","0","0.0632","0.617","105.023","4","","Kygo","P (P) 2020 Kygo AS under exclusive license to Sony Music International Ltd"
"spotify:track:0tFvZDDjgzoIrWaLykgvRa","I Love Your Smile","spotify:artist:69VkQLf4DH7GJ68BCDOPKL","Campsite Dream","spotify:album:0bQ6i9463hxM5YLIvzAYJ4","I Love Your Smile","spotify:artist:69VkQLf4DH7GJ68BCDOPKL","Campsite Dream","2020-04-24","https://i.scdn.co/image/ab67616d0000b27352fe68d7ab7fbfa679c2db42","1","1","134168","https://p.scdn.co/mp3-preview/416a76fa7183718773e66a1eaf7dd9613c0e6cae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","NLP762000082","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:46Z","tropical house","0.585","0.542","10","-9.379","0","0.0573","0.145","0.0126","0.105","0.294","104.904","4","","Epic Amsterdam","P (P) 2020 Epic Amsterdam, a division of Sony Music Entertainment Netherlands B.V."
"spotify:track:0AkQbXGN4KG34TS7xLrM68","Kiss You","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","spotify:album:5SxEsi1PNyo1XfEKDYcFKF","Take Me Home: Yearbook Edition","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","2012-11-09","https://i.scdn.co/image/ab67616d0000b27327f49bace8c5a33039bbaa11","1","2","182960","https://p.scdn.co/mp3-preview/e57752b7147ba7a7b3c6d21d185599b695999737?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","GBHMU1200214","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:46Z","","0.63","0.934","4","-2.559","1","0.0589","0.0186","0","0.324","0.905","89.992","4","","Syco Music UK","P (P) 2012 Simco Limited under exclusive licence to Sony Music Entertainment UK Limited"
"spotify:track:4S4Mfvv03M1cHgIOJcbUCL","In My Room","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:71VX8yv9T2hNIYVZJVUWVp","In My Room","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","2019-11-02","https://i.scdn.co/image/ab67616d0000b273db974f9533dd9b362891b5db","1","1","133680","https://p.scdn.co/mp3-preview/a23f4faaefc0b1105bd70e3e46189bcf930dcd42?cid=9950ac751e34487dbbe027c4fd7f8e99","true","73","QM24S1926435","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:46Z","","0.861","0.647","7","-7.425","1","0.0675","0.594","0.661","0.114","0.67","158.037","4","","Blonded","P 2019 Blonded"
"spotify:track:6TaqooOXAEcijL6G1AWS2K","All My Friends (feat. Tinashe & Chance the Rapper)","spotify:artist:2FwJwEswyIUAljqgjNSHgP, spotify:artist:0NIIxcxNHmOoyBx03SfTCD, spotify:artist:1anyVhU62p31KFi8MEzkbf","Snakehips, Tinashe, Chance the Rapper","spotify:album:5cOhR878H8hC3UsxYq5Xyv","All My Friends (feat. Tinashe & Chance the Rapper)","spotify:artist:2FwJwEswyIUAljqgjNSHgP, spotify:artist:0NIIxcxNHmOoyBx03SfTCD, spotify:artist:1anyVhU62p31KFi8MEzkbf","Snakehips, Tinashe, Chance the Rapper","2015-10-21","https://i.scdn.co/image/ab67616d0000b273b7c1b8d64563e06b4b0c7919","1","1","229746","https://p.scdn.co/mp3-preview/4b5496cee8c5d450f959b5415b0baff33f1a9b85?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","GBARL1501370","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:46Z","alternativ r&b","0.681","0.521","0","-5.849","1","0.141","0.12","0.0000841","0.108","0.181","94.997","4","","Hoffman West/Columbia","P (P) 2015 Sony Music Entertainment UK Limited"
"spotify:track:5Sf3GyLEAzJXxZ5mbCPXTu","Waves - Robin Schulz Radio Edit","spotify:artist:33W1pnW9zScZtYTnAoWnOT, spotify:artist:3t5xRXzsuZmMDkQzgOX35S","Mr. Probz, Robin Schulz","spotify:album:7l4LGPXk2mB80WgXy4VeuB","Waves (Robin Schulz Radio Edit)","spotify:artist:33W1pnW9zScZtYTnAoWnOT","Mr. Probz","2014-02-07","https://i.scdn.co/image/ab67616d0000b273067dfba04c23ce2887041fff","1","1","208133","https://p.scdn.co/mp3-preview/ee5dc27ee664202e03858af02c74bfed59adf037?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","NLB8R1400002","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:46Z","tropical house","0.829","0.51","5","-9.334","0","0.0369","0.00821","0.0014","0.0829","0.45","119.993","4","","Left Lane Recordings","P (P) 2014 Left Lane Recordings exclusively licensed to Ultra / Sony Music Entertainment Netherlands B.V."
