"Låtens URI","Låtens namn","Artistens URI","Artistens namn","Albumets URI","Albumets namn","Albumartistens URI","Albumartistens namn","Albumets releasedatum","Albumets bild-URL","Skivnummer","Låtnummer","Låtlängd (ms)","Förhandsgranskning URL","Explicit","Popularitet","ISRC","Tillagd av","Tillagd vid","Artistens genrer","Dansbarhet","Energi","Tonart","Ljudstyrka","Läge","Talighet","Akustik","Instrumentalhet","Livlighet","Valens","Tempo","Taktart","Albumets genrer","Skivbolag","Upphovsrätt"
"spotify:track:22L7bfCiAkJo5xGSQgmiIO","All Of The Lights","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:20r762YmB5HeofjMCiPMLv","My Beautiful Dark Twisted Fantasy","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2010-11-22","https://i.scdn.co/image/ab67616d0000b273d9194aa18fa4c9362b47464f","1","5","299613","https://p.scdn.co/mp3-preview/5225c99f6301a3fbe3bdd9f8af1579ad5416828c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USUM71027273","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:55Z","rap","0.531","0.803","1","-3.284","1","0.0717","0.0796","0.0000171","0.176","0.221","142.113","4","","Roc-A-Fella","C © 2010 UMG Recordings, Inc., P ℗ 2010 UMG Recordings, Inc."
"spotify:track:12PNcnMsjsZ3eHm62t8hiy","All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)","spotify:artist:0QHgL1lAIqAw0HtD7YldmP","DJ Khaled","spotify:album:1yX1ZzW6TBvQ1qeNpbiONH","Victory","spotify:artist:0QHgL1lAIqAw0HtD7YldmP","DJ Khaled","2010-03-02","https://i.scdn.co/image/ab67616d0000b2735de048eb9ca94916178afb20","1","2","232506","https://p.scdn.co/mp3-preview/0ff2ae5b44d752553e4289bb369153f06ff74ebd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","9","USKO11000176","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:55Z","","0.545","0.781","10","-3.616","1","0.185","0.0139","0","0.161","0.277","150.097","4","","eOne Music","C 2010 E1 Music, P 2010 E1 Music"
"spotify:track:2cY7WSxFIsZQaoDNJe7Fz3","Pass Out","spotify:artist:0Tob4H0FLtEONHU1MjpUEp","Tinie Tempah","spotify:album:6nuITL8EMJO1zncOwOeHRr","Disc-Overy","spotify:artist:0Tob4H0FLtEONHU1MjpUEp","Tinie Tempah","2010","https://i.scdn.co/image/ab67616d0000b273a26122ca30fd60e1e185f6c0","1","3","268053","https://p.scdn.co/mp3-preview/12e6ea687102559aa3e7689c6e3790ce4917a3bf?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","GB7TP0900004","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:55Z","grime","0.693","0.891","1","-3.261","1","0.296","0.0281","0","0.143","0.532","91.1","4","","Parlophone UK","C © 2010 Disturbing London Records Limited under exclusive licence to Parlophone Records Ltd. This label copy information is the subject of copyright protection. All rights reserved. (C) 2010 Parlophone Records Ltd, P ℗ 2010 The copyright in this sound recording is owned by Disturbing London Records Limited under exclusive licence to Parlophone Records Ltd"
"spotify:track:3SxiAdI8dP9AaaEz1Z24mn","Earthquake (feat. Tinie Tempah)","spotify:artist:2feDdbD5araYcm6JhFHHw7, spotify:artist:0Tob4H0FLtEONHU1MjpUEp","Labrinth, Tinie Tempah","spotify:album:6PBBbXmYV7dKnaik0fjkOI","Electronic Earth (Expanded Edition)","spotify:artist:2feDdbD5araYcm6JhFHHw7","Labrinth","2012-04-02","https://i.scdn.co/image/ab67616d0000b273d9370e27abe3de676c56873a","1","2","274600","https://p.scdn.co/mp3-preview/14db5f399f9cea32035a2ebbd780e6cde146606d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","GBHMU1100027","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:55Z","grime","0.54","0.856","0","-3.966","0","0.1","0.109","0","0.276","0.258","153.071","4","","Syco Music UK","P (P) 2012 Simco Limited under exclusive license to Sony Music Entertainment UK Limited"
"spotify:track:63bsPe8aayiERVIgTV9EBS","Heatwave (feat. Ms. D)","spotify:artist:7k9T7lZlHjRAM1bb0r9Rm3, spotify:artist:4H1PNuHElBLVok0lnYMrRb","Wiley, Dyo","spotify:album:7G0kWbJcGHJYNt9rBfq0Wl","The Ascent","spotify:artist:7k9T7lZlHjRAM1bb0r9Rm3","Wiley","2013-03-29","https://i.scdn.co/image/ab67616d0000b27355347dbf7a103f75d6398cdc","1","7","195000","https://p.scdn.co/mp3-preview/9bbd25b0966b40b6684336a4c4c9904137a9429b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","GBAHT1200240","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:55Z","grime,brittisk grime","0.644","0.863","5","-5.404","1","0.318","0.109","0","0.109","0.642","129.275","4","","Atlantic Records UK","C © 2013 Richard Cowie under exclusive licence to One More Tune / Warner Music UK Limited, P ℗ 2013 except tracks 7 & 10 (p) 2012 Richard Cowie under exclusive licence to One More Tune / Warner Music UK Limited"
"spotify:track:2SSYLcSiT7oImgsS8cPyQu","Hot Right Now (feat. RITA ORA) - Radio Edit","spotify:artist:6r20qOqY7qDWI0PPTxVMlC, spotify:artist:5CCwRZC6euC8Odo6y9X8jr","DJ Fresh, Rita Ora","spotify:album:5IqZHG6yO5SL6biWicPG3Y","Nextlevelism","spotify:artist:6r20qOqY7qDWI0PPTxVMlC","DJ Fresh","2012-09-28","https://i.scdn.co/image/ab67616d0000b273f36e1963b8fdcd13c531235b","1","2","182333","https://p.scdn.co/mp3-preview/29d78cc4f453d895e88ac5e748aa071423edc25c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GBCEN1102199","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:55Z","drum and bass","0.524","0.972","4","-1.569","0","0.0431","0.00656","0.00058","0.224","0.476","175.017","4","","Ministry of Sound Recordings","P (P) 2012 Ministry of Sound Recordings Limited"
"spotify:track:0GiwV6v3AgJfdu59tj719Y","Pump It Up","spotify:artist:6F3vLfyutkUhpM50G84eMt","Endor","spotify:album:3D8C4a5lYbpEu5bPQmOpJj","Pump It Up","spotify:artist:6F3vLfyutkUhpM50G84eMt","Endor","2019-09-13","https://i.scdn.co/image/ab67616d0000b2732fe961e04f6b1687728e806d","1","1","150635","https://p.scdn.co/mp3-preview/cfef87064b2c6539392c464040beac3cffa6c732?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","GBCPZ1916610","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:55Z","","0.899","0.894","1","-7.255","1","0.222","0.203","0.0000995","0.0606","0.654","129.047","4","","Defected Records","C 2019 Defected Records Limited, P 2019 Defected Records Limited"
"spotify:track:3WGJSY8JaGliVIJyMig5aS","1999","spotify:artist:25uiPmTg16RbhZWAqwLBy5, spotify:artist:3WGpXCj9YhhfX11TToZcXP","Charli xcx, Troye Sivan","spotify:album:386IqvSuljaZsMjwDGGdLj","Charli","spotify:artist:25uiPmTg16RbhZWAqwLBy5","Charli xcx","2019-09-13","https://i.scdn.co/image/ab67616d0000b273818f800f9edff81aeadc9a86","1","4","189200","https://p.scdn.co/mp3-preview/1a98b881f59c8857db365b004c5c34e9edfe8b56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","GBAHS1800662","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:55Z","hyperpop,konstpop","0.745","0.728","7","-4.686","1","0.034","0.0183","0.0000015","0.14","0.625","124.016","4","","Asylum","C © 2019 Asylum Records UK, a division of Atlantic Records UK. A Warner Music Group Company., P ℗ 2019 An Asylum Records UK release, a division of Atlantic Records UK ℗ 2019 Warner Music UK Limited, with the exception of track 4 (P) 2018"
"spotify:track:3bidbhpOYeV4knp8AIu8Xn","Can't Hold Us (feat. Ray Dalton)","spotify:artist:3JhNCzhSMTxs9WLGJJxWOY, spotify:artist:4myTppRgh0rojLxx8RycOp, spotify:artist:6WLvgbfYXQPO396oJEYCsi, spotify:artist:4e0nWw2r4BoQSKPQ2zpU13","Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton","spotify:album:76FXHQhTuT4QMIxfL09gX8","The Heist","spotify:artist:6WLvgbfYXQPO396oJEYCsi, spotify:artist:3JhNCzhSMTxs9WLGJJxWOY, spotify:artist:4myTppRgh0rojLxx8RycOp","Macklemore & Ryan Lewis, Macklemore, Ryan Lewis","2012-10-09","https://i.scdn.co/image/ab67616d0000b27398a02fef3a8b1d80a0f164ec","1","2","258342","https://p.scdn.co/mp3-preview/989bcb16f82e4cfcbfebdf8cf0dd91abe86c84d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","GMM881200021","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:55Z","","0.641","0.922","2","-4.457","1","0.0786","0.0291","0","0.0862","0.847","146.078","4","","Macklemore","C © 2012 Macklemore, LLC., P ℗ 2012 Macklemore, LLC."
"spotify:track:4wkQmYpAaMe41Rc3sYZ7Vz","Let's Go (feat. Ne-Yo)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:21E3waRsmPlU7jZsS13rcj","Calvin Harris, Ne-Yo","spotify:album:7w19PFbxAjwZ7UVNp9z0uT","18 Months","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2012-10-29","https://i.scdn.co/image/ab67616d0000b273dcef905cb144d4867119850b","1","13","232800","https://p.scdn.co/mp3-preview/9ba7ffe661762e87f9ccf4e0b3917f2c5cb97865?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","GBARL1200331","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:55Z","edm","0.71","0.882","4","-2.932","0","0.0595","0.00777","0.00771","0.294","0.875","128.016","4","","Columbia","P (P) 2012 Sony Music Entertainment UK Limited"
"spotify:track:70cTMpcgWMcR18t9MRJFjB","I Gotta Feeling","spotify:artist:1yxSLGMDHlW21z4YXirZDS","Black Eyed Peas","spotify:album:5lNzygOpCmzRx4N301icBB","THE E.N.D. (THE ENERGY NEVER DIES) [International Version]","spotify:artist:1yxSLGMDHlW21z4YXirZDS","Black Eyed Peas","2009-01-01","https://i.scdn.co/image/ab67616d0000b27349ed7a0ea23c40c730f6bb37","1","5","289133","https://p.scdn.co/mp3-preview/b3398fc473e546c85e965482e7b908342c46b7b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","USUM70965169","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2022-07-27T10:41:55Z","","0.743","0.766","0","-6.375","1","0.0265","0.0873","0","0.509","0.61","127.96","4","","Universal Music Group","C © 2009 Interscope Records, P ℗ 2009 Interscope Records"
