"Låtens URI","Låtens namn","Artistens URI","Artistens namn","Albumets URI","Albumets namn","Albumartistens URI","Albumartistens namn","Albumets releasedatum","Albumets bild-URL","Skivnummer","Låtnummer","Låtlängd (ms)","Förhandsgranskning URL","Explicit","Popularitet","ISRC","Tillagd av","Tillagd vid","Artistens genrer","Dansbarhet","Energi","Tonart","Ljudstyrka","Läge","Talighet","Akustik","Instrumentalhet","Livlighet","Valens","Tempo","Taktart","Albumets genrer","Skivbolag","Upphovsrätt"
"spotify:track:2gZUPNdnz5Y45eiGxpHGSc","POWER","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:20r762YmB5HeofjMCiPMLv","My Beautiful Dark Twisted Fantasy","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2010-11-22","https://i.scdn.co/image/ab67616d0000b273d9194aa18fa4c9362b47464f","1","3","292093","https://p.scdn.co/mp3-preview/0d5423c5f4d41582149e1ebcf13279964fa76428?cid=9950ac751e34487dbbe027c4fd7f8e99","true","80","USUM71018220","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:49Z","rap","0.542","0.914","0","-4.747","0","0.113","0.0161","0","0.744","0.576","153.993","4","","Roc-A-Fella","C © 2010 UMG Recordings, Inc., P ℗ 2010 UMG Recordings, Inc."
"spotify:track:4lhqb6JvbHId48OUJGwymk","Hey Brother","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","spotify:album:2H6i2CrWgXE1HookLu8Au0","True","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","2013-09-16","https://i.scdn.co/image/ab67616d0000b273e14f11f796cef9f9a82691a7","1","3","255093","https://p.scdn.co/mp3-preview/b0f7ab0efb90d7df8535784a2187034e70d0ab24?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","CH3131340084","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:49Z","edm","0.545","0.78","7","-4.867","0","0.0436","0.0309","0.0000464","0.0828","0.458","125.014","4","","Universal Music AB","C © 2013 Avicii Music AB, / PRMD under exclusive license to Universal Music AB, P ℗ 2013 Avicii Music AB, / PRMD under exclusive license to Universal Music AB"
"spotify:track:02M6vucOvmRfMxTXDUwRXu","7/11","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","spotify:album:2UJwKSBUz6rtW4QLK74kQu","BEYONCÉ [Platinum Edition]","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","2014-11-24","https://i.scdn.co/image/ab67616d0000b2730d1d6e9325275f104f8e33f3","2","1","213506","https://p.scdn.co/mp3-preview/eb76eac05516f263448d9f03a347d126a394f2ca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USSM11408532","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:49Z","","0.747","0.705","9","-5.137","0","0.126","0.0128","0","0.126","0.56","136.024","4","","Parkwood Entertainment/Columbia","P (P) 2013 Columbia Records, a Division of Sony Music Entertainment/(P) 2014 Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:0VffaI2jwQknRrxpECYHsF","Greyhound","spotify:artist:1h6Cn3P4NGzXbaXidqURXs","Swedish House Mafia","spotify:album:4ljisoNarj0BpQSMIEv88L","Until Now","spotify:artist:1h6Cn3P4NGzXbaXidqURXs","Swedish House Mafia","2012-01-01","https://i.scdn.co/image/ab67616d0000b273781f6dd5abe91929df0314e3","1","1","410096","https://p.scdn.co/mp3-preview/8fcbe15843eb3aa1517f7692a5016c0987dc4cb6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","GBAAA1200389","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:49Z","edm","0.723","0.806","0","-4.989","1","0.0521","0.00666","0.876","0.276","0.539","124.976","4","","Virgin Records","C © 2012 EMI Records Ltd, P ℗ 2012 EMI Records Ltd"
"spotify:track:5kcE7pp02ezLZaUbbMv3Iq","Pound The Alarm","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","spotify:album:6fABwONLawdFjkDpLx41j8","Pink Friday ... Roman Reloaded (Deluxe)","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2012-01-01","https://i.scdn.co/image/ab67616d0000b2734f0aae4e435a794e0e24d115","1","11","205640","https://p.scdn.co/mp3-preview/a450c0fd2fd121b8c9c0da24b54e596dba445e8b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","USCM51200111","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:49Z","","0.728","0.858","9","-3.686","1","0.0609","0.0403","0.00000409","0.0241","0.591","125.055","4","","Nicki Minaj/Cash Money","C © 2012 Cash Money Records Inc., P ℗ 2012 Cash Money Records Inc."
"spotify:track:38pnSnvIxe1MhQlFVdZFBW","Give Me Your Hand (Best Song Ever)","spotify:artist:2eRJjYEaWyGZbOBGYFLBoC","The Ready Set","spotify:album:7ITfB0xmBHgzkQLzUOPIpH","The Bad & The Better","spotify:artist:2eRJjYEaWyGZbOBGYFLBoC","The Ready Set","2014-05-27","https://i.scdn.co/image/ab67616d0000b273c3c9fee413957e6c0aba178c","1","11","228106","https://p.scdn.co/mp3-preview/a4b77d9b5dad9773bdab03c6a6b11ea4e40441ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USRZR1458011","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:49Z","","0.69","0.846","6","-4.687","1","0.0476","0.0392","0","0.793","0.893","126.029","4","","Razor & Tie","C © 2014 Razor & Tie Recordings., Marketed by Razor & Tie Recordings. Distributed by Concord Music Group, Inc., P ℗ 2014 Razor & Tie Recordings., Marketed by Razor & Tie Recordings. Distributed by Concord Music Group, Inc."
"spotify:track:590ZheHFaC3JsZBwL8otpk","So Good","spotify:artist:5ndkK3dpZLKtBklKjxNQwT","B.o.B","spotify:album:6veu3unRO88zn1XzIt0OeS","Strange Clouds","spotify:artist:5ndkK3dpZLKtBklKjxNQwT","B.o.B","2012-05-01","https://i.scdn.co/image/ab67616d0000b2737fd5d48c3c2765e2dcf90692","1","6","210280","https://p.scdn.co/mp3-preview/8658dd3cea34ac407c0b43212a447c60c03e1e8b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USAT21200255","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:49Z","","0.585","0.896","0","-4.902","1","0.262","0.0348","0","0.225","0.599","170.946","4","","Atlantic Records","C © 2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States, P ℗ 2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States"
"spotify:track:3y3brCCecHC3Db18aIOnny","Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")","spotify:artist:23fqKkggKUBHNkbKtXEls4, spotify:artist:5CCwRZC6euC8Odo6y9X8jr","Kygo, Rita Ora","spotify:album:1Z7WbPmn7QFoJ2DrNfEehz","Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")","spotify:artist:23fqKkggKUBHNkbKtXEls4, spotify:artist:5CCwRZC6euC8Odo6y9X8jr","Kygo, Rita Ora","2019-04-19","https://i.scdn.co/image/ab67616d0000b2735c13911ce0c8e0b65c341a4c","1","1","215315","https://p.scdn.co/mp3-preview/602c2151b36320f44255d18dc045a7de5af0ab59?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USRC11900838","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:49Z","tropical house","0.591","0.705","9","-6.519","0","0.079","0.381","0.000116","0.131","0.27","121.799","4","","Palm Tree Records/RCA Records","P (P) 2019 RCA Records, a division of Sony Music Entertainment"
"spotify:track:0ZFzV813vzKHfEYWX9gIeE","I Wanna Dance With Somebody (Who Loves Me)","spotify:artist:04m3oUGzjO3EJTQidFzTgM","Nora Van Elken","spotify:album:2IE2txqJnXeZhVMiQmemKP","I Wanna Dance With Somebody (Who Loves Me)","spotify:artist:04m3oUGzjO3EJTQidFzTgM","Nora Van Elken","2020-05-22","https://i.scdn.co/image/ab67616d0000b273a84e6fc636eaf768129dfbc0","1","1","152476","https://p.scdn.co/mp3-preview/7c6cf088ac8c878da53dbfa326608dfeaeeb2239?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","QZES72021254","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:49Z","tropical house","0.804","0.82","6","-5.375","1","0.0408","0.398","0.0624","0.0992","0.564","117.99","4","","Eternal Nights","C 2020 Eternal Nights, P 2020 Eternal Nights"
"spotify:track:2ygMBIctKIAfbEBcT9065L","Pump It","spotify:artist:1yxSLGMDHlW21z4YXirZDS","Black Eyed Peas","spotify:album:6VsJamdhvYKcnpwHAKULI0","Monkey Business","spotify:artist:1yxSLGMDHlW21z4YXirZDS","Black Eyed Peas","2005-01-01","https://i.scdn.co/image/ab67616d0000b273c6710b4a52539506c30e5354","1","1","213066","https://p.scdn.co/mp3-preview/c3aa3b2a8c6451a3ce6c20084cca89799722db46?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","USIR10500407","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:49Z","","0.648","0.931","1","-3.15","0","0.181","0.00937","0","0.752","0.744","153.649","4","","Interscope","C © 2005 Interscope Records, P ℗ 2005 Interscope Records"
