"Låtens URI","Låtens namn","Artistens URI","Artistens namn","Albumets URI","Albumets namn","Albumartistens URI","Albumartistens namn","Albumets releasedatum","Albumets bild-URL","Skivnummer","Låtnummer","Låtlängd (ms)","Förhandsgranskning URL","Explicit","Popularitet","ISRC","Tillagd av","Tillagd vid","Artistens genrer","Dansbarhet","Energi","Tonart","Ljudstyrka","Läge","Talighet","Akustik","Instrumentalhet","Livlighet","Valens","Tempo","Taktart","Albumets genrer","Skivbolag","Upphovsrätt"
"spotify:track:2Wo6QQD1KMDWeFkkjLqwx5","Roses - Imanbek Remix","spotify:artist:0H39MdGGX6dbnnQPt6NQkZ, spotify:artist:5rGrDvrLOV2VV8SCFVGWlj","SAINt JHN, Imanbek","spotify:album:6XcYTEonLIpg9NpAbJnqrC","Roses (Imanbek Remix)","spotify:artist:0H39MdGGX6dbnnQPt6NQkZ, spotify:artist:5rGrDvrLOV2VV8SCFVGWlj","SAINt JHN, Imanbek","2019-09-13","https://i.scdn.co/image/ab67616d0000b27369450869a3ffaf23bc3898bf","1","1","176218","https://p.scdn.co/mp3-preview/577cd73a377297f9b7fa57d809cd270dfce8513f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","11","RUB421901499","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:52Z","slap house","0.785","0.721","8","-5.457","1","0.0506","0.0149","0.00432","0.285","0.894","121.962","4","","HITCO","C © 2019 Godd Complexx / HITCO, P ℗ 2019 Godd Complexx / HITCO"
"spotify:track:0siYMEsGrzzzlWLXK5zJfS","BED","spotify:artist:6DgP9otnZw5z6daOntINxp, spotify:artist:5KKpBU5eC2tJDzf0wmlRp2, spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai","Joel Corry, RAYE, David Guetta","spotify:album:36tML2tWjDrbLW4FgrX17U","BED","spotify:artist:6DgP9otnZw5z6daOntINxp, spotify:artist:5KKpBU5eC2tJDzf0wmlRp2, spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai","Joel Corry, RAYE, David Guetta","2021-02-26","https://i.scdn.co/image/ab67616d0000b273b06c09b9f72389ee7f1cbd6b","1","1","178087","https://p.scdn.co/mp3-preview/94fe8be6130e62c1cc2b792605f5a9001c9aa587?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","UK4ZF2100069","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:52Z","danspop,edm,dance","0.671","0.782","6","-4.593","1","0.0341","0.0142","0.00221","0.333","0.618","123.989","4","","Perfect Havoc / Asylum Records","C Under exclusive licence to Asylum Records UK, a division of Warner Music UK Limited, © 2021 Perfect Havoc Limited, P Under exclusive licence to Asylum Records UK, a division of Warner Music UK Limited, ℗ 2021 Perfect Havoc Limited"
"spotify:track:5HCyWlXZPP0y6Gqq8TgA20","STAY (with Justin Bieber)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J, spotify:artist:1uNFoZAHBGtllmzznpCI3s","The Kid LAROI, Justin Bieber","spotify:album:4QLAtpLNUsHEYrcHXmMIZZ","STAY (with Justin Bieber)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J, spotify:artist:1uNFoZAHBGtllmzznpCI3s","The Kid LAROI, Justin Bieber","2021-07-09","https://i.scdn.co/image/ab67616d0000b27341e31d6ea1d493dd77933ee5","1","1","141805","https://p.scdn.co/mp3-preview/718a2eb032524494a01f73d80af2bcf176c9f3e2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","83","USSM12103949","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:52Z","","0.591","0.764","1","-5.484","1","0.0483","0.0383","0","0.103","0.478","169.928","4","","Columbia","P (P) 2021 Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:1nYeVF5vIBxMxfPoL0SIWg","Hallucinate","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","spotify:album:7fJJK56U9fHixgO0HQkhtI","Future Nostalgia","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","2020-03-27","https://i.scdn.co/image/ab67616d0000b2734bc66095f8a70bc4e6593f4f","1","7","208505","https://p.scdn.co/mp3-preview/e5d69bcaad84fea949e66e8c7cb46017ad8b34ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBAHT1901301","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:52Z","pop","0.627","0.69","10","-5.396","0","0.139","0.033","0","0.0742","0.627","122.053","4","","Warner Records","C © 2020 Dua Lipa Limited under exclusive license to Warner Records UK, a division of Warner Music UK Limited, P ℗ 2020 Dua Lipa Limited under exclusive license to Warner Records UK, a division of Warner Music UK Limited, with the exception of track 1 & 2 2019 Dua Lipa Limited under exclusive license to Warner Records UK, a division of Warner Music UK Limited"
"spotify:track:0csz09qS2n8Jo7LogHKu7j","Tondo","spotify:artist:6nS5roXSAGhTGr34W6n7Et, spotify:artist:7hs75D38FalYWr7BDO1WPh","Disclosure, Eko Roosevelt","spotify:album:6wp1us3xBnYz5qldxrZXRf","ENERGY (Deluxe)","spotify:artist:6nS5roXSAGhTGr34W6n7Et","Disclosure","2020-08-28","https://i.scdn.co/image/ab67616d0000b273355bf68fa788b6d401195b43","2","2","329280","https://p.scdn.co/mp3-preview/5594e27ed44af86c720ed4ec2c47a7ada8071549?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","GBUM72000253","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:52Z","house","0.675","0.92","0","-7.153","0","0.0539","0.0126","0.117","0.329","0.842","132.001","4","","Universal-Island Records Ltd.","C © 2020 Island Records, a division of Universal Music Operations Limited, P ℗ 2020 Island Records, a division of Universal Music Operations Limited"
"spotify:track:4cG7HUWYHBV6R6tHn1gxrl","Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit","spotify:artist:7i9j813KFoSBMldGqlh2Z1, spotify:artist:1gALaWbNDnwS2ECV09sn2A, spotify:artist:4L2dV3zY7RmkeiNO035Fi0, spotify:artist:23rdR5gsZI5BqncTEKLtDU, spotify:artist:3Edve4VIATi0OZngclQlkN","Riton, Nightcrawlers, Mufasa & Hypeman, Mufasa, Dopamine","spotify:album:39qsmsNRXjVaFqTZj9af0j","Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit]","spotify:artist:7i9j813KFoSBMldGqlh2Z1, spotify:artist:1gALaWbNDnwS2ECV09sn2A, spotify:artist:4L2dV3zY7RmkeiNO035Fi0","Riton, Nightcrawlers, Mufasa & Hypeman","2021-01-15","https://i.scdn.co/image/ab67616d0000b273815cb538fd7821595b2bc8c5","1","1","169153","https://p.scdn.co/mp3-preview/0a9ed687dddcd95c83e37099958bdc6d54430e4d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","GBCEN2000163","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:52Z","house","0.824","0.862","2","-3.424","1","0.126","0.0076","0.000132","0.303","0.801","122.98","4","","Ministry of Sound Recordings","P (P) 2021 Ministry of Sound Recordings Limited"
"spotify:track:2ZEq4HT450Ye9IFGPTl9qV","Lonely","spotify:artist:6DgP9otnZw5z6daOntINxp","Joel Corry","spotify:album:3zxRCukRL1NQC4vo7ipUet","Lonely","spotify:artist:6DgP9otnZw5z6daOntINxp","Joel Corry","2020-01-24","https://i.scdn.co/image/ab67616d0000b27370f6dff324c2ab24e40972be","1","1","190955","https://p.scdn.co/mp3-preview/2e7ca79a33ea7c3766adf2102a3cb6d4d6b3a71a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","UK4ZF2000040","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:52Z","danspop","0.697","0.921","5","-4.283","1","0.0424","0.0946","0.000019","0.159","0.722","123.988","4","","Atlantic Records UK","C © 2020 Perfect Havoc Limited under exclusive licence to Asylum Records UK, a division of Warner Music UK Limited., P ℗ 2020 Perfect Havoc Limited under exclusive licence to Asylum Records UK, a division of Warner Music UK Limited."
"spotify:track:6cx06DFPPHchuUAcTxznu9","Head & Heart (feat. MNEK)","spotify:artist:6DgP9otnZw5z6daOntINxp, spotify:artist:7uMh23xWiuR7zsNkuNcm2G","Joel Corry, MNEK","spotify:album:5glfCPECXSHzidU6exW8wO","Head & Heart (feat. MNEK)","spotify:artist:6DgP9otnZw5z6daOntINxp, spotify:artist:7uMh23xWiuR7zsNkuNcm2G","Joel Corry, MNEK","2020-07-03","https://i.scdn.co/image/ab67616d0000b27391e93c59bacfe819db9601eb","1","1","166028","https://p.scdn.co/mp3-preview/3938e09213235a9c38dc190ec5e72024c5edf746?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","UK4ZF2000305","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:52Z","danspop","0.734","0.874","8","-3.158","1","0.0662","0.168","0.0000114","0.0489","0.905","122.953","4","","Atlantic Records UK","C © 2020 Perfect Havoc Limited, P under exclusive licence to Warner Music UK Limited, an Asylum Records UK release, ℗ 2020 Perfect Havoc Limited."
"spotify:track:0k2GOhqsrxDTAbFFSdNJjT","Temperature","spotify:artist:3Isy6kedDrgPYoTS1dazA9","Sean Paul","spotify:album:32Bu3ETQhR1PFCj3ndDlYf","The Trinity","spotify:artist:3Isy6kedDrgPYoTS1dazA9","Sean Paul","2005-09-27","https://i.scdn.co/image/ab67616d0000b273d98221377ef3b1a7ad0a5d33","1","11","216320","https://p.scdn.co/mp3-preview/c697afd9e7317c75b5ffef0aba70405a250212ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","USAT20505520","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:52Z","dancehall","0.951","0.6","0","-4.675","0","0.0685","0.106","0","0.0712","0.822","125.04","4","","VP Records","C © 2005 VP Records, a division of VP Music Group, Inc., P ℗ 2005 VP Records, a division of VP Music Group, Inc."
"spotify:track:58q2HKrzhC3ozto2nDdN4z","I Like It","spotify:artist:4kYSro6naA4h99UJvo89HB, spotify:artist:4q3ewBCX7sLwd24euuV69X, spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5","Cardi B, Bad Bunny, J Balvin","spotify:album:4KdtEKjY3Gi0mKiSdy96ML","Invasion of Privacy","spotify:artist:4kYSro6naA4h99UJvo89HB","Cardi B","2018-04-06","https://i.scdn.co/image/ab67616d0000b273a0caffda54afd0a65995bbab","1","7","253390","https://p.scdn.co/mp3-preview/0fe3542d88da43dd131627df756ac1ce318713fd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USAT21801431","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:52Z","reggaeton,latinamerikansk trap,urbano latino,latino,reggaeton,latino","0.816","0.726","5","-3.998","0","0.129","0.099","0","0.372","0.65","136.048","4","","Atlantic/KSR","C © 2018 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company, P ℗ 2018 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company"
