"Låtens URI","Låtens namn","Artistens URI","Artistens namn","Albumets URI","Albumets namn","Albumartistens URI","Albumartistens namn","Albumets releasedatum","Albumets bild-URL","Skivnummer","Låtnummer","Låtlängd (ms)","Förhandsgranskning URL","Explicit","Popularitet","ISRC","Tillagd av","Tillagd vid","Artistens genrer","Dansbarhet","Energi","Tonart","Ljudstyrka","Läge","Talighet","Akustik","Instrumentalhet","Livlighet","Valens","Tempo","Taktart","Albumets genrer","Skivbolag","Upphovsrätt"
"spotify:track:6KgBpzTuTRPebChN0VTyzV","Good as Hell","spotify:artist:56oDRnqbIiwx4mymNEv7dS","Lizzo","spotify:album:7hBV0wo7cDHZQLYnuOJ312","Cuz I Love You (Super Deluxe)","spotify:artist:56oDRnqbIiwx4mymNEv7dS","Lizzo","2019-04-17","https://i.scdn.co/image/ab67616d0000b273bf7d271b8f3051af3cf0bf55","1","15","159735","https://p.scdn.co/mp3-preview/eff7853a768016bf8dbfbd33436a43393fef2d0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USAT21600354","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-10-08T11:27:41Z","","0.682","0.919","0","-3.18","0","0.0875","0.256","0","0.442","0.535","95.982","4","","Nice Life/Atlantic","C © 2019 Nice Life Recording Company and Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States., P ℗ 2019 Nice Life Recording Company and Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States."
"spotify:track:4TVuirwgzxe9fWRBoWtPpq","Firework","spotify:artist:6jJ0s89eD6GaHleKKya26X","Katy Perry","spotify:album:6xfXgolXzcKzk77P3b3MeZ","Teenage Dream","spotify:artist:6jJ0s89eD6GaHleKKya26X","Katy Perry","2010-01-01","https://i.scdn.co/image/ab67616d0000b273cad6c17cb5ac86ae94faf284","1","4","227893","https://p.scdn.co/mp3-preview/f5452ebf843f4c126eacc038fbfdc9502bf0a9b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USCA21001262","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-10-08T11:27:51Z","pop","0.638","0.831","8","-5.039","1","0.049","0.142","0","0.113","0.649","124.071","4","","Capitol Records","C © 2010 Capitol Records, LLC, P ℗ 2010 Capitol Records, LLC"
"spotify:track:0GjEhVFGZW8afUYGChu3Rr","Dancing Queen","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:1V6a99EbTTIegOhWoPxYI9","Arrival","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1976","https://i.scdn.co/image/ab67616d0000b27370f7a1b35d5165c85b95a0e0","1","2","230400","https://p.scdn.co/mp3-preview/1116076e3d1538852d6605ada1fd7130c8fc75a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","88","SEAYD7601020","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-10-08T11:28:28Z","","0.543","0.87","9","-6.514","1","0.0428","0.358","0.000939","0.792","0.754","100.804","4","","Polar Music International AB","C © 2001 Polar Music International AB, P This Compilation ℗ 2001 Polar Music International AB"
"spotify:track:3vkQ5DAB1qQMYO4Mr9zJN6","Gimme! Gimme! Gimme! (A Man After Midnight)","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:7iLuHJkrb9KHPkMgddYigh","Voulez-Vous","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1979","https://i.scdn.co/image/ab67616d0000b273aa22899360d8ba6704732dec","1","13","292613","https://p.scdn.co/mp3-preview/02603b1ac0f95d780cdda0f09ed9c19cdb53089f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","SEAYD7901120","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-10-08T11:28:21Z","","0.749","0.491","10","-9.655","1","0.0403","0.02","0.00899","0.159","0.536","119.528","4","","Polar Music International AB","C © 2001 Polar Music International AB, P This Compilation ℗ 2001 Polar Music International AB"
"spotify:track:0k664IuFwVP557Gnx7RhIl","Juice","spotify:artist:56oDRnqbIiwx4mymNEv7dS","Lizzo","spotify:album:6dFFcYQ8VhifgdKgYY5LYL","Cuz I Love You","spotify:artist:56oDRnqbIiwx4mymNEv7dS","Lizzo","2019-04-19","https://i.scdn.co/image/ab67616d0000b27306af802e2ea241b6ba1ce0f2","1","3","195144","https://p.scdn.co/mp3-preview/9d08e206a50a1de2d643394a4a83cbc4082d659c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","USAT21813044","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-10-08T11:27:47Z","","0.767","0.889","7","-2.988","1","0.0963","0.00611","0","0.402","0.843","119.93","4","","Nice Life/Atlantic","C © 2019 Nice Life Recording Company and Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States., P ℗ 2019 Nice Life Recording Company and Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States."
"spotify:track:1q9l6c8bAzqWcvO3DM6FsR","I Don't Feel Like Dancin'","spotify:artist:3Y10boYzeuFCJ4Qgp53w6o","Scissor Sisters","spotify:album:4XtSI3PBZ0vDD9J6cNRcNX","Ta-Dah","spotify:artist:3Y10boYzeuFCJ4Qgp53w6o","Scissor Sisters","2006-01-01","https://i.scdn.co/image/ab67616d0000b27381625c8c1368106d3ac464ed","1","1","288360","https://p.scdn.co/mp3-preview/7274625f2939fc55706c8a459221d7cb27148082?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBUM70602587","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-10-08T11:27:59Z","","0.707","0.923","7","-3.409","1","0.0276","0.0195","0","0.342","0.845","108.023","4","","Polydor Records","C © 2006 Polydor Ltd. (UK), P ℗ 2006 Polydor Ltd. (UK)"
"spotify:track:6e3y6sczcHWehxZo528OZ7","Don't Stop Me Now","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","spotify:album:4YQIURZv1chjM0LLcC370A","Hairy Bikers Roadtrip","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Blandade Artister","2019-11-01","https://i.scdn.co/image/ab67616d0000b2730c9b61e79200aff6916dedb0","1","1","210600","https://p.scdn.co/mp3-preview/857030fc088d0d4f72f7795b260bb052d20f7146?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBCEG7800014","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-10-08T11:28:33Z","klassisk rock,rock,glamrock","0.556","0.767","5","-9.439","1","0.162","0.0558","0.00109","0.59","0.65","156.519","4","","UMOD (Universal Music On Demand)","C © 2019 Universal Music Operations Limited, P This Compilation ℗ 2019 Universal Music Operations Limited"
"spotify:track:1jDJFeK9x3OZboIAHsY9k2","I'm Still Standing","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","spotify:album:0OmYuz9hwn1XoqmDaU0yJ7","Too Low For Zero","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","1983-05-30","https://i.scdn.co/image/ab67616d0000b273eb11e2abccdca41f39ad3b89","1","2","183440","https://p.scdn.co/mp3-preview/e7eba4bb4727485ae61cbdf0465de20d904d2fc3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","GBALX8300190","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-10-08T11:29:14Z","","0.505","0.904","6","-6.863","1","0.179","0.355","0.118","0.14","0.773","176.811","4","","EMI","C © 1998 Mercury Records Limited, P ℗ 1998 Mercury Records Limited"
"spotify:track:4pxfRRSEn8EfgZWcN3IgL8","Walking on Sunshine - 2004 Version","spotify:artist:2TzHIUhVpeeDxyJPpQfnV3","Katrina & The Waves","spotify:album:6uzp7pmYhegci3YNO8n7XB","Walking on Sunshine (2004 Version)","spotify:artist:2TzHIUhVpeeDxyJPpQfnV3","Katrina & The Waves","2004-01-01","https://i.scdn.co/image/ab67616d0000b273b05cdfc92dabafce7d6aed28","1","1","216000","https://p.scdn.co/mp3-preview/5be764c882b5d76167424250886000000de6f1d5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","GBDNM0900071","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-10-08T11:29:25Z","","0.595","0.943","10","-7.255","1","0.0507","0.00111","0.288","0.223","0.961","109.014","4","","Kyboside Limited, a BMG Compny","C © 2009 BMG Rights Management (UK) Ltd., P ℗ 2009 Kyboside Limited, a BMG company"
"spotify:track:70cTMpcgWMcR18t9MRJFjB","I Gotta Feeling","spotify:artist:1yxSLGMDHlW21z4YXirZDS","Black Eyed Peas","spotify:album:5lNzygOpCmzRx4N301icBB","THE E.N.D. (THE ENERGY NEVER DIES) [International Version]","spotify:artist:1yxSLGMDHlW21z4YXirZDS","Black Eyed Peas","2009-01-01","https://i.scdn.co/image/ab67616d0000b27349ed7a0ea23c40c730f6bb37","1","5","289133","https://p.scdn.co/mp3-preview/b3398fc473e546c85e965482e7b908342c46b7b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","USUM70965169","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-10-08T11:29:53Z","","0.743","0.766","0","-6.375","1","0.0265","0.0873","0","0.509","0.61","127.96","4","","Universal Music Group","C © 2009 Interscope Records, P ℗ 2009 Interscope Records"
