"Låtens URI","Låtens namn","Artistens URI","Artistens namn","Albumets URI","Albumets namn","Albumartistens URI","Albumartistens namn","Albumets releasedatum","Albumets bild-URL","Skivnummer","Låtnummer","Låtlängd (ms)","Förhandsgranskning URL","Explicit","Popularitet","ISRC","Tillagd av","Tillagd vid","Artistens genrer","Dansbarhet","Energi","Tonart","Ljudstyrka","Läge","Talighet","Akustik","Instrumentalhet","Livlighet","Valens","Tempo","Taktart","Albumets genrer","Skivbolag","Upphovsrätt"
"spotify:track:0nrRP2bk19rLc0orkWPQk2","Wake Me Up","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","spotify:album:2H6i2CrWgXE1HookLu8Au0","True","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","2013-09-16","https://i.scdn.co/image/ab67616d0000b273e14f11f796cef9f9a82691a7","1","1","247426","https://p.scdn.co/mp3-preview/231af03bbd2ec7f655575800e54a00633d7d9eac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","89","SEUM71301326","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:57Z","edm","0.532","0.783","2","-5.697","1","0.0523","0.0038","0.0012","0.161","0.643","124.08","4","","Universal Music AB","C © 2013 Avicii Music AB, / PRMD under exclusive license to Universal Music AB, P ℗ 2013 Avicii Music AB, / PRMD under exclusive license to Universal Music AB"
"spotify:track:4ksheDQWyWfjG5ETO0aokW","Heaven On My Mind (with Sigala)","spotify:artist:4EPJlUEBy49EX1wuFOvtjK, spotify:artist:1IueXOQyABrMOprrzwQJWN","Becky Hill, Sigala","spotify:album:2LWAzUYdZSUq0fW8ddbL1Q","Only Honest On The Weekend","spotify:artist:4EPJlUEBy49EX1wuFOvtjK","Becky Hill","2021-08-27","https://i.scdn.co/image/ab67616d0000b273afeb6f4556e7125e4272780f","1","13","193360","https://p.scdn.co/mp3-preview/bd39863e24e1f0a9789d3c7721fc9c28dc9d68fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","GBUM71906426","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:57Z","","0.708","0.883","0","-3.068","0","0.0773","0.0309","0","0.191","0.667","125.04","4","","Polydor Records","C © 2021 Universal Music Operations Limited, P ℗ 2021 Universal Music Operations Limited"
"spotify:track:5IVuqXILoxVWvWEPm82Jxr","Crazy In Love (feat. JAY-Z)","spotify:artist:6vWDO969PvNqNYHIOW5v0m, spotify:artist:3nFkdlSjzX9mRTtwJOzDYB","Beyoncé, JAY-Z","spotify:album:6oxVabMIqCMJRYN1GqR3Vf","Dangerously In Love","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","2003-06-24","https://i.scdn.co/image/ab67616d0000b27345680a4a57c97894490a01c1","1","1","236133","https://p.scdn.co/mp3-preview/023ccc9c406cafc5a3e3b4dd524b9092b45dacbf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USSM10305425","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:57Z","hiphop,east coast hiphop,rap","0.646","0.77","2","-6.596","0","0.226","0.00249","0","0.0715","0.681","99.165","4","","Columbia","P (P) 2003 J Records, 2003 Sony Music Entertainment Inc."
"spotify:track:70cTMpcgWMcR18t9MRJFjB","I Gotta Feeling","spotify:artist:1yxSLGMDHlW21z4YXirZDS","Black Eyed Peas","spotify:album:5lNzygOpCmzRx4N301icBB","THE E.N.D. (THE ENERGY NEVER DIES) [International Version]","spotify:artist:1yxSLGMDHlW21z4YXirZDS","Black Eyed Peas","2009-01-01","https://i.scdn.co/image/ab67616d0000b27349ed7a0ea23c40c730f6bb37","1","5","289133","https://p.scdn.co/mp3-preview/b3398fc473e546c85e965482e7b908342c46b7b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","USUM70965169","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:57Z","","0.743","0.766","0","-6.375","1","0.0265","0.0873","0","0.509","0.61","127.96","4","","Universal Music Group","C © 2009 Interscope Records, P ℗ 2009 Interscope Records"
"spotify:track:0azC730Exh71aQlOt9Zj3y","This Is What You Came For","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Calvin Harris, Rihanna","spotify:album:3pEgGUv379EDinvg1TN7Kt","This Is What You Came For","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Calvin Harris, Rihanna","2016-04-29","https://i.scdn.co/image/ab67616d0000b273d9aa52355e062f5de060adbf","1","1","222160","https://p.scdn.co/mp3-preview/14138fec09bb5940b1ee11c3207663906970cf9b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","GBARL1600460","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:57Z","edm","0.631","0.927","9","-2.787","0","0.0332","0.199","0.119","0.148","0.465","123.962","4","","Columbia","P (P) 2016 Sony Music Entertainment UK Limited / Westbury Road Entertainment LLC"
"spotify:track:1h9j1FfcLUvGFYUumJd84S","Rather Be (feat. Jess Glynne)","spotify:artist:6MDME20pz9RveH9rEXvrOM, spotify:artist:4ScCswdRlyA23odg9thgIO","Clean Bandit, Jess Glynne","spotify:album:38pNxsqHoJV9O2b2Rwb7f3","New Eyes","spotify:artist:6MDME20pz9RveH9rEXvrOM","Clean Bandit","2014-06-02","https://i.scdn.co/image/ab67616d0000b273e3403294a06dbe7706624a19","1","3","227833","https://p.scdn.co/mp3-preview/358cc2906abb9789b9c1d4a7e07dc2601b7ade4b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","GBAHS1300498","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:57Z","","0.799","0.586","11","-6.735","1","0.0377","0.162","0.00000203","0.193","0.549","120.97","4","","Big Beat Records/Atlantic","C © 2014 Warner Music UK Limited, P ℗ 2014 Warner Music UK Limited"
"spotify:track:4HXOBjwv2RnLpGG4xWOO6N","Princess of China","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU, spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Coldplay, Rihanna","spotify:album:2R7iJz5uaHjLEVnMkloO18","Mylo Xyloto","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2011-10-24","https://i.scdn.co/image/ab67616d0000b273de0cd11d7b31c3bd1fd5983d","1","10","239215","https://p.scdn.co/mp3-preview/131ed36120f51fe65a747b5737593553b431cc5d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","GBAYE1101184","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:57Z","","0.42","0.69","9","-6.221","0","0.0347","0.00385","0.015","0.287","0.237","85.014","4","","Parlophone UK","C © 2011 Parlophone Records Ltd, a Warner Music Group Company, P ℗ 2011 Parlophone Records Ltd, a Warner Music Group Company"
"spotify:track:77TT8Xvx637TpzV8kKGkUw","Titanium (feat. Sia)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","David Guetta, Sia","spotify:album:08DAekBeqPRCsn3XHDwj6b","Nothing but the Beat","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai","David Guetta","2011-08-31","https://i.scdn.co/image/ab67616d0000b273b234aeff6eedc8276fe0333a","1","13","245040","https://p.scdn.co/mp3-preview/6c3e9bbcebdbfa7875c6a56c2bb4da2a870c250b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","GB28K1100036","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:57Z","edm,dance","0.604","0.788","0","-3.673","0","0.103","0.0678","0.153","0.127","0.301","126.06","4","","Parlophone (France)","C © 2011 What A Music Ltd, Licence exclusive Parlophone Music France, P ℗ 2011 What A Music Ltd, Licence exclusive Parlophone Music France"
"spotify:track:6nL0wIy3rcQPqHNAtm61Gh","Sunshine (The Light)","spotify:artist:3ScY9CQxNLQei8Umvpx5g6, spotify:artist:0QHgL1lAIqAw0HtD7YldmP, spotify:artist:2mvAbMVwkxiZWJXjorKpdK","Fat Joe, DJ Khaled, Amorphous","spotify:album:5J39HBd9GvoIBPauhj8wSw","Sunshine (The Light)","spotify:artist:3ScY9CQxNLQei8Umvpx5g6, spotify:artist:0QHgL1lAIqAw0HtD7YldmP, spotify:artist:2mvAbMVwkxiZWJXjorKpdK","Fat Joe, DJ Khaled, Amorphous","2021-01-21","https://i.scdn.co/image/ab67616d0000b27386c6ffacb47ba85661ab1e7a","1","1","149725","https://p.scdn.co/mp3-preview/20670e3498b1cb807f2b42b03cebb80800c0ad58?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USUYG1353774","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:57Z","east coast hiphop","0.8","0.832","0","-5.497","1","0.266","0.087","0","0.322","0.736","106.983","4","","RNG / EMPIRE","C 2021 RNG / EMPIRE, P 2021 RNG / EMPIRE"
"spotify:track:2S5LNtRVRPbXk01yRQ14sZ","I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)","spotify:artist:0jnsk9HBra6NMjO2oANoPY, spotify:artist:0ZrpamOxcZybMHGg1AYtHP, spotify:artist:4tMJliVd96wXoMVNdcOBHp","Flo Rida, Robin Thicke, Verdine White","spotify:album:5lkNnHVlnCCCV304t89wOH","My House","spotify:artist:0jnsk9HBra6NMjO2oANoPY","Flo Rida","2015-04-07","https://i.scdn.co/image/ab67616d0000b2737947bf3e8af32378de181b41","1","3","224258","https://p.scdn.co/mp3-preview/d5849f7069068cb11434687eab6ceabdad8949df?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USAT21500395","spotify:user:p8u4bg39u8ew4b58wtkpj73f8","2021-09-02T13:49:57Z","","0.854","0.766","9","-4.697","0","0.141","0.0242","0","0.0793","0.784","118.004","4","","Poe Boy/Atlantic","C © 2015 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company, P ℗ 2015 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States. A Warner Music Group Company"
